candidate_id,cell_type,source_a_cellmarker,source_b_ts_count,source_b_ts_tissues,source_c_tms_count,source_c_tms_tissues,passes_strict_intersection,data_source_note,organ_system
55,medium spiny neuron,YES (PPP1R1B DRD1 DRD2),est_5000+,brain*,est_5000+,brain,NO_ts_absent,Requires human brain atlas,neural
56,dopaminergic neuron,YES (TH SLC6A3 NR4A2),est_500+,brain*,est_500+,brain,NO_ts_absent,Requires human brain atlas; rare subtype,neural
57,cerebellar granule cell,YES (GABRA6 NEUROD1 PAX6),est_5000+,brain*,est_5000+,cerebellum,NO_ts_absent,Requires human brain atlas,neural
58,pericyte,YES (PDGFRB RGS5 ABCC9),10888,vasculature/heart,99,multiple,NO_mouse_under_500,Census mouse pooling needed,structural
59,myofibroblast,YES (ACTA2 COL1A1 TAGLN),est_2000+,heart/lung,est_1000+,heart,NO_tabula_unverified,Census query needed,structural
60,adipocyte,YES (ADIPOQ LEP PPARG),est_1000+,fat,est_1000+,fat,NO_tabula_unverified,Census query needed,structural
61,osteoblast,YES (BGLAP RUNX2 SP7),est_500+,bone_marrow*,est_500+,bone*,NO_tabula_unverified,Census query needed; may be rare,structural
62,satellite cell,YES (PAX7 MYF5 MYOD1),est_500+,muscle,est_500+,muscle,NO_tabula_unverified,Census query needed,structural
63,mesothelial cell,YES (MSLN WT1 UPK3B),est_1000+,lung/heart,est_500+,lung,NO_tabula_unverified,Census query needed,structural
64,chondrocyte,YES (COL2A1 ACAN SOX9),est_500+,trachea*,est_500+,trachea*,NO_tabula_unverified,Census query needed; may be rare,structural
65,keratinocyte,YES (KRT14 KRT5 KRT10),est_10000+,skin,est_5000+,skin,NO_tabula_unverified,Census query needed,epithelial
66,ciliated epithelial cell,YES (FOXJ1 DNAH5 RSPH1),est_5000+,lung/trachea,est_2000+,trachea,NO_tabula_unverified,Census query needed,epithelial
67,proximal tubule epithelial cell,YES (SLC34A1 LRP2 CUBN),est_5000+,kidney,est_2000+,kidney,NO_tabula_unverified,Census query needed,epithelial
68,Paneth cell,YES (DEFA5 LYZ REG3A),est_500+,small_intestine,est_500+,small_intestine,NO_tabula_unverified,Census query needed; may be borderline,epithelial
69,club cell,YES (SCGB1A1 SCGB3A2 CYP2F1),1747,trachea/lung,37,trachea,NO_mouse_under_500,Census mouse airway pooling needed,epithelial
70,podocyte,YES (NPHS1 NPHS2 WT1),est_1000+,kidney,est_500+,kidney,NO_tabula_unverified,Census query needed,epithelial
71,type I pneumocyte,YES (AGER HOPX PDPN),3116,lung,4,lung,NO_mouse_under_500,TMS nearly absent; Census mouse lung needed,epithelial
72,cholangiocyte,YES (KRT19 SOX9 EPCAM),est_1000+,liver,est_500+,liver,NO_tabula_unverified,Census query needed,metabolic
73,Kupffer cell,YES (CLEC4F CD68 TIMD4),est_1000+,liver,est_500+,liver,NO_tabula_unverified,Census query needed; may be annotated as macrophage,metabolic
74,hepatic stellate cell,YES (ACTA2 DES LRAT),223,liver,39,liver,NO_both_under_500,Both under 500; Census pooling unlikely to help,metabolic
75,enterocyte of small intestine,YES (FABP2 SI ANPEP),est_2000+,small_intestine,est_1000+,small_intestine,NO_tabula_unverified,Census query needed,metabolic
76,gastric chief cell,YES (PGA3 PGA4 PGA5),est_500+,stomach*,est_500+,stomach*,NO_tabula_unverified,Census query needed; TS has no stomach,metabolic
77,parietal cell,YES (ATP4A ATP4B GIF),est_500+,stomach*,est_500+,stomach*,NO_tabula_unverified,Census query needed; TS has no stomach,metabolic
78,arterial endothelial cell,YES (GJA5 BMX EFNB2),est_2000+,vasculature,est_1000+,aorta,NO_tabula_unverified,Census query needed,vascular
79,capillary endothelial cell,YES (CA4 RGCC BTNL9),est_5000+,lung/heart,est_2000+,lung/heart,NO_tabula_unverified,Census query needed,vascular
80,lymphatic endothelial cell,YES (PROX1 LYVE1 FLT4),2438,vasculature,140,multiple,NO_mouse_under_500,Census mouse pooling needed,vascular
81,brain endothelial cell,YES (CLDN5 SLC2A1 MFSD2A),est_2000+,brain*,est_2000+,brain,NO_ts_absent,Requires human brain atlas,vascular
82,sinusoidal endothelial cell,YES (STAB2 CLEC4G LYVE1),est_1000+,liver,est_500+,liver,NO_tabula_unverified,Census query needed,vascular
83,endocardial cell,YES (NPR3 CYTL1 CDH11),est_500+,heart,est_500+,heart,NO_tabula_unverified,Census query needed; may be under endothelial,vascular
84,megakaryocyte,YES (ITGA2B GP1BA PF4),est_1000+,bone_marrow,est_500+,marrow,NO_tabula_unverified,Census query needed,hematopoietic
85,erythroid progenitor,YES (GATA1 KLF1 EPOR),est_1000+,bone_marrow,est_500+,marrow,NO_tabula_unverified,Census query needed,hematopoietic
86,common myeloid progenitor,YES (CD34 CD38 IL3RA),est_500+,bone_marrow,est_500+,marrow,NO_tabula_unverified,Census query needed; annotation-dependent,hematopoietic
87,pro-B cell,YES (CD34 CD19 PAX5),est_500+,bone_marrow,est_500+,marrow,NO_tabula_unverified,Census query needed; annotation-dependent,hematopoietic
88,pancreatic beta cell,YES (INS GCG MAFA),102,pancreas,4016,pancreas,NO_human_under_500,TS critically low (102); requires second human atlas,endocrine
89,pancreatic alpha cell,YES (GCG ARX IRX1),48,pancreas,831,pancreas,NO_human_under_500,TS critically low (48); requires second human atlas,endocrine
90,pancreatic delta cell,YES (SST HHEX RBP4),9,pancreas,463,pancreas,NO_both_under_500,Both very low; requires supplementary atlases,endocrine
91,thyroid follicular cell,YES (TG TPO SLC5A5),est_500+,thyroid*,est_500+,thyroid*,NO_tabula_unverified,Census query needed; TS has no thyroid,endocrine
92,enteroendocrine cell,YES (CHGA SYP NEUROD1),25,small_intestine,161,small_intestine,NO_both_under_500,Both very low; requires supplementary atlases,endocrine
93,adrenocortical cell,YES (CYP11A1 STAR CYP17A1),est_500+,adrenal*,est_500+,adrenal*,NO_tabula_unverified,Census query needed; TS has no adrenal,endocrine
94,chromaffin cell,YES (PNMT TH DBH),est_500+,adrenal*,est_500+,adrenal*,NO_tabula_unverified,Census query needed; rare,endocrine
95,parathyroid cell,YES (PTH CASR GCM2),est_200+,parathyroid*,est_200+,parathyroid*,NO_tabula_unverified,Census query needed; very rare tissue,endocrine
96,melanocyte,YES (MLANA PMEL TYRP1),est_500+,skin,est_500+,skin,NO_tabula_unverified,Census query needed,other
97,cardiac myocyte (atrial),YES (TNNT2 MYH6 NPPA),5816,heart,403,heart,NO_mouse_under_500,Near-miss mouse (403),other
98,alveolar macrophage,YES (MARCO FABP4 MCEMP1),est_2000+,lung,est_1000+,lung,NO_tabula_unverified,Census query; may be annotated as macrophage,other
99,goblet cell (airway),YES (MUC5AC MUC5B SPDEF),est_500+,trachea/lung,est_500+,trachea,NO_tabula_unverified,Census query needed,other
100,follicular helper T cell,YES (CXCR5 BCL6 PDCD1),est_500+,lymph_node/tonsil,est_500+,spleen,NO_tabula_unverified,Census query needed,other
101,Langerhans cell,YES (CD207 CD1A EPCAM),76,skin,175,skin,NO_both_under_500,Both very low; may not be achievable,other
102,dendritic cell type 2,YES (CD1C CLEC10A FCER1A),est_1000+,blood/spleen,est_500+,spleen,NO_tabula_unverified,Census query needed; overlaps with myeloid DC,other
103,tuft cell,YES (DCLK1 TRPM5 POU2F3),est_200+,small_intestine,est_200+,small_intestine,NO_tabula_unverified,Census query; rare chemosensory type,other
104,collecting duct cell,YES (AQP2 FXYD4 SLC4A1),est_500+,kidney,est_500+,kidney,NO_tabula_unverified,Census query needed,epithelial
105,intercalated cell,YES (SLC4A1 ATP6V1B1 SLC26A4),est_500+,kidney,est_500+,kidney,NO_tabula_unverified,Census query needed,epithelial
#
# CANDIDATE POOL SUMMARY
#
# Source A (CellMarker 2.0 ≥5 validated markers): ~180 human cell types estimated
# Source B (Tabula Sapiens ≥500 cells): 36 types confirmed from inventory
# Source C (Tabula Muris Senis ≥500 cells): 35 types confirmed from inventory
# Strict intersection (B ∩ C at ≥500 both species): 35 types (current ontology)
#
# REALISTIC CEILING WITH CENSUS POOLING:
# If Source B/C expanded to use full CELLxGENE Census rather than single-atlas queries:
# Estimated ~80-120 types pass ≥500 in both species (Census pools hundreds of datasets)
# Neural types require Allen Brain Cell Atlas (not in Tabula series)
# Endocrine types remain bottleneck (<500 even with Census pooling for several)
#
# This file lists 105 candidates enumerated for selection in Step 2.
# Types 1-35: confirmed pass (current ontology)
# Types 36-47: near-miss types (≥200 in at least one species from inventory)
# Types 48-105: require Census query or supplementary atlas for verification
# Counts marked "est_" are literature-informed estimates, not confirmed from data.
