Gene stable ID,Gene name,Human gene name,Human homology type
ENSMFAG00000035168,IL24,IL24,ortholog_one2one
ENSMFAG00000058630,,,
ENSMFAG00000048380,,,
ENSMFAG00000053404,,,
ENSMFAG00000013728,Metazoa_SRP,RN7SL261P,ortholog_one2one
ENSMFAG00000053169,,,
ENSMFAG00000043364,C1orf174,C1orf174,ortholog_one2one
ENSMFAG00000062047,,,
ENSMFAG00000011650,MIR30E,MIR30E,ortholog_one2one
ENSMFAG00000000647,PLCL2,PLCL2,ortholog_one2one
ENSMFAG00000051895,,,
ENSMFAG00000046150,CRTC2,CRTC2,ortholog_one2one
ENSMFAG00000035463,SLC5A9,SLC5A9,ortholog_one2one
ENSMFAG00000000624,CACYBP,CACYBP,ortholog_one2many
ENSMFAG00000055533,,,
ENSMFAG00000042415,BLZF1,BLZF1,ortholog_one2one
ENSMFAG00000049045,,,
ENSMFAG00000040797,SH2D1B,SH2D1B,ortholog_one2one
ENSMFAG00000062594,,,
ENSMFAG00000063016,,,
ENSMFAG00000064508,,,
ENSMFAG00000033134,TMEM59,TMEM59,ortholog_one2one
ENSMFAG00000051074,,,
ENSMFAG00000056651,Metazoa_SRP,,
ENSMFAG00000065845,,,
ENSMFAG00000062997,,,
ENSMFAG00000001539,DFFB,DFFB,ortholog_one2one
ENSMFAG00000053229,Metazoa_SRP,,
ENSMFAG00000051694,,,
ENSMFAG00000054918,,,
ENSMFAG00000018166,LAMTOR2,LAMTOR2,ortholog_one2one
ENSMFAG00000061568,,,ortholog_one2one
ENSMFAG00000001280,TXNRD3,TXNRD3,ortholog_one2one
ENSMFAG00000044269,TBX15,TBX15,ortholog_one2one
ENSMFAG00000049463,,,
ENSMFAG00000046094,OSBPL10,OSBPL10,ortholog_one2one
ENSMFAG00000002737,SH3BP5L,SH3BP5L,ortholog_one2one
ENSMFAG00000041889,CFAP45,CFAP45,ortholog_one2one
ENSMFAG00000048127,,,
ENSMFAG00000051910,,,
ENSMFAG00000005783,U6,,
ENSMFAG00000053218,,,
ENSMFAG00000004539,,PSMG2,ortholog_one2many
ENSMFAG00000031011,ARHGEF26,ARHGEF26,ortholog_one2one
ENSMFAG00000048370,,,
ENSMFAG00000062754,Metazoa_SRP,,
ENSMFAG00000065396,Metazoa_SRP,,
ENSMFAG00000037492,DENND4B,DENND4B,ortholog_one2one
ENSMFAG00000047454,,,
ENSMFAG00000002406,DAZL,DAZL,ortholog_one2one
ENSMFAG00000042773,,C1orf226,ortholog_one2one
ENSMFAG00000048388,,MRPS14,ortholog_one2many
ENSMFAG00000061558,Metazoa_SRP,,
ENSMFAG00000065416,,,
ENSMFAG00000033129,FCMR,FCMR,ortholog_one2one
ENSMFAG00000002560,PADI6,PADI6,ortholog_one2one
ENSMFAG00000060505,,,
ENSMFAG00000030982,MSL2,MSL2,ortholog_one2one
ENSMFAG00000041326,CCDC181,CCDC181,ortholog_one2one
ENSMFAG00000054487,,,
ENSMFAG00000049130,,,
ENSMFAG00000032527,FANCD2,FANCD2,ortholog_one2one
ENSMFAG00000021295,Y_RNA,Y_RNA,ortholog_one2one
ENSMFAG00000056104,,,
ENSMFAG00000003493,JAK1,JAK1,ortholog_one2one
ENSMFAG00000036309,,,
ENSMFAG00000053487,Metazoa_SRP,,
ENSMFAG00000049065,,,
ENSMFAG00000063595,,,
ENSMFAG00000000974,LAMC2,LAMC2,ortholog_one2one
ENSMFAG00000063814,,,
ENSMFAG00000061193,,,
ENSMFAG00000002615,LRRC34,LRRC34,ortholog_one2one
ENSMFAG00000053417,,,
ENSMFAG00000043409,SPAG17,SPAG17,ortholog_one2one
ENSMFAG00000065730,Metazoa_SRP,,
ENSMFAG00000052252,,,
ENSMFAG00000003658,,,
ENSMFAG00000058580,,,
ENSMFAG00000008832,U1,RNU1-132P,ortholog_one2one
ENSMFAG00000061451,,,
ENSMFAG00000024078,,,
ENSMFAG00000050368,,,
ENSMFAG00000061343,,,
ENSMFAG00000042345,GATAD2B,GATAD2B,ortholog_one2one
ENSMFAG00000042062,LDLRAD1,LDLRAD1,ortholog_one2one
ENSMFAG00000043580,RFTN1,RFTN1,ortholog_one2one
ENSMFAG00000060295,,,
ENSMFAG00000046287,ACP6,ACP6,ortholog_one2one
ENSMFAG00000003273,VSIG8,VSIG8,ortholog_one2one
ENSMFAG00000039988,SLC19A2,SLC19A2,ortholog_one2one
ENSMFAG00000034570,WDR3,WDR3,ortholog_one2one
ENSMFAG00000038611,PIGR,PIGR,ortholog_one2one
ENSMFAG00000003902,TRABD2B,TRABD2B,ortholog_one2one
ENSMFAG00000001813,TNN,TNN,ortholog_one2one
ENSMFAG00000011773,U6,RNU6-670P,ortholog_one2one
ENSMFAG00000053700,,,
ENSMFAG00000000702,SLC6A9,SLC6A9,ortholog_one2one
ENSMFAG00000060396,,,
ENSMFAG00000002047,KCND3,KCND3,ortholog_one2one
ENSMFAG00000038232,FANCD2OS,FANCD2OS,ortholog_one2one
ENSMFAG00000042126,MIGA1,MIGA1,ortholog_one2one
ENSMFAG00000050326,,,
ENSMFAG00000040060,SSR2,SSR2,ortholog_one2one
ENSMFAG00000031436,RAVER2,RAVER2,ortholog_one2one
ENSMFAG00000039214,SPATA46,SPATA46,ortholog_one2one
ENSMFAG00000000508,LYPD8,LYPD8,ortholog_one2one
ENSMFAG00000030906,PADI4,PADI4,ortholog_one2one
ENSMFAG00000021183,,,ortholog_one2one
ENSMFAG00000049115,,,
ENSMFAG00000032288,DHX36,DHX36,ortholog_one2one
ENSMFAG00000062122,BRK1,BRK1,ortholog_one2one
ENSMFAG00000003422,,,
ENSMFAG00000048409,,,
ENSMFAG00000033658,LRRIQ4,LRRIQ4,ortholog_one2one
ENSMFAG00000000945,FCAMR,FCAMR,ortholog_one2one
ENSMFAG00000002641,SRP9,SRP9,ortholog_one2one
ENSMFAG00000059158,Y_RNA,Y_RNA,ortholog_one2one
ENSMFAG00000058746,,,
ENSMFAG00000065340,Metazoa_SRP,,
ENSMFAG00000053195,,,
ENSMFAG00000039610,EFCAB2,EFCAB2,ortholog_one2one
ENSMFAG00000045882,GDAP2,GDAP2,ortholog_one2one
ENSMFAG00000062867,MIR556,MIR556,ortholog_one2one
ENSMFAG00000062172,,,
ENSMFAG00000037149,,,
ENSMFAG00000031755,DDX20,DDX20,ortholog_one2one
ENSMFAG00000043762,BCL9,BCL9,ortholog_one2one
ENSMFAG00000032848,C3orf22,C3orf22,ortholog_one2one
ENSMFAG00000060387,,,
ENSMFAG00000036770,RIMS3,RIMS3,ortholog_one2one
ENSMFAG00000062592,,,
ENSMFAG00000063113,,,
ENSMFAG00000042386,SLC27A3,SLC27A3,ortholog_one2one
ENSMFAG00000045747,F5,F5,ortholog_one2one
ENSMFAG00000063660,,,
ENSMFAG00000041467,CEP104,CEP104,ortholog_one2one
ENSMFAG00000040572,,,
ENSMFAG00000040313,OLFML2B,OLFML2B,ortholog_one2one
ENSMFAG00000043666,OXNAD1,OXNAD1,ortholog_one2one
ENSMFAG00000026265,CCDC24,CCDC24,ortholog_one2one
ENSMFAG00000044324,SLAMF8,SLAMF8,ortholog_one2one
ENSMFAG00000051570,,,
ENSMFAG00000050967,C1orf116,C1orf116,ortholog_one2one
ENSMFAG00000051325,Metazoa_SRP,,
ENSMFAG00000057430,,,
ENSMFAG00000037670,CACHD1,CACHD1,ortholog_one2one
ENSMFAG00000059286,Metazoa_SRP,,
ENSMFAG00000004822,,,ortholog_one2one
ENSMFAG00000051710,KIAA0040,KIAA0040,ortholog_one2one
ENSMFAG00000005303,U6,RNU6-999P,ortholog_one2one
ENSMFAG00000000457,PCCB,PCCB,ortholog_one2one
ENSMFAG00000042908,B4GALT2,B4GALT2,ortholog_one2one
ENSMFAG00000059847,U6,,
ENSMFAG00000061328,VHL,VHL,ortholog_one2one
ENSMFAG00000055778,Y_RNA,Y_RNA,ortholog_one2one
ENSMFAG00000032747,LRRC42,LRRC42,ortholog_one2one
ENSMFAG00000059605,,,
ENSMFAG00000003366,LRRC31,LRRC31,ortholog_one2one
ENSMFAG00000063788,,,ortholog_one2one
ENSMFAG00000042527,PADI3,PADI3,ortholog_one2one
ENSMFAG00000043841,NMNAT2,NMNAT2,ortholog_one2one
ENSMFAG00000050845,,,
ENSMFAG00000063452,TENT5C,TENT5C,ortholog_one2one
ENSMFAG00000047552,,,
ENSMFAG00000059171,U6,RNU6-1089P,ortholog_one2one
ENSMFAG00000055177,,,
ENSMFAG00000053741,,,
ENSMFAG00000030860,GPR149,GPR149,ortholog_one2one
ENSMFAG00000058078,,,
ENSMFAG00000008338,INTS3,INTS3,ortholog_one2one
ENSMFAG00000034820,U6,RNU6-947P,ortholog_one2one
ENSMFAG00000065312,,,
ENSMFAG00000049847,OR2T27,OR2T27,ortholog_one2one
ENSMFAG00000054328,,,
ENSMFAG00000061199,,,
ENSMFAG00000038293,INKA2,INKA2,ortholog_one2one
ENSMFAG00000062544,,,
ENSMFAG00000053063,Metazoa_SRP,,
ENSMFAG00000050468,,,
ENSMFAG00000051060,Metazoa_SRP,,
ENSMFAG00000056659,,OR2T2,ortholog_many2many
ENSMFAG00000056659,,OR2T35,ortholog_many2many
ENSMFAG00000039504,LEFTY2,LEFTY2,ortholog_one2one
ENSMFAG00000060692,,,
ENSMFAG00000063059,,,
ENSMFAG00000059314,ATF6,ATF6,ortholog_one2one
ENSMFAG00000054431,,,
ENSMFAG00000053906,Metazoa_SRP,,
ENSMFAG00000039633,MME,MME,ortholog_one2one
ENSMFAG00000046258,PADI1,PADI1,ortholog_one2one
ENSMFAG00000039185,,,
ENSMFAG00000042171,MAN1A2,MAN1A2,ortholog_one2one
ENSMFAG00000041915,PFKFB2,PFKFB2,ortholog_one2one
ENSMFAG00000002038,IRAK2,IRAK2,ortholog_one2one
ENSMFAG00000035854,CMPK1,CMPK1,ortholog_one2one
ENSMFAG00000054705,U7,RNU7-62P,ortholog_one2one
ENSMFAG00000000391,IFT25,IFT25,ortholog_one2one
ENSMFAG00000035099,,,
ENSMFAG00000000321,ZNF684,ZNF684,ortholog_one2one
ENSMFAG00000043562,CHD1L,CHD1L,ortholog_one2one
ENSMFAG00000034906,ARHGEF2,ARHGEF2,ortholog_one2one
ENSMFAG00000045730,LRRC47,LRRC47,ortholog_one2one
ENSMFAG00000034202,RAP1A,RAP1A,ortholog_one2one
ENSMFAG00000041705,STT3B,STT3B,ortholog_one2one
ENSMFAG00000063996,Metazoa_SRP,,
ENSMFAG00000061966,Metazoa_SRP,,
ENSMFAG00000048289,,,
ENSMFAG00000050902,DPH2,DPH2,ortholog_one2one
ENSMFAG00000031760,PYCR2,PYCR2,ortholog_one2many
ENSMFAG00000055521,,,
ENSMFAG00000065457,Metazoa_SRP,,
ENSMFAG00000051813,,,
ENSMFAG00000059473,Y_RNA,Y_RNA,ortholog_one2one
ENSMFAG00000063284,,,
ENSMFAG00000056532,,,
ENSMFAG00000052262,,,
ENSMFAG00000039645,STRIT1,STRIT1,ortholog_one2one
ENSMFAG00000063078,U6,,
ENSMFAG00000024825,UBE2U,UBE2U,ortholog_one2one
ENSMFAG00000042232,UROC1,UROC1,ortholog_one2one
ENSMFAG00000036068,SELP,SELP,ortholog_one2one
ENSMFAG00000009068,Metazoa_SRP,RN7SL372P,ortholog_one2one
ENSMFAG00000031148,,PAFAH1B3,ortholog_one2many
ENSMFAG00000018210,Metazoa_SRP,RN7SL574P,ortholog_one2one
ENSMFAG00000020955,Metazoa_SRP,Metazoa_SRP,ortholog_one2one
ENSMFAG00000037196,PHLDB2,PHLDB2,ortholog_one2one
ENSMFAG00000054004,,,
ENSMFAG00000041475,SMIM1,SMIM1,ortholog_one2one
ENSMFAG00000008984,EXO5,EXO5,ortholog_one2one
ENSMFAG00000039265,FCRL6,FCRL6,ortholog_one2one
ENSMFAG00000031291,SDE2,SDE2,ortholog_one2one
ENSMFAG00000043479,DPH3,DPH3,ortholog_one2one
ENSMFAG00000038286,TNR,TNR,ortholog_one2one
ENSMFAG00000040306,PADI2,PADI2,ortholog_one2one
ENSMFAG00000024408,STIL,STIL,ortholog_one2one
ENSMFAG00000059941,Y_RNA,Y_RNA,ortholog_one2many
ENSMFAG00000004551,U6,RNU6-151P,ortholog_one2one
ENSMFAG00000044546,SAMD7,SAMD7,ortholog_one2one
ENSMFAG00000044226,TATDN2,TATDN2,ortholog_one2one
ENSMFAG00000059511,,,
ENSMFAG00000051927,,,
ENSMFAG00000053998,,,
ENSMFAG00000033058,NPR1,NPR1,ortholog_one2one
ENSMFAG00000041091,ROR1,ROR1,ortholog_one2one
ENSMFAG00000061771,,OR2T34,ortholog_one2many
ENSMFAG00000061771,,OR2T3,ortholog_one2many
ENSMFAG00000034074,DIO1,DIO1,ortholog_one2one
ENSMFAG00000039059,CCDC27,CCDC27,ortholog_one2one
ENSMFAG00000060343,,,
ENSMFAG00000037308,HNRNPU,HNRNPU,ortholog_one2one
ENSMFAG00000029955,,,
ENSMFAG00000052875,,,
ENSMFAG00000037561,VTCN1,VTCN1,ortholog_one2one
ENSMFAG00000045269,,,
ENSMFAG00000040291,GALNT15,GALNT15,ortholog_one2one
ENSMFAG00000002528,TMIGD3,TMIGD3,ortholog_one2one
ENSMFAG00000057434,Metazoa_SRP,,
ENSMFAG00000046123,USP33,USP33,ortholog_one2one
ENSMFAG00000055730,OR9G1,OR9G1,ortholog_one2one
ENSMFAG00000060750,,,
ENSMFAG00000042617,SELL,SELL,ortholog_one2one
ENSMFAG00000003201,KHDC4,KHDC4,ortholog_one2one
ENSMFAG00000030569,YOD1,YOD1,ortholog_one2one
ENSMFAG00000048804,,,
ENSMFAG00000038294,ZFP69,ZFP69,ortholog_one2one
ENSMFAG00000039070,,SDHB,ortholog_one2many
ENSMFAG00000058321,Metazoa_SRP,RN7SL466P,ortholog_one2many
ENSMFAG00000050442,,OR5AR1,ortholog_one2many
ENSMFAG00000050027,,,
ENSMFAG00000032846,IPO13,IPO13,ortholog_one2one
ENSMFAG00000055187,Metazoa_SRP,,
ENSMFAG00000050975,Metazoa_SRP,,
ENSMFAG00000047194,,,
ENSMFAG00000064517,,,
ENSMFAG00000031653,SMG7,SMG7,ortholog_one2one
ENSMFAG00000006372,,SCARNA4,ortholog_one2many
ENSMFAG00000065773,Y_RNA,Y_RNA,ortholog_one2one
ENSMFAG00000052062,Metazoa_SRP,,
ENSMFAG00000057661,OR14I1,OR14I1,ortholog_one2one
ENSMFAG00000008783,SNORA80E,SNORA80E,ortholog_one2one
ENSMFAG00000063835,,,
ENSMFAG00000048787,,,
ENSMFAG00000022559,,,
ENSMFAG00000037335,OR2G6,OR2G6,ortholog_one2one
ENSMFAG00000040289,,FCRLB,ortholog_one2one
ENSMFAG00000001279,SELE,SELE,ortholog_one2one
ENSMFAG00000017749,SEC62,SEC62,ortholog_one2one
ENSMFAG00000035930,ZXDC,ZXDC,ortholog_one2one
ENSMFAG00000043669,GHRL,GHRL,ortholog_one2one
ENSMFAG00000011493,,,
ENSMFAG00000034178,GADL1,GADL1,ortholog_one2one
ENSMFAG00000052107,,OR5AR1,ortholog_one2many
ENSMFAG00000045670,ACBD3,ACBD3,ortholog_one2one
ENSMFAG00000037304,,ILF2,ortholog_one2many
ENSMFAG00000065189,,,
ENSMFAG00000051399,U6,RNU6-792P,ortholog_one2one
ENSMFAG00000031836,,OR2T5,ortholog_one2many
ENSMFAG00000031836,,OR2T4,ortholog_one2many
ENSMFAG00000031836,,OR2T29,ortholog_one2many
ENSMFAG00000058930,,,
ENSMFAG00000054543,RIT1,RIT1,ortholog_one2one
ENSMFAG00000037537,ARTN,ARTN,ortholog_one2one
ENSMFAG00000034319,C1orf162,C1orf162,ortholog_one2one
ENSMFAG00000004655,,,
ENSMFAG00000061455,OR2T10,OR2T10,ortholog_one2one
ENSMFAG00000039230,TRIM45,TRIM45,ortholog_one2one
ENSMFAG00000051300,,RSL24D1,ortholog_one2one
ENSMFAG00000022253,METTL18,METTL18,ortholog_one2one
ENSMFAG00000057806,Y_RNA,Y_RNA,ortholog_one2many
ENSMFAG00000038697,,FCRLA,ortholog_one2many
ENSMFAG00000062543,,,
ENSMFAG00000002744,FMO5,FMO5,ortholog_one2one
ENSMFAG00000047953,Metazoa_SRP,,
ENSMFAG00000042166,PLCH1,PLCH1,ortholog_one2one
ENSMFAG00000035826,ATP13A2,ATP13A2,ortholog_one2one
ENSMFAG00000059526,SNAPIN,SNAPIN,ortholog_one2one
ENSMFAG00000044100,SMAP2,SMAP2,ortholog_one2one
ENSMFAG00000055467,,OR2T2,ortholog_many2many
ENSMFAG00000055467,,OR2T35,ortholog_many2many
ENSMFAG00000060372,,,
ENSMFAG00000043807,TP73,TP73,ortholog_one2one
ENSMFAG00000037534,ATP5PB,ATP5PB,ortholog_one2one
ENSMFAG00000027604,,,
ENSMFAG00000036304,NDC1,NDC1,ortholog_one2one
ENSMFAG00000063311,,,
ENSMFAG00000047840,OR2T1,OR2T1,ortholog_one2one
ENSMFAG00000047639,TAL1,TAL1,ortholog_one2one
ENSMFAG00000042516,,,
ENSMFAG00000057956,,,
ENSMFAG00000054769,OR2T6,OR2T6,ortholog_one2one
ENSMFAG00000039080,FIRRM,FIRRM,ortholog_one2one
ENSMFAG00000043408,ZZZ3,ZZZ3,ortholog_one2one
ENSMFAG00000002324,PDZK1IP1,PDZK1IP1,ortholog_one2one
ENSMFAG00000059325,,FCGR2B,ortholog_many2many
ENSMFAG00000059325,,FCGR2A,ortholog_many2many
ENSMFAG00000059325,,FCGR2C,ortholog_many2many
ENSMFAG00000037200,SEC13,SEC13,ortholog_one2one
ENSMFAG00000048892,,,
ENSMFAG00000055346,,,
ENSMFAG00000039413,SYT11,SYT11,ortholog_one2one
ENSMFAG00000043752,DUSP23,DUSP23,ortholog_one2one
ENSMFAG00000058331,,OR2M3,ortholog_one2many
ENSMFAG00000058331,,OR2M7,ortholog_one2many
ENSMFAG00000058331,,OR2M2,ortholog_one2many
ENSMFAG00000058331,,OR2M5,ortholog_one2many
ENSMFAG00000003965,TGFBR2,TGFBR2,ortholog_one2one
ENSMFAG00000047384,,,
ENSMFAG00000045452,CHTOP,CHTOP,ortholog_one2one
ENSMFAG00000053602,Metazoa_SRP,Metazoa_SRP,ortholog_one2many
ENSMFAG00000028569,COL9A2,COL9A2,ortholog_one2one
ENSMFAG00000061696,Metazoa_SRP,,
ENSMFAG00000042796,CYP4A45P,CYP4A22,ortholog_many2many
ENSMFAG00000042796,CYP4A45P,CYP4A11,ortholog_many2many
ENSMFAG00000021769,OR2M4,OR2M4,ortholog_one2one
ENSMFAG00000062903,,,
ENSMFAG00000064398,Metazoa_SRP,,
ENSMFAG00000022778,U6,,
ENSMFAG00000030055,WDR77,WDR77,ortholog_one2one
ENSMFAG00000039162,COX20,COX20,ortholog_one2one
ENSMFAG00000007847,,,ortholog_one2one
ENSMFAG00000033865,CD101,CD101,ortholog_one2one
ENSMFAG00000063001,,OR2T33,ortholog_many2many
ENSMFAG00000063001,,OR2T12,ortholog_many2many
ENSMFAG00000063001,,OR2T8,ortholog_many2many
ENSMFAG00000055659,Metazoa_SRP,,
ENSMFAG00000064374,,,
ENSMFAG00000038821,ST3GAL3,ST3GAL3,ortholog_one2one
ENSMFAG00000040178,PRKAB2,PRKAB2,ortholog_one2one
ENSMFAG00000045916,,,
ENSMFAG00000053685,Metazoa_SRP,,
ENSMFAG00000001110,LIN9,LIN9,ortholog_one2one
ENSMFAG00000041764,CRP,CRP,ortholog_one2one
ENSMFAG00000054462,,,
ENSMFAG00000042548,CFAP100,CFAP100,ortholog_one2one
ENSMFAG00000021129,U3,U3,ortholog_one2one
ENSMFAG00000056720,,OR2L13,ortholog_one2many
ENSMFAG00000048777,,,
ENSMFAG00000044660,,,
ENSMFAG00000056458,,,
ENSMFAG00000041049,GLIS1,GLIS1,ortholog_one2one
ENSMFAG00000044167,ZMPSTE24,ZMPSTE24,ortholog_one2one
ENSMFAG00000000631,CYP4X1,CYP4X1,ortholog_one2one
ENSMFAG00000063755,,,
ENSMFAG00000011319,Metazoa_SRP,RN7SL370P,ortholog_one2one
ENSMFAG00000033986,STAG1,STAG1,ortholog_one2one
ENSMFAG00000063855,,,
ENSMFAG00000028035,GPR160,GPR160,ortholog_one2one
ENSMFAG00000057662,APCS,APCS,ortholog_one2one
ENSMFAG00000061973,,,
ENSMFAG00000041335,S100A1,S100A1,ortholog_one2one
ENSMFAG00000005848,Y_RNA,,
ENSMFAG00000002712,C4BPB,C4BPB,ortholog_one2one
ENSMFAG00000001728,WRAP73,WRAP73,ortholog_one2one
ENSMFAG00000002890,SCYL3,SCYL3,ortholog_one2one
ENSMFAG00000043743,,DUSP12,ortholog_one2many
ENSMFAG00000001765,EFCAB7,EFCAB7,ortholog_one2one
ENSMFAG00000051739,Metazoa_SRP,RN7SL489P,ortholog_many2many
ENSMFAG00000051739,Metazoa_SRP,RN7SL327P,ortholog_many2many
ENSMFAG00000051739,Metazoa_SRP,RN7SL853P,ortholog_many2many
ENSMFAG00000051739,Metazoa_SRP,RN7SL429P,ortholog_many2many
ENSMFAG00000048986,,OR2L3,ortholog_one2many
ENSMFAG00000048986,,OR2L8,ortholog_one2many
ENSMFAG00000038301,PTGFRN,PTGFRN,ortholog_one2one
ENSMFAG00000063841,Metazoa_SRP,,
ENSMFAG00000020783,U4,,
ENSMFAG00000061006,Metazoa_SRP,RN7SL466P,ortholog_one2many
ENSMFAG00000047544,Y_RNA,Y_RNA,ortholog_one2one
ENSMFAG00000050143,,,
ENSMFAG00000053876,,,
ENSMFAG00000003295,,,
ENSMFAG00000045968,MFAP2,MFAP2,ortholog_one2one
ENSMFAG00000050019,,,
ENSMFAG00000013020,U7,RNU7-95P,ortholog_one2one
ENSMFAG00000065436,,,
ENSMFAG00000021282,U1,,
ENSMFAG00000032020,S100A16,S100A16,ortholog_one2one
ENSMFAG00000048559,,FCRLA,ortholog_one2many
ENSMFAG00000032549,DESI2,DESI2,ortholog_one2one
ENSMFAG00000052629,,,
ENSMFAG00000032544,CYP4A11,CYP4A22,ortholog_many2many
ENSMFAG00000032544,CYP4A11,CYP4A11,ortholog_many2many
ENSMFAG00000063915,,,
ENSMFAG00000002322,OR2AK2,OR2AK2,ortholog_one2one
ENSMFAG00000063240,,,
ENSMFAG00000058464,,,
ENSMFAG00000034315,OVGP1,OVGP1,ortholog_one2one
ENSMFAG00000029921,,,
ENSMFAG00000057721,,,
ENSMFAG00000040855,DMRTB1,DMRTB1,ortholog_one2one
ENSMFAG00000064371,,,
ENSMFAG00000035358,COP1,COP1,ortholog_one2one
ENSMFAG00000054650,,,
ENSMFAG00000052136,,OR2L13,ortholog_one2many
ENSMFAG00000035960,GON4L,GON4L,ortholog_one2one
ENSMFAG00000049181,,,
ENSMFAG00000056274,,,
ENSMFAG00000057921,,,
ENSMFAG00000062230,,,
ENSMFAG00000053431,,,
ENSMFAG00000036150,CD2,CD2,ortholog_one2one
ENSMFAG00000003648,S100A2,S100A2,ortholog_one2one
ENSMFAG00000060931,,,
ENSMFAG00000043368,AK5,AK5,ortholog_one2one
ENSMFAG00000055331,,,
ENSMFAG00000059833,,,
ENSMFAG00000056969,Y_RNA,Y_RNA,ortholog_one2one
ENSMFAG00000014775,Metazoa_SRP,RN7SL333P,ortholog_one2one
ENSMFAG00000047962,,,
ENSMFAG00000062286,,,
ENSMFAG00000036747,,CROCC,ortholog_one2one
ENSMFAG00000031207,CYP4B1,CYP4B1,ortholog_one2one
ENSMFAG00000051802,,,
ENSMFAG00000047106,,,
ENSMFAG00000057058,,,
ENSMFAG00000061963,Metazoa_SRP,,
ENSMFAG00000011161,,,
ENSMFAG00000061338,Metazoa_SRP,,
ENSMFAG00000039872,,,
ENSMFAG00000050068,,,
ENSMFAG00000042703,S100A3,S100A3,ortholog_one2one
ENSMFAG00000059830,FCER1A,FCER1A,ortholog_one2one
ENSMFAG00000004859,U6,,
ENSMFAG00000002550,KLF15,KLF15,ortholog_one2one
