gene_stable_id	protein_stable_id	species	identity	homology_type	homology_gene_stable_id	homology_protein_stable_id	homology_species	homology_identity	dn	ds	goc_score	wga_coverage	is_high_confidence	homology_id
ENSMUSG00000040356	ENSMUSP00000036265	mus_musculus	93.4084	ortholog_one2one	ENSG00000204351	ENSP00000364543	homo_sapiens	93.2584	NULL	NULL	100	100.00	1	90024735
ENSMUSG00000028100	ENSMUSP00000129851	mus_musculus	71.9595	ortholog_one2one	ENSG00000186364	ENSP00000334437	homo_sapiens	64.939	NULL	NULL	100	98.70	1	90024736
ENSMUSG00000025855	ENSMUSP00000026973	mus_musculus	94.7507	ortholog_one2one	ENSG00000188191	ENSP00000440449	homo_sapiens	94.7507	NULL	NULL	100	100.00	1	90024737
ENSMUSG00000025170	ENSMUSP00000101713	mus_musculus	92.8058	ortholog_one2one	ENSG00000141542	ENSP00000461785	homo_sapiens	92.8058	NULL	NULL	100	100.00	1	90024738
ENSMUSG00000005233	ENSMUSP00000107939	mus_musculus	73.8938	ortholog_one2one	ENSG00000152253	ENSP00000282074	homo_sapiens	74.5536	NULL	NULL	100	100.00	1	90024739
ENSMUSG00000024644	ENSMUSP00000128696	mus_musculus	91.1579	ortholog_one2one	ENSG00000133313	ENSP00000325548	homo_sapiens	91.1579	NULL	NULL	100	100.00	1	90024740
ENSMUSG00000022993	ENSMUSP00000023728	mus_musculus	80.1527	ortholog_one2one	ENSG00000257987	ENSP00000489652	homo_sapiens	80.1527	NULL	NULL	100	100.00	1	90024741
ENSMUSG00000040420	ENSMUSP00000130851	mus_musculus	96.076	ortholog_one2one	ENSG00000145526	ENSP00000371710	homo_sapiens	96.076	NULL	NULL	75	100.00	1	90024742
ENSMUSG00000070972	ENSMUSP00000092680	mus_musculus	91.5966	ortholog_one2one	ENSG00000059769	ENSP00000320650	homo_sapiens	90.8333	NULL	NULL	100	100.00	1	90024743
ENSMUSG00000060862	ENSMUSP00000061899	mus_musculus	77.8219	ortholog_one2one	ENSG00000184677	ENSP00000364798	homo_sapiens	79.0153	NULL	NULL	100	100.00	1	90024744
ENSMUSG00000066197	ENSMUSP00000081700	mus_musculus	96.2319	ortholog_one2one	ENSG00000180269	ENSP00000458791	homo_sapiens	94.051	NULL	NULL	100	100.00	1	90024745
ENSMUSG00000015711	ENSMUSP00000015855	mus_musculus	85.2423	ortholog_one2one	ENSG00000143363	ENSP00000271620	homo_sapiens	85.4305	NULL	NULL	100	100.00	1	90024746
ENSMUSG00000032346	ENSMUSP00000034900	mus_musculus	38.4146	ortholog_one2one	ENSG00000203907	ENSP00000359384	homo_sapiens	42.2819	NULL	NULL	75	100.00	0	90024747
ENSMUSG00000029268	ENSMUSP00000078740	mus_musculus	84.8485	ortholog_one2one	ENSG00000271271	ENSP00000475028	homo_sapiens	83.5821	NULL	NULL	100	100.00	1	90024748
ENSMUSG00000106677	ENSMUSP00000114583	mus_musculus	80.4924	ortholog_one2one	ENSG00000173610	ENSP00000286604	homo_sapiens	80.6452	NULL	NULL	100	96.59	1	90024749
ENSMUSG00000031371	ENSMUSP00000033737	mus_musculus	64.2857	ortholog_one2one	ENSG00000213397	ENSP00000359230	homo_sapiens	65.3631	NULL	NULL	100	100.00	1	90024750
ENSMUSG00000021702	ENSMUSP00000022213	mus_musculus	92.3157	ortholog_one2one	ENSG00000113296	ENSP00000339730	homo_sapiens	92.5078	NULL	NULL	100	99.93	1	90024751
ENSMUSG00000008859	ENSMUSP00000009003	mus_musculus	99.5146	ortholog_one2one	ENSG00000006451	ENSP00000005257	homo_sapiens	99.5146	NULL	NULL	100	100.00	1	90024752
ENSMUSG00000021108	ENSMUSP00000021527	mus_musculus	97.6574	ortholog_one2one	ENSG00000027075	ENSP00000329127	homo_sapiens	97.6574	NULL	NULL	100	100.00	1	90024753
ENSMUSG00000023945	ENSMUSP00000093379	mus_musculus	92.931	ortholog_one2one	ENSG00000115665	ENSP00000264047	homo_sapiens	92.931	NULL	NULL	75	100.00	1	90024754
ENSMUSG00000083282	ENSMUSP00000112481	mus_musculus	78.1385	ortholog_one2one	ENSG00000174080	ENSP00000310832	homo_sapiens	74.5868	NULL	NULL	100	100.00	1	90024755
ENSMUSG00000016346	ENSMUSP00000122915	mus_musculus	95.2874	ortholog_one2one	ENSG00000075043	ENSP00000352035	homo_sapiens	95.0688	NULL	NULL	100	100.00	1	90024756
ENSMUSG00000038456	ENSMUSP00000045367	mus_musculus	83	ortholog_one2one	ENSG00000146966	ENSP00000419654	homo_sapiens	82.2597	NULL	NULL	100	100.00	1	90024757
ENSMUSG00000007379	ENSMUSP00000127187	mus_musculus	83.8043	ortholog_one2one	ENSG00000175984	ENSP00000376955	homo_sapiens	83.0819	NULL	NULL	100	100.00	1	90024758
ENSMUSG00000031024	ENSMUSP00000077067	mus_musculus	93.2099	ortholog_one2one	ENSG00000166444	ENSP00000319678	homo_sapiens	92.9639	NULL	NULL	100	100.00	1	90024759
ENSMUSG00000027901	ENSMUSP00000029508	mus_musculus	90.1288	ortholog_one2one	ENSG00000162777	ENSP00000350266	homo_sapiens	89.172	NULL	NULL	100	100.00	1	90024760
ENSMUSG00000070645	ENSMUSP00000092135	mus_musculus	70.6468	ortholog_one2one	ENSG00000143839	ENSP00000272190	homo_sapiens	69.9507	NULL	NULL	100	100.00	1	90024761
ENSMUSG00000027130	ENSMUSP00000028549	mus_musculus	98.1739	ortholog_one2one	ENSG00000140199	ENSP00000346112	homo_sapiens	98.1739	NULL	NULL	100	100.00	1	90024762
ENSMUSG00000023330	ENSMUSP00000127662	mus_musculus	73.6842	ortholog_one2one	ENSG00000104047	ENSP00000385399	homo_sapiens	73.6842	NULL	NULL	100	100.00	1	90024766
ENSMUSG00000071074	ENSMUSP00000092897	mus_musculus	96.83	ortholog_one2one	ENSG00000137207	ENSP00000361499	homo_sapiens	96	NULL	NULL	100	100.00	1	90024767
ENSMUSG00000020635	ENSMUSP00000020964	mus_musculus	97.2222	ortholog_one2one	ENSG00000119782	ENSP00000370373	homo_sapiens	97.2222	NULL	NULL	100	100.00	1	90024771
ENSMUSG00000032268	ENSMUSP00000132181	mus_musculus	78.6813	ortholog_one2one	ENSG00000166682	ENSP00000299882	homo_sapiens	78.337	NULL	NULL	100	100.00	1	90024774
ENSMUSG00000052613	ENSMUSP00000141792	mus_musculus	72.5167	ortholog_one2one	ENSG00000150275	ENSP00000495195	homo_sapiens	80.977	NULL	NULL	50	100.00	1	90024775
ENSMUSG00000018501	ENSMUSP00000018645	mus_musculus	91.6055	ortholog_one2one	ENSG00000141027	ENSP00000268712	homo_sapiens	92.1311	NULL	NULL	100	100.00	1	90024776
ENSMUSG00000026280	ENSMUSP00000027502	mus_musculus	94.6565	ortholog_one2one	ENSG00000168397	ENSP00000384259	homo_sapiens	94.6565	NULL	NULL	100	100.00	1	90024777
ENSMUSG00000028550	ENSMUSP00000030279	mus_musculus	90.393	ortholog_one2one	ENSG00000125703	ENSP00000322159	homo_sapiens	90.393	NULL	NULL	100	100.00	1	90024780
ENSMUSG00000002820	ENSMUSP00000068450	mus_musculus	86.2869	ortholog_one2one	ENSG00000130734	ENSP00000311318	homo_sapiens	86.2869	NULL	NULL	100	100.00	1	90024781
ENSMUSG00000041837	ENSMUSP00000035515	mus_musculus	91.3223	ortholog_one2one	ENSG00000090470	ENSP00000204549	homo_sapiens	91.134	NULL	NULL	100	100.00	1	90024782
ENSMUSG00000074227	ENSMUSP00000096204	mus_musculus	70.6349	ortholog_one2one	ENSG00000167642	ENSP00000301244	homo_sapiens	70.6349	NULL	NULL	100	100.00	1	90024783
ENSMUSG00000046027	ENSMUSP00000074872	mus_musculus	83.5681	ortholog_one2one	ENSG00000172345	ENSP00000304032	homo_sapiens	83.5681	NULL	NULL	100	100.00	1	90024784
ENSMUSG00000045098	ENSMUSP00000109606	mus_musculus	87.4292	ortholog_one2one	ENSG00000110066	ENSP00000305899	homo_sapiens	87.2316	NULL	NULL	100	100.00	1	90024785
ENSMUSG00000021815	ENSMUSP00000022353	mus_musculus	79.148	ortholog_one2one	ENSG00000166343	ENSP00000299432	homo_sapiens	76.7391	NULL	NULL	100	100.00	1	90024786
ENSMUSG00000026974	ENSMUSP00000028350	mus_musculus	100	ortholog_one2one	ENSG00000165724	ENSP00000298585	homo_sapiens	100	NULL	NULL	100	100.00	1	90024787
ENSMUSG00000010044	ENSMUSP00000010188	mus_musculus	88.6364	ortholog_one2one	ENSG00000004838	ENSP00000231749	homo_sapiens	88.6364	NULL	NULL	100	100.00	1	90024788
ENSMUSG00000040017	ENSMUSP00000006952	mus_musculus	57.6923	ortholog_one2one	ENSG00000148965	ENSP00000278222	homo_sapiens	57.6923	NULL	NULL	100	100.00	1	90024789
ENSMUSG00000006763	ENSMUSP00000120658	mus_musculus	79.7468	ortholog_one2one	ENSG00000166788	ENSP00000432487	homo_sapiens	79.7468	NULL	NULL	100	100.00	1	90024790
ENSMUSG00000021224	ENSMUSP00000119303	mus_musculus	93.415	ortholog_one2one	ENSG00000133961	ENSP00000451300	homo_sapiens	93.702	NULL	NULL	75	100.00	1	90024791
ENSMUSG00000038195	ENSMUSP00000037238	mus_musculus	74.7967	ortholog_one2one	ENSG00000167705	ENSP00000301336	homo_sapiens	68.8279	NULL	NULL	100	100.00	1	90024792
ENSMUSG00000045776	ENSMUSP00000153518	mus_musculus	59.7911	ortholog_one2one	ENSG00000144771	ENSP00000273286	homo_sapiens	66.3768	NULL	NULL	100	100.00	1	90024793
ENSMUSG00000042524	ENSMUSP00000047864	mus_musculus	81.3953	ortholog_one2one	ENSG00000100242	ENSP00000508608	homo_sapiens	82.9847	NULL	NULL	100	100.00	1	90024794
ENSMUSG00000020176	ENSMUSP00000091011	mus_musculus	78.0201	ortholog_one2one	ENSG00000106070	ENSP00000385770	homo_sapiens	78.2828	NULL	NULL	100	98.59	1	90024795
ENSMUSG00000021363	ENSMUSP00000152946	mus_musculus	83.7461	ortholog_one2one	ENSG00000111837	ENSP00000346484	homo_sapiens	83.4877	NULL	NULL	100	100.00	1	90024796
ENSMUSG00000030189	ENSMUSP00000032309	mus_musculus	88.9197	ortholog_one2one	ENSG00000060138	ENSP00000228251	homo_sapiens	86.2903	NULL	NULL	100	98.11	1	90024797
ENSMUSG00000029491	ENSMUSP00000031456	mus_musculus	93.2243	ortholog_one2one	ENSG00000133256	ENSP00000420295	homo_sapiens	93.4426	NULL	NULL	100	100.00	1	90024798
ENSMUSG00000022377	ENSMUSP00000134877	mus_musculus	96.0432	ortholog_one2one	ENSG00000153317	ENSP00000429900	homo_sapiens	94.597	NULL	NULL	100	100.00	1	90024799
ENSMUSG00000070576	ENSMUSP00000092034	mus_musculus	91.2105	ortholog_one2one	ENSG00000169184	ENSP00000304956	homo_sapiens	89.6212	NULL	NULL	100	100.00	1	90024800
ENSMUSG00000001333	ENSMUSP00000099659	mus_musculus	78.5106	ortholog_one2one	ENSG00000162520	ENSP00000386439	homo_sapiens	76.556	NULL	NULL	100	100.00	1	90024801
ENSMUSG00000059479	ENSMUSP00000092277	mus_musculus	77.635	ortholog_one2one	ENSG00000177191	ENSP00000510371	homo_sapiens	76.0705	NULL	NULL	100	100.00	1	90024802
ENSMUSG00000047986	ENSMUSP00000051396	mus_musculus	51.7711	ortholog_one2one	ENSG00000187867	ENSP00000499271	homo_sapiens	55.2326	NULL	NULL	100	100.00	1	90024803
ENSMUSG00000049482	ENSMUSP00000112113	mus_musculus	77.0428	ortholog_one2one	ENSG00000174177	ENSP00000388320	homo_sapiens	76.8932	NULL	NULL	100	100.00	1	90024804
ENSMUSG00000037101	ENSMUSP00000041919	mus_musculus	74.9469	ortholog_one2one	ENSG00000137473	ENSP00000316740	homo_sapiens	74.3158	NULL	NULL	100	100.00	1	90024805
ENSMUSG00000000384	ENSMUSP00000140835	mus_musculus	75.7143	ortholog_one2one	ENSG00000136270	ENSP00000258770	homo_sapiens	75.5943	NULL	NULL	100	100.00	1	90024806
ENSMUSG00000027086	ENSMUSP00000072896	mus_musculus	68.6369	ortholog_one2one	ENSG00000138399	ENSP00000400513	homo_sapiens	67.1783	NULL	NULL	100	100.00	1	90024807
ENSMUSG00000025962	ENSMUSP00000027103	mus_musculus	65.8926	ortholog_one2one	ENSG00000118246	ENSP00000385990	homo_sapiens	63.9437	NULL	NULL	100	100.00	1	90024808
ENSMUSG00000021532	ENSMUSP00000061737	mus_musculus	64.5991	ortholog_one2one	ENSG00000124279	ENSP00000264669	homo_sapiens	64.5015	NULL	NULL	75	100.00	1	90024809
ENSMUSG00000028959	ENSMUSP00000030800	mus_musculus	89.5413	ortholog_one2one	ENSG00000164896	ENSP00000297532	homo_sapiens	88.8889	NULL	NULL	100	100.00	1	90024810
ENSMUSG00000079043	ENSMUSP00000137385	mus_musculus	70.5081	ortholog_one2one	ENSG00000215251	ENSP00000369618	homo_sapiens	74.4764	NULL	NULL	100	100.00	1	90024811
ENSMUSG00000010277	ENSMUSP00000010421	mus_musculus	94.5389	ortholog_one2one	ENSG00000007202	ENSP00000436773	homo_sapiens	94.4966	NULL	NULL	100	100.00	1	90024812
ENSMUSG00000009549	ENSMUSP00000009693	mus_musculus	89.0909	ortholog_one2one	ENSG00000140319	ENSP00000267884	homo_sapiens	72.0588	NULL	NULL	100	97.69	1	90024813
ENSMUSG00000026525	ENSMUSP00000027809	mus_musculus	87.5	ortholog_one2one	ENSG00000054277	ENSP00000355512	homo_sapiens	87.0647	NULL	NULL	100	100.00	1	90024814
ENSMUSG00000021799	ENSMUSP00000022331	mus_musculus	69.8656	ortholog_one2one	ENSG00000122375	ENSP00000241891	homo_sapiens	76.1506	NULL	NULL	100	100.00	1	90024815
ENSMUSG00000033323	ENSMUSP00000038938	mus_musculus	77.9167	ortholog_one2one	ENSG00000060069	ENSP00000484525	homo_sapiens	77.8356	NULL	NULL	100	100.00	1	90024816
ENSMUSG00000036083	ENSMUSP00000131308	mus_musculus	64.6586	ortholog_one2one	ENSG00000124564	ENSP00000380250	homo_sapiens	64.6586	NULL	NULL	75	100.00	1	90024817
ENSMUSG00000037990	ENSMUSP00000120938	mus_musculus	82.9157	ortholog_one2one	ENSG00000172985	ENSP00000309186	homo_sapiens	82.5397	NULL	NULL	100	100.00	1	90024818
ENSMUSG00000022553	ENSMUSP00000125387	mus_musculus	93.7984	ortholog_one2one	ENSG00000179632	ENSP00000318604	homo_sapiens	94.5312	NULL	NULL	100	100.00	1	90024819
ENSMUSG00000053129	ENSMUSP00000069728	mus_musculus	97.7011	ortholog_one2one	ENSG00000169840	ENSP00000304331	homo_sapiens	96.5909	NULL	NULL	100	100.00	1	90024820
ENSMUSG00000068302	ENSMUSP00000087006	mus_musculus	57.9167	ortholog_one2one	ENSG00000214513	ENSP00000381486	homo_sapiens	55.3785	NULL	NULL	100	100.00	1	90024821
ENSMUSG00000045680	ENSMUSP00000053178	mus_musculus	96.0894	ortholog_one2one	ENSG00000118526	ENSP00000356857	homo_sapiens	96.0894	NULL	NULL	100	100.00	1	90024822
ENSMUSG00000022387	ENSMUSP00000105006	mus_musculus	95.2741	ortholog_one2one	ENSG00000100425	ENSP00000385858	homo_sapiens	84.7771	NULL	NULL	100	100.00	1	90024823
ENSMUSG00000038020	ENSMUSP00000103103	mus_musculus	94.4109	ortholog_one2one	ENSG00000108352	ENSP00000479735	homo_sapiens	94.4109	NULL	NULL	100	100.00	1	90024824
ENSMUSG00000028138	ENSMUSP00000005964	mus_musculus	92.246	ortholog_one2one	ENSG00000197894	ENSP00000296412	homo_sapiens	92.246	NULL	NULL	100	100.00	1	90024825
ENSMUSG00000004356	ENSMUSP00000004470	mus_musculus	86.0523	ortholog_one2one	ENSG00000120800	ENSP00000261637	homo_sapiens	86.1759	NULL	NULL	100	100.00	1	90024826
ENSMUSG00000020628	ENSMUSP00000020954	mus_musculus	72.7729	ortholog_one2one	ENSG00000171853	ENSP00000324318	homo_sapiens	78.9116	NULL	NULL	100	100.00	1	90024827
ENSMUSG00000020177	ENSMUSP00000020392	mus_musculus	59.6026	ortholog_one2one	ENSG00000090382	ENSP00000261267	homo_sapiens	60.8108	NULL	NULL	100	100.00	1	90024828
ENSMUSG00000035004	ENSMUSP00000039059	mus_musculus	62.8692	ortholog_one2one	ENSG00000140749	ENSP00000268389	homo_sapiens	61.8257	NULL	NULL	25	100.00	1	90024829
ENSMUSG00000073664	ENSMUSP00000124056	mus_musculus	90.4018	ortholog_one2one	ENSG00000144426	ENSP00000508055	homo_sapiens	89.2398	NULL	NULL	100	100.00	1	90024830
ENSMUSG00000030315	ENSMUSP00000032459	mus_musculus	91.6376	ortholog_one2one	ENSG00000144560	ENSP00000404251	homo_sapiens	88.8513	NULL	NULL	100	100.00	1	90024831
ENSMUSG00000032000	ENSMUSP00000013949	mus_musculus	74.2525	ortholog_one2one	ENSG00000023445	ENSP00000263464	homo_sapiens	74.0066	NULL	NULL	100	100.00	1	90024832
ENSMUSG00000057367	ENSMUSP00000140049	mus_musculus	84.1503	ortholog_one2one	ENSG00000110330	ENSP00000227758	homo_sapiens	83.3333	NULL	NULL	100	99.98	1	90024833
ENSMUSG00000031504	ENSMUSP00000033900	mus_musculus	82.8326	ortholog_one2one	ENSG00000139832	ENSP00000267328	homo_sapiens	82.4786	NULL	NULL	100	100.00	1	90024834
ENSMUSG00000046229	ENSMUSP00000105211	mus_musculus	75.3521	ortholog_one2one	ENSG00000171222	ENSP00000301995	homo_sapiens	59.7765	NULL	NULL	100	100.00	1	90024835
