gene_id,pearson_r,pearson_p,gene_name,procrustes_contribution,mean_expression,perc_id_human_to_mouse,perc_id_mouse_to_human,goc_score,wga_coverage,seq_identity,pLI,oe_lof_upper,mis_z,oe_lof,oe_mis
ENSG00000002746,0.12887782106933082,0.46060758233494276,HECW1,0.00010143615643579823,0.008220760891347144,88.6052,88.7157,50.0,100.0,88.66045,0.99982,0.253,2.9523,0.16212,0.73663
ENSG00000002822,0.2431062783194924,0.15936300875386775,MAD1L1,0.000605819263409743,0.040130087817142855,80.9192,81.0321,75.0,100.0,80.97565,6.8444e-16,0.969,0.025197,0.71453,0.9967
ENSG00000002834,0.4446504496809124,0.007445182116943267,LASP1,0.002301496879152151,0.4063601595571429,96.1686,95.4373,100.0,100.0,95.80295,0.9827,0.283,2.2064,0.05966,0.54423
ENSG00000002919,-0.008941662373420284,0.959341971704071,SNX11,0.0010046898283494205,0.0717670452,84.0741,83.7638,100.0,100.0,83.91895,7.3043e-07,1.109,0.7242,0.68474,0.83297
ENSG00000002933,0.10034022755856667,0.5662976282346813,TMEM176A,0.008403273272006264,0.3921868458471429,55.3191,53.2787,75.0,100.0,54.2989,0.0093723,0.933,0.76879,0.44392,0.80999
ENSG00000003056,0.6314737960685115,4.744917385313596e-05,M6PR,0.0053112994595447775,0.49055503948571433,92.0578,91.7266,100.0,100.0,91.8922,0.0092215,0.763,0.97915,0.38635,0.77893
ENSG00000003096,0.46456298100188587,0.00493082832121787,KLHL13,0.0011407290474792962,0.07251857655117144,93.1142,90.9786,25.0,100.0,92.0464,0.035016,0.619,2.2048,0.31342,0.61248
ENSG00000003137,0.688405882233267,4.855863195490939e-06,CYP26B1,0.0007712464576823804,0.021101128146914283,96.2891,96.2891,75.0,100.0,96.2891,0.97987,0.29,1.0492,0.061167,0.83711
ENSG00000003147,0.7770268653635395,4.04820704016214e-08,ICA1,0.00380742030536606,0.14556317854428572,89.0269,89.9582,100.0,100.0,89.49255,0.00099069,0.577,0.49213,0.34853,0.91382
ENSG00000003249,0.4670650124703019,0.004673973356636526,DBNDD1,0.00014149318688755117,0.006925721970357143,80.3797,79.375,75.0,100.0,79.87735,6.35e-05,1.531,0.21242,0.82738,0.94411
ENSG00000003393,0.7180990981083115,1.194259653188006e-06,ALS2,0.0030757516777238777,0.07783405459285715,91.9734,92.3077,100.0,100.0,92.14054999999999,8.7204e-12,0.516,1.8965,0.39047,0.81911
ENSG00000003402,0.12009420050940373,0.49197096318570255,CFLAR,0.012868692996089962,0.6411962934285715,65.8333,65.2893,75.0,100.0,65.56129999999999,0.99967,0.173,2.1864,0.036503,0.6121
ENSG00000003436,0.6975431305129424,3.210248592172067e-06,TFPI,0.015635248602114002,0.29599197040285713,59.2105,58.8235,50.0,89.69,59.017,0.2477,0.564,1.3079,0.24658,0.70855
ENSG00000003509,-0.09479483529403525,0.5880466420607516,NDUFAF7,0.0015808224270338347,0.09302805941571429,83.22,84.1743,100.0,100.0,83.69715,1.0818000000000001e-19,1.582,-1.0514,1.1492,1.192
ENSG00000003756,0.26682960159384617,0.12126140024768281,RBM5,0.002645954113565911,0.3770296875,98.0368,98.0368,100.0,100.0,98.0368,1.0,0.135,4.1668,0.052212,0.46548
ENSG00000003987,0.30916021812447253,0.07073833136399085,MTMR7,0.00016009050167074986,0.02373378708585714,94.5455,94.5455,100.0,100.0,94.5455,2.21e-14,0.982,-1.6109,0.71219,1.2335
ENSG00000003989,0.7700207376164226,6.371458825560626e-08,SLC7A2,0.01624199765702917,0.12876158346539998,88.1459,86.0534,100.0,100.0,87.09965,2.3434e-11,1.014,-1.408,0.7044,1.1986
ENSG00000004059,0.16045317212744586,0.3571733162166934,ARF5,0.010400144344362426,0.7296344384142858,100.0,100.0,100.0,100.0,100.0,0.94298,0.33,2.2772,0.0,0.37316
ENSG00000004139,-0.05134755237350272,0.7695702079527789,SARM1,0.0007232987650334093,0.023373050095385713,93.7845,93.7845,100.0,100.0,93.7845,1.7007e-10,1.143,1.9032,0.77047,0.72244
ENSG00000004142,0.5401781361369485,0.0008094830603216418,POLDIP2,0.002857349945175689,0.20113576364285712,95.1087,95.1087,100.0,100.0,95.1087,0.41407,0.464,1.9439,0.22056,0.62059
ENSG00000004399,0.6676070430711214,1.1812959125367952e-05,PLXND1,0.0046773016075417955,0.1211762817,91.4286,91.4286,75.0,100.0,91.4286,1.0,0.157,3.3465,0.083467,0.72094
ENSG00000004455,0.35309003446740383,0.03747131221131219,AK2,0.007185955371363854,0.4083595706571429,94.9791,94.9791,100.0,100.0,94.9791,6.2706e-05,1.223,0.071844,0.67842,0.98262
ENSG00000004468,0.08554400485830715,0.6251229425828589,CD38,0.004704267433872073,0.15782541417714285,58.0,57.2368,100.0,100.0,57.6184,2.3129e-06,1.126,-0.064677,0.68035,1.0142
ENSG00000004478,0.519735660832734,0.0013750166027131682,FKBP4,0.00850723948830607,0.4339882933142857,89.7603,89.9563,50.0,100.0,89.8583,0.15539,0.504,1.2082,0.25553,0.78533
ENSG00000004487,0.5033720605278064,0.0020532755322170853,KDM1A,0.0013131053329923988,0.22763610324285716,97.831,98.1672,100.0,100.0,97.9991,0.99667,0.276,4.6784,0.14688,0.38263
ENSG00000004534,0.31450523195303326,0.06575789552661623,RBM6,0.011880970084702252,0.5250330303428572,88.8691,89.2665,100.0,100.0,89.0678,1.0,0.136,2.1708,0.059555,0.75625
ENSG00000004660,-0.2009105110452813,0.24715671817080448,CAMKK1,0.0007968676190072771,0.03276650220585714,93.4653,93.4653,100.0,100.0,93.4653,0.00033981,0.634,1.3395,0.38328,0.78981
ENSG00000004700,0.5133525620913377,0.001611620120887982,RECQL,0.0038723446337084614,0.1464254978857143,85.0539,85.1852,100.0,100.0,85.11955,1.5345e-20,1.308,0.24948,0.96953,0.96163
ENSG00000004766,0.1902832186317916,0.2735654326528328,VPS50,0.0037675519016928177,0.12135994955298572,96.2656,96.2656,100.0,100.0,96.2656,0.8139,0.333,2.5016,0.20545,0.67838
ENSG00000004776,0.5684630965105657,0.0003670703961981868,HSPB6,0.0004965097077550745,0.08718896661428573,88.75,87.6543,100.0,100.0,88.20215,0.088703,1.347,1.2756,0.43732,0.6472
ENSG00000004777,0.397617867112667,0.018012332048358573,ARHGAP33,0.0001479792332284317,0.01223911627457143,91.6084,90.3448,100.0,100.0,90.9766,0.028562,0.406,1.7984,0.25997,0.8102
ENSG00000004779,0.35146462054384525,0.038419571443289044,NDUFAB1,0.003913048748361009,0.4909732290142857,85.8974,85.8974,100.0,100.0,85.8974,0.52661,0.749,0.15938,0.15802,0.95168
ENSG00000004799,0.011424224240664964,0.9480672453540885,PDK4,0.010712420443176458,0.31411373272707144,92.944,92.7184,100.0,100.0,92.8312,9.142e-12,1.241,0.35146,0.84588,0.93373
ENSG00000004809,,,SLC22A16,0.00024871184386206376,0.01520727260857143,52.8596,45.5224,100.0,95.15,49.191,6.3118000000000006e-27,1.846,-0.636,1.4287,1.1008
ENSG00000004838,0.20062451679995374,0.2478442797940162,ZMYND10,7.133743355387098e-05,0.006009831522500001,88.6364,88.6364,100.0,100.0,88.6364,2.3034e-07,0.859,0.93184,0.55783,0.83396
ENSG00000004846,-0.08536669290373296,0.6258429003532694,ABCB5,0.00017793368212155682,0.00945663293048143,78.043,78.1673,100.0,100.0,78.10515000000001,1.5072e-37,1.127,-1.9827,0.90921,1.2156
ENSG00000004848,-0.03893105008862143,0.824283801302589,ARX,2.859599943450156e-05,0.003792916277257143,96.0854,95.7447,100.0,100.0,95.91505000000001,0.90814,0.389,2.0538,0.0,0.53372
ENSG00000004864,0.7123510380839398,1.5880787992950372e-06,SLC25A13,0.01337723979809214,0.26059884978000003,95.5556,95.4142,100.0,100.0,95.4849,1.2833e-24,1.237,0.30459,0.944,0.9551
ENSG00000004866,0.5745403540324938,0.00030679945169156573,ST7,0.0019851619912169753,0.08930227336857142,95.3206,99.278,100.0,100.0,97.2993,0.99703,0.264,3.3795,0.11515,0.46275
ENSG00000004897,0.16872049297248248,0.3326036589961721,CDC27,0.006613643923778865,0.26369751117142853,97.0874,96.2696,50.0,100.0,96.6785,0.99675,0.273,3.1977,0.13853,0.54336
ENSG00000004939,0.09505193479403336,0.5870302077978403,SLC4A1,6.92384784060464e-05,0.022188233352677143,82.4369,80.8396,100.0,100.0,81.63825,0.84602,0.349,1.6611,0.19333,0.79772
ENSG00000004948,0.0337355950516724,0.8474377014637445,CALCR,8.111421143648435e-05,0.00181274510494,77.8481,74.3952,75.0,100.0,76.12165,3.1176e-09,0.928,0.51517,0.62548,0.91451
ENSG00000004961,0.4581101304166439,0.00565013177125212,HCCS,0.0011538756008497456,0.09547313285714285,85.4478,84.1912,50.0,100.0,84.8195,0.88624,0.414,1.1951,0.087302,0.67981
ENSG00000004975,0.6274607919687807,5.4780217472791336e-05,DVL2,0.00037959794335780427,0.051789137842857144,96.6033,96.6033,100.0,100.0,96.6033,1.3576e-05,0.657,0.32198,0.42021,0.95805
ENSG00000005001,0.8846756735027852,1.7878244993963459e-12,PRSS22,7.185665725609372e-05,0.05707123684149143,74.448,76.873,25.0,100.0,75.6605,0.0029749,0.94,1.0173,0.47641,0.79439
ENSG00000005007,0.3738257691664623,0.026955526733088587,UPF1,0.0011071383409960922,0.17878032121428572,98.39,98.832,75.0,99.94,98.61099999999999,1.0,0.162,5.626,0.071,0.40753
ENSG00000005020,0.6840740987448757,5.8781688035716874e-06,SKAP2,0.008392975569474208,0.5052516603142857,90.2507,90.5028,100.0,100.0,90.37674999999999,0.0012836,0.67,1.2974,0.38396,0.72958
ENSG00000005022,0.43316579785712406,0.009342353776279785,SLC25A5,0.017666279474553206,1.366694226,97.9866,97.9866,100.0,100.0,97.9866,0.93194,0.349,2.6524,0.0,0.33813
ENSG00000005059,0.17418200780361157,0.3169587196244574,MCUB,0.009666287482068802,0.19238836687114286,73.5119,73.5119,100.0,100.0,73.5119,2.2776e-08,1.351,0.19349,0.85037,0.95609
ENSG00000005073,0.5931697481854588,0.0001731066832699642,HOXA11,1.4359385373188457e-05,0.004543497597071429,96.8051,96.8051,100.0,100.0,96.8051,0.94342,0.329,0.66839,0.0,0.85506
ENSG00000005100,0.554500839345452,0.0005471485835705805,DHX33,0.001076739831092382,0.06717949283714286,92.5035,93.6963,100.0,100.0,93.09989999999999,9.1366e-06,0.678,0.46247,0.43399,0.93678
ENSG00000005102,0.32967371631946607,0.05311333428478172,MEOX1,0.0012301172095541928,0.034521297131428576,81.4961,81.8182,100.0,100.0,81.65715,0.00019076,1.268,-0.26105,0.67582,1.0608
ENSG00000005108,0.6512607527170488,2.266363924234852e-05,THSD7A,0.00445781005412629,0.053902658962,90.525,91.13,75.0,100.0,90.8275,1.0,0.215,-0.59799,0.1376,1.0562
ENSG00000005156,0.6643350259353604,1.3501303406250322e-05,LIG3,0.0004444059109277876,0.06606978367142857,88.3053,88.0435,100.0,100.0,88.17439999999999,1.439e-10,0.682,1.6264,0.48837,0.81143
ENSG00000005175,0.6242942048438599,6.127011554805672e-05,RPAP3,0.0016165100625772186,0.11550229618571428,78.797,79.3939,100.0,100.0,79.09545,6.9941e-05,0.581,0.42512,0.37136,0.93359
ENSG00000005187,0.006378097224809601,0.9709927013650831,ACSM3,0.002328231580927456,0.10817853788994286,85.3242,86.2069,50.0,99.89,85.76555,1.441e-14,1.055,0.45569,0.76059,0.92748
ENSG00000005189,0.3702859915096427,0.028554906577790008,REXO5,0.0003057300573245276,0.023670146427357146,67.0543,68.3794,100.0,100.0,67.71685,2.7972e-11,0.856,1.5541,0.60418,0.78209
ENSG00000005194,0.5284057462150098,0.0011027478460532726,CIAPIN1,0.0017756661908698505,0.15480515215714286,81.0897,81.877,100.0,100.0,81.48335,0.0019035,0.836,1.1187,0.44509,0.75939
ENSG00000005206,0.5979022925454699,0.00014884152889494293,SPPL2B,0.0013576708115499935,0.07339357523514285,77.3649,79.2388,100.0,88.22,78.30185,,,,,
ENSG00000005238,0.10103415892930467,0.5636021770462223,ATOSB,0.0010812599030976487,0.054704093403514294,91.0781,91.0781,100.0,100.0,91.0781,0.80243,0.419,1.2169,0.16193,0.80663
ENSG00000005243,0.84977867606042,1.0689991827832525e-10,COPZ2,0.002593846555332238,0.15939269647642856,89.0476,91.2195,100.0,100.0,90.13355,7.4565e-08,1.614,-0.11739,0.98958,1.0332
ENSG00000005249,0.16220235797351093,0.3518861539178261,PRKAR2B,0.0015100721600199995,0.09277891364571429,96.4115,96.875,100.0,100.0,96.64325,0.99713,0.22,2.4727,0.046297,0.53662
ENSG00000005302,-0.360145092822755,0.03357302292175673,MSL3,0.0017081986214686074,0.16930790338571428,88.2917,87.619,75.0,100.0,87.95535000000001,0.99665,0.178,1.9314,0.0,0.61311
ENSG00000005339,-0.19404945671034146,0.2640038994932634,CREBBP,0.009297645658524535,0.49036021644285716,95.864,95.9033,100.0,99.98,95.88365,1.0,0.066,3.8991,0.025349,0.70864
ENSG00000005379,0.21785514323995198,0.20867887849117286,TSPOAP1,0.000718222107870616,0.02922045812162614,82.1217,82.6111,100.0,100.0,82.3664,0.00844,0.361,1.4791,0.25493,0.87327
ENSG00000005381,0.6338948954887919,4.346703392792931e-05,MPO,0.0014636230451707548,0.11379893093898144,83.2215,86.351,100.0,100.0,84.78625,7.105e-15,1.145,0.32312,0.81992,0.958
ENSG00000005421,0.9982216392108428,5.321946925754475e-42,PON1,0.015300796680463089,0.04598472726924285,82.2535,82.2535,100.0,100.0,82.2535,9.8142e-11,1.29,0.72462,0.85978,0.84726
ENSG00000005436,0.157332101227367,0.366724925729743,GCFC2,0.003594645489216787,0.0767614096731857,69.3982,70.4811,75.0,100.0,69.93965,2.5566e-24,1.167,0.003915,0.89309,0.99943
ENSG00000005448,0.11435941186191372,0.5130216466931163,WDR54,0.0017181630751250186,0.04330891209942857,88.6228,88.6228,100.0,100.0,88.6228,1.5733e-11,1.311,0.44135,0.88446,0.91114
ENSG00000005469,0.22115338667402143,0.2017001238976045,CROT,0.011872604130162005,0.14179382954285713,85.6209,85.6209,100.0,100.0,85.6209,4.431500000000001e-25,1.173,0.0045741,0.90092,0.9993
ENSG00000005471,0.9766527051607984,1.2817679283860577e-23,ABCB4,0.012702737412572324,0.042910702548957146,90.9304,91.1442,100.0,100.0,91.0373,2.2138e-07,0.508,1.9749,0.36143,0.78757
ENSG00000005483,-0.007870503044488997,0.9642092387268043,KMT2E,0.023754129308050414,0.7832850097285714,89.5587,89.0792,100.0,100.0,89.31895,1.0,0.06,1.4204,0.012722,0.8719
ENSG00000005486,0.10563788997579093,0.5458708730511488,RHBDD2,0.0017054554905369251,0.1205555298,87.3626,88.0886,100.0,100.0,87.7256,0.63858,0.529,0.66528,0.16806,0.87085
ENSG00000005513,0.3596567362266203,0.03383174847050977,SOX8,8.126582452034046e-05,0.007305627074957143,83.6323,80.3879,100.0,100.0,82.0101,0.67167,0.512,0.8876,0.16272,0.84831
ENSG00000005700,0.4248605167788515,0.010957792763887298,IBTK,0.005120434701261202,0.2588452396285714,85.8832,85.9467,100.0,99.99,85.91495,0.0022144,0.413,2.2762,0.27872,0.75292
ENSG00000005810,0.5857548680262019,0.00021829690504359357,MYCBP2,0.011911629331087907,0.7227864362857144,96.9645,95.5752,100.0,99.7,96.26984999999999,1.0,0.115,6.0451,0.077305,0.65271
ENSG00000005812,0.4331375249027109,0.009347488813301611,FBXL3,0.002291141203463339,0.22384353214285718,97.1963,97.1963,100.0,100.0,97.1963,0.9807,0.288,2.833,0.060738,0.47725
ENSG00000005844,0.7993923546150247,8.475825228373544e-09,ITGAL,0.006245334684301801,0.29012798044414284,69.8291,68.0266,100.0,98.29,68.92785,0.0043213,0.412,2.1822,0.27435,0.76473
ENSG00000005882,0.4522791144159206,0.006375950471247791,PDK2,0.002039476794011062,0.09537194417571429,97.543,97.543,100.0,100.0,97.543,3.7102e-06,0.919,2.0463,0.56697,0.63223
ENSG00000005884,0.9113749615801777,2.845036481596724e-14,ITGA3,0.0008355359839509349,0.09450685885242857,86.8696,86.7047,100.0,100.0,86.78715,3.5545e-07,0.534,2.3622,0.37383,0.73657
ENSG00000005889,0.1406227562843967,0.4203943611940115,ZFX,0.004618214331707774,0.26633402938571427,95.0311,95.7447,75.0,100.0,95.3879,0.99831,0.16,3.1463,0.0,0.50129
ENSG00000005893,0.5565682251285757,0.0005163170993162699,LAMP2,0.0116436837904429,0.6756425307142857,60.2439,59.375,100.0,100.0,59.80945,0.26698,0.641,0.83952,0.24801,0.80339
ENSG00000005961,0.622226143247907,6.5874791400605e-05,ITGA2B,0.00025665921065375535,0.039014314959285715,79.9808,80.4453,100.0,100.0,80.21305000000001,1.5205e-16,0.756,1.2307,0.5723,0.85821
ENSG00000005981,-0.00795823729311049,0.9638105307527862,ASB4,0.0004032249551224088,0.007364242937984287,92.4883,92.4883,100.0,100.0,92.4883,1.118e-10,1.414,-0.52362,0.93161,1.0942
ENSG00000006007,0.5128943935145173,0.0016299002333644006,GDE1,0.0028624614206197714,0.2790534303714286,87.3112,87.3112,50.0,100.0,87.3112,6.1163e-06,1.172,0.78753,0.6913,0.83713
ENSG00000006015,0.0913636065317024,0.6016854836585984,REX1BD,0.0054261148170627665,0.25535521548,59.7015,71.0059,100.0,100.0,65.3537,0.00037611,1.443,0.81836,0.73845,0.77597
ENSG00000006016,0.6553968479249416,1.9289708778447437e-05,CRLF1,0.00025198363807259937,0.07362130431901856,95.0237,94.3529,100.0,100.0,94.6883,3.9958e-05,0.908,0.47479,0.53542,0.91462
ENSG00000006025,0.12565033137109327,0.47200617527769473,OSBPL7,0.000584524654244281,0.03937994552,92.2803,92.8315,100.0,100.0,92.55590000000001,0.0028675,0.444,2.1303,0.28821,0.7396
ENSG00000006042,0.43315834593407815,0.00934370698881633,TMEM98,0.0011627731615953493,0.12902154130264287,98.6726,98.6726,100.0,100.0,98.6726,0.01189,0.886,0.72808,0.42118,0.8228
ENSG00000006047,0.37265386717974963,0.02747665267983763,YBX2,3.388979903832067e-05,0.004002043522057143,90.1099,91.3649,100.0,100.0,90.73740000000001,0.99896,0.15,1.6018,0.0,0.6829
ENSG00000006062,0.3146582003385186,0.06561952937285381,MAP3K14,0.002238211576858701,0.14823357245285718,84.2661,84.7134,100.0,100.0,84.48974999999999,,,,,
ENSG00000006071,0.6122573776529668,9.275338439412335e-05,ABCC8,4.3527300725101754e-05,0.0051056446439000005,95.4459,95.0252,50.0,99.95,95.23554999999999,7.9571e-24,0.765,1.914,0.60559,0.82193
ENSG00000006116,-0.07257068378725111,0.6786626731013862,CACNG3,4.573679322313072e-05,0.00113226975928,98.7302,98.7302,100.0,100.0,98.7302,0.99417,0.195,2.6436,0.0,0.47433
ENSG00000006118,0.7302512031891468,6.386581043769512e-07,TMEM132A,0.00031975237565622387,0.029721703203285717,87.0968,87.5246,100.0,100.0,87.3107,2.041e-09,0.802,0.79643,0.55164,0.91189
ENSG00000006125,0.19405741282590921,0.2639839365911207,AP2B1,0.006665202095435366,0.4105911490285713,99.8948,99.8948,100.0,100.0,99.8948,0.9983,0.263,5.1667,0.13319,0.36645
ENSG00000006128,0.37928834344398077,0.024632585882582166,TAC1,0.00010053034273794187,0.021114031236271428,95.3488,94.6154,75.0,100.0,94.9821,0.74608,0.535,0.8893,0.11282,0.69287
ENSG00000006194,0.11353516443565996,0.5160835387814725,ZNF263,0.0018717867082609833,0.1358987351,83.8946,84.2647,100.0,99.91,84.07965,5.4582e-10,0.969,-0.032155,0.66036,1.0046
ENSG00000006210,0.5206538870892192,0.0013436253460059504,CX3CL1,0.002361577562436134,0.07193098077442858,64.9874,65.3165,100.0,100.0,65.15195,0.60837,0.545,0.84349,0.17304,0.8494
ENSG00000006282,0.3975748455338653,0.01802592358924376,SPATA20,0.0008568654179336359,0.040780931231399996,84.414,85.6962,100.0,100.0,85.05510000000001,1.9878e-09,0.698,0.12253,0.48906,0.98454
ENSG00000006283,0.5861316715005245,0.00021576812976920412,CACNA1G,6.081721226584994e-05,0.0114907307879,94.7413,94.5821,100.0,100.0,94.6617,1.0,0.211,4.6386,0.13277,0.65863
ENSG00000006327,0.6205018495590598,6.995003148699834e-05,TNFRSF12A,0.004404236255643045,0.3565081142714286,81.3953,81.3953,75.0,100.0,81.3953,0.017995,1.532,-0.14091,0.61937,1.0525
ENSG00000006377,0.8823339921593321,2.4464267190922807e-12,DLX6,1.5863240919557121e-06,0.0009712427235997143,97.2696,95.9596,100.0,100.0,96.6146,0.92126,0.378,1.1694,0.079747,0.72631
ENSG00000006432,0.20794759753512476,0.23063937762682557,MAP3K9,0.0014898444067143657,0.04455907719377143,94.837,95.1818,100.0,100.0,95.0094,0.11764,0.408,1.2655,0.24627,0.86211
ENSG00000006451,0.622974129619698,6.417453141602766e-05,RALA,0.0024970151915580606,0.41325076885714285,99.5146,99.5146,100.0,100.0,99.5146,0.97289,0.269,2.7026,0.0,0.26837
ENSG00000006453,0.8327588308540221,5.494699867431637e-10,BAIAP2L1,0.0038807922897494992,0.16503305325775713,88.454,87.9377,100.0,100.0,88.19585000000001,0.00010429,0.649,0.64705,0.40067,0.89516
ENSG00000006459,,,KDM7A,0.005787439862536888,0.24441942185714285,90.2232,90.3191,100.0,100.0,90.27115,0.99986,0.229,2.4635,0.11606,0.68585
ENSG00000006468,0.6628953488927666,1.431133379022671e-05,ETV1,0.0015375617258783308,0.04019597749071428,97.9036,97.9036,100.0,100.0,97.9036,0.93694,0.347,0.87469,0.15149,0.85004
ENSG00000006530,0.37175922550998225,0.02788003850756525,AGK,0.0015241090743698808,0.10268168380857143,91.2322,91.4489,100.0,100.0,91.34055000000001,5.9973e-09,0.878,0.75506,0.59217,0.85931
ENSG00000006534,0.6335064737142195,4.4084832461243324e-05,ALDH3B1,0.0016291139721569543,0.14150501375857144,83.7607,83.7607,100.0,100.0,83.7607,6.2437e-06,0.995,0.95892,0.60117,0.84579
ENSG00000006555,0.5558728666622037,0.0005265104060857174,TTC22,0.0003314942668414152,0.02325017425235714,84.3585,84.507,100.0,100.0,84.43275,1.7098e-06,1.007,1.0967,0.62139,0.81931
ENSG00000006576,0.285647261906704,0.09623221878740237,PHTF2,0.008630439495674522,0.20346675337428574,93.3422,93.842,100.0,100.0,93.5921,0.00017719,0.545,2.2905,0.34839,0.66326
ENSG00000006607,0.35885045730629067,0.03426246095768923,FARP2,0.005439502441124279,0.1774184753647143,83.5863,82.723,100.0,100.0,83.15465,4.6425e-36,1.183,-0.33077,0.94703,1.0375
ENSG00000006611,0.8412241735078045,2.492829818288214e-10,USH1C,1.91419665636877e-05,0.046088884948742866,92.5473,91.4286,100.0,100.0,91.98795000000001,3.9714e-18,0.888,-0.87399,0.67235,1.1072
ENSG00000006625,0.1528357182443339,0.380749435383573,GGCT,0.0009537597036275115,0.1456130394285714,81.9149,81.9149,100.0,100.0,81.9149,0.000143,1.335,0.29447,0.7129,0.91683
