gene_name	human_ensembl_id	pLI	oe_lof_upper	mis_z	oe_lof	oe_mis
KMT2E	ENSG00000005483	1.0	0.06	1.4204	0.012722	0.8719
HCFC1	ENSG00000172534	1.0	0.06	5.6341	0.0	0.46936
UBTF	ENSG00000108312	1.0	0.06	4.7489	0.0	0.37555
HUWE1	ENSG00000086758	1.0	0.06	8.8732	0.026088	0.40105
KDM3B	ENSG00000120733	1.0	0.06	4.9789	0.012543	0.54722
TRRAP	ENSG00000196367	1.0	0.06	8.173	0.030535	0.51961
GRIN2B	ENSG00000273079	1.0	0.061	5.4168	0.0	0.48103
USP7	ENSG00000187555	1.0	0.061	5.648	0.012958	0.36226
ATP1A3	ENSG00000105409	1.0	0.062	6.3327	0.0	0.29287
ASH1L	ENSG00000116539	1.0	0.062	3.4699	0.023938	0.7532
ANKRD17	ENSG00000132466	1.0	0.062	5.3588	0.019796	0.59073
SMC1A	ENSG00000072501	1.0	0.062	6.4479	0.0	0.19623
NPEPPS	ENSG00000141279	1.0	0.062	3.9845	0.0	0.47911
CHERP	ENSG00000085872	1.0	0.062	4.2456	0.0	0.49972
MED13L	ENSG00000123066	1.0	0.064	3.691	0.020314	0.69999
RPRD2	ENSG00000163125	1.0	0.064	2.1188	0.0	0.78796
KMT2A	ENSG00000118058	1.0	0.065	6.2276	0.031118	0.61462
CREBBP	ENSG00000005339	1.0	0.066	3.8991	0.025349	0.70864
SF3B1	ENSG00000115524	1.0	0.066	7.6987	0.013864	0.19478
EIF3B	ENSG00000106263	1.0	0.067	1.8208	0.0	0.75396
PPFIA1	ENSG00000131626	1.0	0.067	1.0607	0.01413	0.88692
ZSWIM6	ENSG00000130449	1.0	0.067	4.1751	0.0	0.50875
PRPF3	ENSG00000117360	1.0	0.068	3.8479	0.0	0.43524
KAT6A	ENSG00000083168	1.0	0.069	2.0718	0.021841	0.8258
KMT2B	ENSG00000272333	1.0	0.07	3.4255	0.026915	0.75854
SIN3A	ENSG00000169375	1.0	0.07	4.3926	0.014832	0.53836
CHD2	ENSG00000173575	1.0	0.07	5.2052	0.027031	0.53257
ARID1A	ENSG00000117713	1.0	0.071	3.6582	0.022463	0.69981
GLTSCR1L	ENSG00000112624	1.0	0.071	1.9721	0.0	0.76949
SCN1A	ENSG00000144285	1.0	0.071	5.2206	0.022602	0.55103
MED12	ENSG00000184634	1.0	0.071	6.5797	0.022555	0.38205
TJP1	ENSG00000104067	1.0	0.071	1.5417	0.022625	0.86024
SPEN	ENSG00000065526	1.0	0.071	2.8932	0.03101	0.82093
WDFY3	ENSG00000163625	1.0	0.071	5.8174	0.03799	0.62316
HDAC6	ENSG00000094631	1.0	0.072	3.2915	0.0	0.58158
EHMT1	ENSG00000181090	1.0	0.072	1.1633	0.015126	0.88468
JMJD1C	ENSG00000171988	1.0	0.072	1.513	0.027844	0.8815
MAP3K12	ENSG00000139625	1.0	0.072	2.9896	0.0	0.63273
GGNBP2	ENSG00000005955	1.0	0.073	3.2594	0.0	0.53172
CASK	ENSG00000147044	1.0	0.073	4.2502	0.0	0.36955
TLE3	ENSG00000140332	1.0	0.073	3.7217	0.0	0.51897
CHD6	ENSG00000124177	1.0	0.073	4.0001	0.031735	0.7089
UBR5	ENSG00000104517	1.0	0.073	6.2062	0.037137	0.55278
EIF4G1	ENSG00000114867	1.0	0.074	2.2233	0.023611	0.79333
NBEA	ENSG00000172915	1.0	0.074	5.5108	0.035174	0.59545
SMARCA5	ENSG00000153147	1.0	0.074	5.418	0.01569	0.35469
TSC2	ENSG00000103197	1.0	0.074	-0.33027	0.023406	1.0284
SUPT5H	ENSG00000196235	1.0	0.074	4.561	0.015513	0.51145
GREB1L	ENSG00000141449	1.0	0.075	5.3659	0.023739	0.52328
PTCH1	ENSG00000185920	1.0	0.075	1.6774	0.015809	0.83764
CHD7	ENSG00000171316	1.0	0.076	3.2193	0.036285	0.77481
RAD54L2	ENSG00000164080	1.0	0.076	3.1297	0.016026	0.69766
CNOT3	ENSG00000088038	1.0	0.076	3.7642	0.0	0.50409
AHDC1	ENSG00000126705	1.0	0.076	2.8589	0.0	0.74823
U2SURP	ENSG00000163714	1.0	0.077	4.0894	0.016335	0.48696
RBM25	ENSG00000119707	1.0	0.077	4.3087	0.016196	0.44709
GIGYF2	ENSG00000204120	1.0	0.077	2.244	0.02997	0.76306
MBTD1	ENSG00000011258	1.0	0.077	3.448	0.0	0.46169
DCAF5	ENSG00000139990	1.0	0.078	2.8802	0.0	0.65593
SUV420H1	ENSG00000110066	1.0	0.078	2.7894	0.0	0.64079
RABGAP1	ENSG00000011454	1.0	0.078	2.9624	0.016372	0.64972
KHSRP	ENSG00000088247	1.0	0.078	3.83	0.0	0.45019
TM9SF2	ENSG00000125304	1.0	0.079	3.2749	0.0	0.51768
MATR3	ENSG00000015479	1.0	0.079	2.7297	0.0	0.63884
PHF21A	ENSG00000135365	1.0	0.08	2.8609	0.0	0.58696
NAV1	ENSG00000134369	1.0	0.08	4.1487	0.025417	0.64706
HIVEP2	ENSG00000010818	1.0	0.08	1.8295	0.025372	0.85807
OGT	ENSG00000147162	1.0	0.08	5.6667	0.0	0.20421
RBBP6	ENSG00000122257	1.0	0.08	1.4906	0.025497	0.86299
GTPBP4	ENSG00000107937	1.0	0.08	0.07788	0.0	0.9885
MYBL1	ENSG00000185697	1.0	0.08	2.1291	0.0	0.68087
TEX11	ENSG00000120498	1.0	0.08	1.814	0.0	0.70081
DYNC1H1	ENSG00000197102	1.0	0.08	10.967	0.048236	0.39401
SBNO1	ENSG00000139697	1.0	0.081	3.3608	0.025601	0.65298
THOC2	ENSG00000125676	1.0	0.081	5.5258	0.016971	0.33023
PRKCB	ENSG00000166501	1.0	0.081	3.987	0.0	0.44513
INO80	ENSG00000128908	1.0	0.081	3.5349	0.031343	0.66284
TAF4	ENSG00000130699	1.0	0.081	2.6834	0.0	0.64267
FLNA	ENSG00000196924	1.0	0.082	3.7802	0.02614	0.69814
TRIM28	ENSG00000130726	1.0	0.082	2.3295	0.0	0.69805
CHD8	ENSG00000100888	1.0	0.082	5.9467	0.038764	0.55921
RBM33	ENSG00000184863	1.0	0.082	1.7993	0.017334	0.80375
SNRNP200	ENSG00000144028	1.0	0.082	5.9363	0.035815	0.51474
XPO6	ENSG00000169180	1.0	0.082	3.4849	0.017294	0.61388
SMARCAD1	ENSG00000163104	1.0	0.083	3.492	0.017414	0.57327
FRMPD4	ENSG00000169933	1.0	0.083	1.9503	0.0	0.7642
MACF1	ENSG00000127603	1.0	0.084	3.4344	0.056465	0.81865
WAC	ENSG00000095787	1.0	0.084	1.512	0.0	0.76943
BRWD3	ENSG00000165288	1.0	0.084	4.269	0.026535	0.5403
C17orf104	ENSG00000180336	1.0	0.084	1.8277	0.0	0.76376
ATP2B1	ENSG00000070961	1.0	0.084	5.2916	0.017765	0.41634
EIF4G2	ENSG00000110321	1.0	0.085	2.9814	0.017981	0.62085
ZNF462	ENSG00000148143	1.0	0.085	3.3514	0.032888	0.74905
WDR26	ENSG00000162923	1.0	0.085	3.5843	0.0	0.46877
CUL4B	ENSG00000158290	1.0	0.085	3.7714	0.0	0.40116
TRIM33	ENSG00000197323	1.0	0.086	4.4853	0.018203	0.46512
STXBP1	ENSG00000136854	1.0	0.086	4.263	0.0	0.36068
TOPBP1	ENSG00000163781	1.0	0.086	1.971	0.027431	0.79923
NF2	ENSG00000186575	1.0	0.086	2.287	0.0	0.64235
TET3	ENSG00000187605	1.0	0.086	2.878	0.018143	0.74212
MN1	ENSG00000169184	0.99999	0.087	2.1584	0.0	0.77959
SUPT6H	ENSG00000109111	1.0	0.087	5.1406	0.037832	0.54877
RP11-762I7.5	ENSG00000257390	1.0	0.087	2.2703	0.0	0.62468
NHS	ENSG00000188158	0.99999	0.087	1.8225	0.0	0.79453
RPS6KA3	ENSG00000177189	0.99999	0.087	4.5208	0.0	0.23277
MYT1L	ENSG00000186487	1.0	0.087	4.7706	0.018386	0.50209
UBP1	ENSG00000153560	0.99999	0.088	2.985	0.0	0.51555
PLCL2	ENSG00000154822	0.99999	0.088	3.3335	0.0	0.59678
SPTBN1	ENSG00000115306	1.0	0.088	4.5424	0.041887	0.65973
MYH9	ENSG00000100345	1.0	0.088	3.473	0.038313	0.71201
ZDHHC5	ENSG00000156599	0.99999	0.088	1.849	0.0	0.75135
LUC7L3	ENSG00000108848	0.99999	0.089	2.5831	0.0	0.53029
COPB2	ENSG00000184432	1.0	0.089	2.562	0.018746	0.66925
DNAJC14	ENSG00000135392	0.99999	0.089	1.5694	0.0	0.78081
RNF17	ENSG00000132972	1.0	0.089	1.7723	0.03429	0.82604
ANK3	ENSG00000151150	1.0	0.089	2.7937	0.049308	0.83627
F8	ENSG00000185010	1.0	0.089	2.4669	0.028416	0.76099
TM9SF3	ENSG00000077147	0.99999	0.09	3.5134	0.0	0.42272
DLG3	ENSG00000082458	0.99999	0.09	2.8769	0.0	0.55698
MGA	ENSG00000174197	1.0	0.09	1.1016	0.042833	0.92134
ANKRD52	ENSG00000139645	1.0	0.09	4.4928	0.018933	0.50223
STAG2	ENSG00000101972	1.0	0.09	4.938	0.018923	0.34031
SATB2	ENSG00000119042	0.99999	0.091	4.0511	0.0	0.44061
USP34	ENSG00000115464	1.0	0.091	2.3403	0.054952	0.84442
MAP3K2	ENSG00000169967	0.99999	0.091	2.3059	0.0	0.63308
PREX1	ENSG00000124126	1.0	0.091	3.695	0.035185	0.67076
MED14	ENSG00000180182	1.0	0.092	4.1329	0.01933	0.48813
CYFIP2	ENSG00000055163	1.0	0.092	6.0129	0.029307	0.37447
ZNF407	ENSG00000215421	1.0	0.092	0.85896	0.029252	0.93187
KPNB1	ENSG00000108424	1.0	0.092	5.9325	0.019307	0.23117
ETV5	ENSG00000244405	0.99999	0.092	1.9912	0.0	0.67652
CUL2	ENSG00000108094	1.0	0.093	3.2543	0.019602	0.54222
HNRNPM	ENSG00000099783	0.99999	0.093	2.7428	0.0	0.64274
PIAS1	ENSG00000033800	0.99999	0.094	2.7204	0.0	0.58948
DAAM2	ENSG00000146122	1.0	0.094	1.2724	0.019827	0.85671
EFTUD2	ENSG00000108883	1.0	0.094	4.0264	0.019846	0.52183
YTHDC1	ENSG00000083896	1.0	0.094	2.4773	0.019789	0.65579
NCBP1	ENSG00000136937	1.0	0.094	3.5235	0.019877	0.52155
TCF20	ENSG00000100207	1.0	0.095	0.089523	0.030129	0.99225
DLL1	ENSG00000198719	0.99999	0.095	1.8154	0.0	0.75713
UBR4	ENSG00000127481	1.0	0.095	5.6833	0.062772	0.70065
STAT3	ENSG00000168610	1.0	0.095	4.9943	0.019945	0.31301
IGF2BP3	ENSG00000136231	0.99999	0.095	2.1157	0.0	0.66995
NSD1	ENSG00000165671	1.0	0.095	3.4113	0.045197	0.74594
SRCAP	ENSG00000080603	1.0	0.096	2.1272	0.048453	0.86247
ZNF777	ENSG00000196453	0.99998	0.096	3.0853	0.0	0.62712
HNRNPK	ENSG00000165119	0.99998	0.096	3.9922	0.0	0.33039
SCAF8	ENSG00000213079	1.0	0.096	1.8985	0.030519	0.79829
ARID2	ENSG00000189079	1.0	0.096	2.7332	0.037297	0.75151
CCT3	ENSG00000163468	0.99998	0.097	1.1592	0.0	0.82199
COL5A2	ENSG00000204262	1.0	0.097	2.4395	0.042311	0.76898
PHC3	ENSG00000173889	1.0	0.097	1.7208	0.02036	0.79108
GATAD2B	ENSG00000143614	0.99998	0.097	3.161	0.0	0.52311
FBXO11	ENSG00000138081	1.0	0.097	4.3792	0.02046	0.43588
NOTCH1	ENSG00000148400	1.0	0.097	3.4451	0.046153	0.7631
COL3A1	ENSG00000168542	1.0	0.098	4.0879	0.042706	0.60583
PPP3CB	ENSG00000107758	0.99998	0.098	3.793	0.0	0.35977
ILF3	ENSG00000129351	1.0	0.098	2.6961	0.02065	0.6806
PLEKHA5	ENSG00000052126	1.0	0.098	1.2405	0.037955	0.86518
ZNF521	ENSG00000198795	1.0	0.098	2.4538	0.020618	0.74354
TAB2	ENSG00000055208	0.99998	0.098	1.613	0.0	0.76006
CTNND2	ENSG00000169862	1.0	0.098	2.7736	0.031044	0.70388
DDX5	ENSG00000108654	0.99998	0.098	2.7557	0.0	0.58176
ACTN4	ENSG00000130402	1.0	0.099	4.1552	0.02077	0.50275
UPF2	ENSG00000151461	1.0	0.099	3.1919	0.031537	0.65314
CARM1	ENSG00000142453	0.99998	0.099	4.2514	0.0	0.37199
PAXIP1	ENSG00000157212	1.0	0.099	3.283	0.03149	0.60547
BPTF	ENSG00000171634	1.0	0.099	3.7096	0.052698	0.72743
EP300	ENSG00000100393	1.0	0.099	2.0341	0.049966	0.8429
FBXL19	ENSG00000099364	0.99997	0.1	3.8701	0.0	0.46171
CREBRF	ENSG00000164463	0.99997	0.1	2.3634	0.0	0.63511
HDAC2	ENSG00000196591	0.99997	0.1	4.0512	0.0	0.29884
SP1	ENSG00000185591	0.99997	0.1	1.1354	0.0	0.84499
MAPK8IP2	ENSG00000008735	0.99997	0.1	2.5589	0.0	0.66915
AP2A1	ENSG00000196961	1.0	0.101	4.3968	0.021266	0.4966
ARCN1	ENSG00000095139	0.99997	0.101	2.0819	0.0	0.6529
SPTAN1	ENSG00000197694	1.0	0.101	5.523	0.055885	0.5815
RPTOR	ENSG00000141564	1.0	0.101	4.9391	0.039042	0.5333
CAND1	ENSG00000111530	1.0	0.101	4.1554	0.021234	0.53484
COPS2	ENSG00000166200	0.99997	0.101	4.1315	0.0	0.21745
SALL4	ENSG00000101115	0.99997	0.101	1.075	0.0	0.87791
CACNA1C	ENSG00000151067	1.0	0.102	6.4654	0.048672	0.49513
ARID1B	ENSG00000049618	1.0	0.102	2.5854	0.044396	0.79124
PSMD2	ENSG00000175166	1.0	0.102	3.0867	0.021599	0.61262
PSMD3	ENSG00000108344	0.99997	0.102	2.2798	0.0	0.64848
KMT2D	ENSG00000167548	1.0	0.103	3.7288	0.066852	0.81238
UBAP2L	ENSG00000143569	1.0	0.103	3.3429	0.03259	0.62078
ZNF148	ENSG00000163848	0.99997	0.103	3.5168	0.0	0.5139
BTK	ENSG00000010671	0.99996	0.103	4.0394	0.0	0.28493
RRM1	ENSG00000167325	1.0	0.103	3.9913	0.021629	0.45741
PPP2R5E	ENSG00000154001	0.99997	0.103	3.8338	0.0	0.31471
RFX3	ENSG00000080298	1.0	0.104	3.4728	0.021827	0.52557
BIRC6	ENSG00000115760	1.0	0.104	3.2081	0.066571	0.81599
LMNB2	ENSG00000176619	0.99996	0.104	0.65875	0.0	0.90683
CLTC	ENSG00000141367	1.0	0.104	7.7637	0.045332	0.2758
COPA	ENSG00000122218	1.0	0.105	3.558	0.040587	0.62352
COL1A1	ENSG00000108821	1.0	0.105	3.5319	0.0461	0.6683
DHX15	ENSG00000109606	1.0	0.105	5.6313	0.022077	0.25451
DHX9	ENSG00000135829	1.0	0.105	5.8433	0.040774	0.37788
MAP2	ENSG00000078018	1.0	0.105	0.88429	0.033266	0.91978
ZMYM3	ENSG00000147130	1.0	0.106	4.306	0.022443	0.48023
AGO2	ENSG00000123908	1.0	0.106	6.0576	0.022251	0.28501
ANK2	ENSG00000145362	1.0	0.106	1.9641	0.062573	0.87832
RALGAPB	ENSG00000170471	1.0	0.106	3.1771	0.041206	0.68711
IPO7	ENSG00000205339	1.0	0.106	3.5332	0.033534	0.57064
PRPF19	ENSG00000110107	0.99995	0.106	3.7434	0.0	0.39535
SCAF4	ENSG00000156304	1.0	0.106	1.9418	0.033544	0.78701
TBL1XR1	ENSG00000177565	0.99995	0.106	4.2042	0.0	0.26576
ZCCHC11	ENSG00000134744	1.0	0.107	2.7573	0.046618	0.73444
ZCCHC6	ENSG00000083223	1.0	0.107	2.7319	0.041431	0.72323
ANKRD11	ENSG00000167522	1.0	0.107	-0.55363	0.046779	1.039
PAFAH1B1	ENSG00000007168	0.99995	0.107	3.5284	0.0	0.34862
ZEB2	ENSG00000169554	1.0	0.107	3.9433	0.022589	0.56934
AP2A2	ENSG00000183020	1.0	0.108	3.1324	0.022726	0.63176
SMU1	ENSG00000122692	0.99994	0.108	4.3121	0.0	0.27288
NAA25	ENSG00000111300	1.0	0.108	3.4483	0.034183	0.56931
UBA1	ENSG00000130985	1.0	0.108	3.4752	0.022675	0.54258
BAZ1B	ENSG00000009954	1.0	0.109	3.723	0.042263	0.63081
HNRNPH1	ENSG00000169045	0.99993	0.109	4.0892	0.0	0.28539
VPRBP	ENSG00000145041	1.0	0.109	4.8396	0.023066	0.44115
CTIF	ENSG00000134030	0.99994	0.109	1.4914	0.0	0.78433
ABCB7	ENSG00000131269	0.99994	0.109	2.9037	0.0	0.51366
UTP15	ENSG00000164338	0.99993	0.11	1.4372	0.0	0.75565
SETBP1	ENSG00000152217	1.0	0.11	1.0965	0.023109	0.8952
ARID5B	ENSG00000150347	1.0	0.11	2.5999	0.023254	0.7167
RBM10	ENSG00000182872	1.0	0.11	4.4623	0.023218	0.39684
TPR	ENSG00000047410	1.0	0.111	2.9916	0.063762	0.756
RCOR1	ENSG00000089902	0.99992	0.111	1.8685	0.0	0.65488
SUFU	ENSG00000107882	0.99992	0.111	1.9341	0.0	0.6782
TRPS1	ENSG00000104447	1.0	0.111	1.5433	0.023333	0.83282
MTA1	ENSG00000182979	1.0	0.111	3.502	0.023416	0.5543
RUVBL2	ENSG00000183207	0.99992	0.111	3.1128	0.0	0.5245
EIF4G3	ENSG00000075151	1.0	0.112	2.9693	0.04915	0.71313
MDM4	ENSG00000198625	0.99992	0.112	1.7134	0.0	0.70013
NTRK2	ENSG00000148053	1.0	0.112	3.7344	0.023575	0.5165
ANKHD1	ENSG00000131503	1.0	0.112	4.4679	0.056598	0.65749
ANKHD1-EIF4EBP3	ENSG00000254996	1.0	0.112	4.4679	0.056598	0.65749
RORB	ENSG00000198963	0.99991	0.112	3.0833	0.0	0.456
TIAL1	ENSG00000151923	0.99992	0.112	3.5808	0.0	0.30972
NRXN3	ENSG00000021645	1.0	0.112	3.438	0.023512	0.62255
PTPRD	ENSG00000153707	1.0	0.112	0.27314	0.053067	0.97665
WAPAL	ENSG00000062650	1.0	0.112	3.4597	0.035428	0.61111
RBM26	ENSG00000139746	1.0	0.112	2.529	0.035521	0.68802
RIF1	ENSG00000080345	1.0	0.113	-0.41404	0.057117	1.0332
NLK	ENSG00000087095	0.99991	0.113	3.565	0.0	0.40775
PHIP	ENSG00000146247	1.0	0.113	5.1395	0.057367	0.53198
LPHN2	ENSG00000117114	1.0	0.113	1.2236	0.043796	0.87349
DPYSL5	ENSG00000157851	0.99991	0.113	3.0829	0.0	0.55123
USP8	ENSG00000138592	1.0	0.113	1.8666	0.035998	0.77877
TIPARP	ENSG00000163659	0.99991	0.113	1.7319	0.0	0.73741
ZBTB4	ENSG00000174282	0.99991	0.113	1.931	0.0	0.78435
ISY1	ENSG00000240682	0.9999	0.114	1.2445	0.0	0.72141
HNRNPU	ENSG00000153187	1.0	0.114	3.3718	0.023985	0.55542
TLK2	ENSG00000146872	1.0	0.114	4.4909	0.036368	0.36899
TRERF1	ENSG00000124496	1.0	0.114	2.2553	0.036207	0.76069
DHX30	ENSG00000132153	1.0	0.115	5.2961	0.036387	0.46078
MYCBP2	ENSG00000005810	1.0	0.115	6.0451	0.077305	0.65271
FUBP1	ENSG00000162613	1.0	0.115	2.9689	0.024336	0.56085
TRIM24	ENSG00000122779	1.0	0.115	3.4302	0.036616	0.58716
ZC3H7A	ENSG00000122299	1.0	0.115	1.749	0.036397	0.78375
UBXN7	ENSG00000163960	0.99988	0.116	3.1822	0.0	0.45933
SLC17A7	ENSG00000104888	0.99988	0.116	3.4894	0.0	0.4866
NOTCH2	ENSG00000134250	1.0	0.116	3.5024	0.058619	0.73313
SMARCC1	ENSG00000173473	1.0	0.116	2.4466	0.044984	0.72072
RAI1	ENSG00000108557	1.0	0.116	1.1156	0.036788	0.90681
CSE1L	ENSG00000124207	1.0	0.117	2.8493	0.037158	0.64328
EIF4A1	ENSG00000161960	0.99987	0.117	3.9298	0.0	0.2981
PIK3CA	ENSG00000121879	1.0	0.117	5.5986	0.045187	0.33762
KIF5C	ENSG00000168280	1.0	0.117	4.0539	0.037254	0.49526
REV3L	ENSG00000009413	1.0	0.117	2.4677	0.066905	0.82596
AGPS	ENSG00000018510	1.0	0.117	3.2294	0.024715	0.51965
ADAM10	ENSG00000137845	1.0	0.117	3.3058	0.0247	0.54084
MED1	ENSG00000125686	1.0	0.117	2.1391	0.037292	0.79168
SMARCC2	ENSG00000139613	1.0	0.117	3.9085	0.045283	0.58688
MYRF	ENSG00000124920	1.0	0.117	3.2927	0.037076	0.65013
DOT1L	ENSG00000104885	1.0	0.118	2.7249	0.045607	0.75449
CHAF1A	ENSG00000167670	1.0	0.118	1.8498	0.02493	0.78456
PSMD1	ENSG00000173692	1.0	0.118	3.6969	0.037612	0.53693
SRRM2	ENSG00000167978	1.0	0.118	-6.2829	0.062848	1.4308
PIAS4	ENSG00000105229	0.99986	0.118	2.6256	0.0	0.60309
ACTR3	ENSG00000115091	0.99986	0.118	3.6093	0.0	0.33036
DDX3X	ENSG00000215301	0.99986	0.118	4.3295	0.0	0.27569
TSC1	ENSG00000165699	1.0	0.118	2.3217	0.037521	0.74273
SON	ENSG00000159140	1.0	0.118	1.541	0.051624	0.8818
WHSC1	ENSG00000109685	1.0	0.119	3.8981	0.045949	0.61463
TCEB3	ENSG00000011007	1.0	0.119	1.7919	0.025027	0.75506
STAG1	ENSG00000118007	1.0	0.119	4.4429	0.052126	0.51295
ATRX	ENSG00000085224	1.0	0.119	3.1025	0.056501	0.7023
VCPIP1	ENSG00000175073	1.0	0.119	3.5573	0.02505	0.60593
EIF4A3	ENSG00000141543	0.99985	0.119	4.021	0.0	0.29074
MAU2	ENSG00000129933	1.0	0.119	4.0347	0.025133	0.40792
PSMC2	ENSG00000161057	0.99985	0.119	3.6201	0.0	0.35774
DAZAP1	ENSG00000071626	0.99985	0.119	3.3738	0.0	0.39973
POGZ	ENSG00000143442	1.0	0.119	3.5062	0.045859	0.65144
PRKAR1A	ENSG00000108946	0.99985	0.119	3.1236	0.0	0.40618
SF3A3	ENSG00000183431	1.0	0.119	3.6172	0.025121	0.37419
FXR1	ENSG00000114416	1.0	0.119	3.201	0.025167	0.51898
CDC42BPB	ENSG00000198752	1.0	0.12	3.6598	0.060953	0.67656
XPO7	ENSG00000130227	1.0	0.12	4.8157	0.046473	0.44285
RARB	ENSG00000077092	0.99983	0.12	2.8661	0.0	0.49061
RERE	ENSG00000142599	1.0	0.12	2.0321	0.046333	0.81038
ZMYND11	ENSG00000015171	1.0	0.12	3.7109	0.025252	0.4455
RPL4	ENSG00000174444	0.99984	0.12	1.2717	0.0	0.78028
SUPT16H	ENSG00000092201	1.0	0.12	5.1004	0.046458	0.40008
ZBTB47	ENSG00000114853	0.99983	0.12	2.4493	0.0	0.66187
PRRC2C	ENSG00000117523	1.0	0.121	2.4949	0.071353	0.81366
PPFIA3	ENSG00000177380	1.0	0.121	5.487	0.046834	0.42752
ATP1A1	ENSG00000163399	1.0	0.121	6.2154	0.038449	0.28542
KIF11	ENSG00000138160	1.0	0.121	3.2716	0.038378	0.59624
NCOA2	ENSG00000140396	1.0	0.121	2.2865	0.046929	0.77314
HIPK1	ENSG00000163349	1.0	0.121	2.4799	0.038558	0.72747
KIAA0430	ENSG00000166783	1.0	0.121	2.7293	0.052813	0.75371
ARMCX4	ENSG00000196440	1.0	0.122	2.6373	0.025809	0.73152
KMT2C	ENSG00000055609	1.0	0.122	2.1357	0.082126	0.88047
PIK3AP1	ENSG00000155629	1.0	0.122	2.2563	0.025645	0.71197
SEMA4C	ENSG00000168758	1.0	0.122	2.3851	0.025727	0.70958
CYTH1	ENSG00000108669	0.99981	0.122	2.4385	0.0	0.55383
RBM17	ENSG00000134453	0.99981	0.122	3.1023	0.0	0.42505
RTF1	ENSG00000137815	1.0	0.122	4.5908	0.025638	0.31049
IPO5	ENSG00000065150	1.0	0.122	3.3553	0.047375	0.61544
NUP98	ENSG00000110713	1.0	0.122	1.4058	0.057874	0.87285
TRAF2	ENSG00000127191	0.99979	0.123	1.5611	0.0	0.75892
EIF4B	ENSG00000063046	0.99999	0.123	2.1528	0.025964	0.68879
ADNP	ENSG00000101126	1.0	0.123	2.0722	0.025868	0.75774
RET	ENSG00000165731	1.0	0.123	0.95512	0.039068	0.89563
TEAD1	ENSG00000187079	0.9998	0.123	1.6568	0.0	0.69773
CCDC22	ENSG00000101997	0.99979	0.123	1.2892	0.0	0.7795
SHANK3	ENSG00000251322	1.0	0.123	3.7434	0.039226	0.64575
CACNA1E	ENSG00000198216	1.0	0.124	5.8125	0.068996	0.55504
PRMT5	ENSG00000100462	0.99999	0.124	3.0264	0.026112	0.56015
JADE3	ENSG00000102221	0.99978	0.124	1.8969	0.0	0.69796
WDR5	ENSG00000196363	0.99978	0.124	3.3923	0.0	0.31983
CUL4A	ENSG00000139842	0.99999	0.124	2.8055	0.02609	0.59823
PCLO	ENSG00000186472	1.0	0.124	-1.461	0.080854	1.0815
ZNF219	ENSG00000165804	0.99977	0.124	2.9209	0.0	0.61002
GAPVD1	ENSG00000165219	1.0	0.125	2.5854	0.054558	0.7442
EPC1	ENSG00000120616	1.0	0.125	2.6729	0.039853	0.64945
KCNB1	ENSG00000158445	0.99977	0.125	4.269	0.0	0.46967
