human_ensembl_id,gene_name,mouse_ensembl_id,orthology_type,perc_id_human_to_mouse,perc_id_mouse_to_human,goc_score,wga_coverage
ENSG00000142182,DNMT3L,ENSMUSG00000000730,ortholog_one2one,63.2124,57.9572,100.0,100.0
ENSG00000160226,CFAP410,ENSMUSG00000020284,ortholog_one2one,72.6562,74.6988,100.0,100.0
ENSG00000266692,,ENSMUSG00000093443,ortholog_one2one,83.6364,85.1852,,95.42
ENSG00000264452,,ENSMUSG00000093784,ortholog_one2one,63.1579,63.1579,,100.0
ENSG00000221398,,ENSMUSG00000080461,ortholog_one2one,71.875,72.4409,,0.0
ENSG00000184221,OLIG1,ENSMUSG00000046160,ortholog_one2one,86.3469,90.0,100.0,100.0
ENSG00000177398,UMODL1,ENSMUSG00000054134,ortholog_one2one,62.519,61.1276,50.0,99.97
ENSG00000183640,KRTAP8-1,ENSMUSG00000059632,ortholog_one2one,82.5397,85.2459,100.0,100.0
ENSG00000274749,KRTAP7-1,ENSMUSG00000056706,ortholog_one2one,79.3103,79.3103,100.0,100.0
ENSG00000182591,KRTAP11-1,ENSMUSG00000091212,ortholog_one2one,82.2086,73.224,100.0,97.02
ENSG00000188992,LIPI,ENSMUSG00000032948,ortholog_one2one,67.1739,64.916,50.0,98.91
ENSG00000160294,MCM3AP,ENSMUSG00000001150,ortholog_one2one,78.5859,78.9447,100.0,100.0
ENSG00000204899,MZT1,ENSMUSG00000033186,ortholog_one2one,87.8049,92.3077,100.0,100.0
ENSG00000165837,ERICH6B,ENSMUSG00000022002,ortholog_one2one,33.6207,40.7666,75.0,100.0
ENSG00000150361,KLHL1,ENSMUSG00000022076,ortholog_one2one,95.0535,94.6738,100.0,100.0
ENSG00000182670,TTC3,ENSMUSG00000040785,ortholog_one2one,75.2099,76.9581,100.0,100.0
ENSG00000150893,FREM2,ENSMUSG00000037016,ortholog_one2one,88.1666,88.4177,100.0,100.0
ENSG00000174015,CBY2,ENSMUSG00000034913,ortholog_one2one,78.7946,79.148,100.0,100.0
ENSG00000152192,POU4F1,ENSMUSG00000048349,ortholog_one2one,99.284,98.8124,100.0,100.0
ENSG00000188811,NHLRC3,ENSMUSG00000042997,ortholog_one2one,83.8617,83.8617,100.0,100.0
ENSG00000102837,OLFM4,ENSMUSG00000022026,ortholog_one2one,70.1961,70.8911,100.0,100.0
ENSG00000139734,DIAPH3,ENSMUSG00000022021,ortholog_one2one,82.9003,84.4577,100.0,99.65
ENSG00000197683,KRTAP26-1,ENSMUSG00000071471,ortholog_one2one,55.2381,53.9535,75.0,100.0
ENSG00000206107,KRTAP27-1,ENSMUSG00000090515,ortholog_one2one,51.2077,52.4752,75.0,100.0
ENSG00000186970,KRTAP15-1,ENSMUSG00000022931,ortholog_one2one,54.0146,49.3333,75.0,100.0
ENSG00000252273,RNU6-426P,ENSMUSG00002075492,ortholog_one2one,63.9175,58.4906,,0.0
ENSG00000207638,MIR99A,ENSMUSG00000065530,ortholog_one2one,77.7778,96.9231,,100.0
ENSG00000199030,MIRLET7C,ENSMUSG00000065557,ortholog_one2one,95.2381,85.1064,,100.0
ENSG00000239023,RNU1-98P,ENSMUSG00000077359,ortholog_one2one,65.625,66.4557,,0.0
ENSG00000160299,PCNT,ENSMUSG00000001151,ortholog_one2one,53.1475,60.8025,100.0,94.94
ENSG00000159140,SON,ENSMUSG00000022961,ortholog_one2one,86.3974,84.6185,100.0,99.8
ENSG00000118946,PCDH17,ENSMUSG00000035566,ortholog_one2one,98.1018,98.2714,100.0,100.0
ENSG00000136141,LRCH1,ENSMUSG00000068015,ortholog_one2one,75.8847,81.6643,100.0,100.0
ENSG00000184564,SLITRK6,ENSMUSG00000045871,ortholog_one2one,89.1796,89.2857,100.0,100.0
ENSG00000182968,SOX1,ENSMUSG00000096014,ortholog_one2one,99.4885,99.4885,100.0,100.0
ENSG00000041515,MYO16,ENSMUSG00000039057,ortholog_one2one,76.1702,74.6222,100.0,99.42
ENSG00000180530,NRIP1,ENSMUSG00000048490,ortholog_one2one,84.6287,84.41,100.0,100.0
ENSG00000159200,RCAN1,ENSMUSG00000022951,ortholog_one2one,68.6508,87.3737,100.0,100.0
ENSG00000185950,IRS2,ENSMUSG00000038894,ortholog_one2one,85.0523,86.1469,100.0,100.0
ENSG00000153498,SPACA7,ENSMUSG00000010435,ortholog_one2one,37.4359,40.1099,100.0,91.91
ENSG00000204442,NALF1,ENSMUSG00000079157,ortholog_one2one,89.083,87.3662,100.0,100.0
ENSG00000185974,GRK1,ENSMUSG00000031450,ortholog_one2one,85.968,85.8156,100.0,100.0
ENSG00000122042,UBL3,ENSMUSG00000001687,ortholog_one2one,99.1453,99.1453,100.0,100.0
ENSG00000171189,GRIK1,ENSMUSG00000022935,ortholog_one2one,95.9958,97.5375,100.0,100.0
ENSG00000179813,FAM216B,ENSMUSG00000045655,ortholog_one2one,53.2374,53.6232,100.0,100.0
ENSG00000202395,RN7SKP1,ENSMUSG00002076750,ortholog_one2one,58.9577,61.5646,,0.0
ENSG00000206812,RNU6-38P,ENSMUSG00000087782,ortholog_one2one,83.1776,79.4643,,0.0
ENSG00000201847,SNORD31B,ENSMUSG00000065305,ortholog_one2one,75.3623,77.6119,,0.0
ENSG00000200072,,ENSMUSG00000084667,ortholog_one2one,67.2131,68.3333,,0.0
ENSG00000252952,RNU6-58P,ENSMUSG00000088889,ortholog_one2one,66.0194,63.5514,,0.0
ENSG00000198553,KCNRG,ENSMUSG00000046168,ortholog_one2one,72.4265,74.6212,100.0,100.0
ENSG00000283785,MIR15A,ENSMUSG00000093007,ortholog_one2one,87.9518,86.9048,,100.0
ENSG00000150510,FAM124A,ENSMUSG00000035184,ortholog_one2one,73.0769,74.4403,100.0,100.0
ENSG00000189167,ZAR1L,ENSMUSG00000056586,ortholog_one2one,55.7632,61.512,100.0,100.0
ENSG00000212564,RNU6-1326P,ENSMUSG00000084479,ortholog_one2one,63.5514,65.3846,,0.0
ENSG00000243927,MRPS6,ENSMUSG00000039680,ortholog_one2one,85.6,85.6,100.0,100.0
ENSG00000133111,RFXAP,ENSMUSG00000036615,ortholog_one2one,65.8088,77.4892,100.0,100.0
ENSG00000215475,SIAH3,ENSMUSG00000091722,ortholog_one2one,89.9628,90.2985,100.0,100.0
ENSG00000198743,SLC5A3,ENSMUSG00000089774,ortholog_one2one,93.8719,93.8719,100.0,100.0
ENSG00000175820,CCDC168,ENSMUSG00000091844,ortholog_one2one,31.5633,33.915,100.0,86.79
ENSG00000159197,KCNE2,ENSMUSG00000039672,ortholog_one2one,84.5528,84.5528,100.0,100.0
ENSG00000178235,SLITRK1,ENSMUSG00000075478,ortholog_one2one,97.5575,97.5575,100.0,100.0
ENSG00000244264,RN7SL597P,ENSMUSG00000092875,ortholog_one2one,71.6216,71.1409,,0.0
ENSG00000165572,KBTBD6,ENSMUSG00000075502,ortholog_one2one,56.9733,69.9454,100.0,100.0
ENSG00000120696,KBTBD7,ENSMUSG00000043881,ortholog_one2one,94.152,93.3333,100.0,100.0
ENSG00000166265,CYYR1,ENSMUSG00000041134,ortholog_one2one,82.5806,77.5758,100.0,100.0
ENSG00000125249,RAP2A,ENSMUSG00000051615,ortholog_one2one,99.4536,99.4536,100.0,100.0
ENSG00000160202,CRYAA,ENSMUSG00000024041,ortholog_one2one,94.7977,94.7977,100.0,100.0
ENSG00000222726,RNU2-7P,ENSMUSG00000064772,ortholog_one2one,80.8989,75.3927,,0.0
ENSG00000180730,SHISA2,ENSMUSG00000044461,ortholog_one2one,92.5424,92.5424,50.0,100.0
ENSG00000133105,RXFP2,ENSMUSG00000053368,ortholog_one2one,80.504,82.3609,100.0,100.0
ENSG00000073910,FRY,ENSMUSG00000056602,ortholog_one2one,96.5815,96.3576,100.0,100.0
ENSG00000123171,CCDC70,ENSMUSG00000017049,ortholog_one2one,83.3333,82.9596,50.0,100.0
ENSG00000125245,GPR18,ENSMUSG00000050350,ortholog_one2one,85.8006,85.8006,100.0,100.0
ENSG00000102524,TNFSF13B,ENSMUSG00000031497,ortholog_one2one,67.0175,61.8123,100.0,96.81
ENSG00000132932,ATP8A2,ENSMUSG00000021983,ortholog_one2one,91.4141,94.5993,75.0,100.0
ENSG00000151835,SACS,ENSMUSG00000048279,ortholog_one2one,93.5357,93.4745,75.0,100.0
ENSG00000231824,AKAIN1,ENSMUSG00000091636,ortholog_one2one,76.8116,76.8116,100.0,100.0
ENSG00000132874,SLC14A2,ENSMUSG00000024552,ortholog_one2one,39.5652,39.1398,75.0,100.0
ENSG00000178695,KCTD12,ENSMUSG00000098557,ortholog_one2one,99.3846,98.7768,100.0,100.0
ENSG00000102805,CLN5,ENSMUSG00000022125,ortholog_one2one,71.7877,75.3666,100.0,100.0
ENSG00000134489,HRH4,ENSMUSG00000037346,ortholog_one2one,68.4615,68.2864,100.0,100.0
ENSG00000253309,SERPINE3,ENSMUSG00000091155,ortholog_one2one,65.5941,66.0848,100.0,100.0
ENSG00000177511,ST8SIA3,ENSMUSG00000056812,ortholog_one2one,97.8947,97.8947,100.0,100.0
ENSG00000139780,METTL21C,ENSMUSG00000047343,ortholog_one2one,75.3788,80.2419,50.0,96.16
ENSG00000125255,SLC10A2,ENSMUSG00000023073,ortholog_one2one,80.4598,80.4598,50.0,100.0
ENSG00000081138,CDH7,ENSMUSG00000026312,ortholog_one2one,97.9618,97.9618,100.0,100.0
ENSG00000043355,ZIC2,ENSMUSG00000061524,ortholog_one2one,98.1203,98.6768,100.0,100.0
ENSG00000139800,ZIC5,ENSMUSG00000041703,ortholog_one2one,86.5415,88.9068,100.0,100.0
ENSG00000169840,GSX1,ENSMUSG00000053129,ortholog_one2one,96.5909,97.7011,100.0,100.0
ENSG00000166603,MC4R,ENSMUSG00000047259,ortholog_one2one,93.9759,93.9759,50.0,100.0
ENSG00000139515,PDX1,ENSMUSG00000029644,ortholog_one2one,87.9859,87.6761,100.0,100.0
ENSG00000172915,NBEA,ENSMUSG00000027799,ortholog_one2one,96.5959,97.6158,75.0,100.0
ENSG00000101542,CDH20,ENSMUSG00000050840,ortholog_one2one,96.1298,96.1298,50.0,100.0
ENSG00000141428,C18orf21,ENSMUSG00000024273,ortholog_one2one,72.7273,73.7327,100.0,100.0
ENSG00000141424,SLC39A6,ENSMUSG00000024270,ortholog_one2one,87.2848,86.1438,100.0,100.0
ENSG00000102678,FGF9,ENSMUSG00000021974,ortholog_one2one,99.5192,99.5192,50.0,100.0
ENSG00000166573,GALR1,ENSMUSG00000024553,ortholog_one2one,91.6905,91.954,100.0,100.0
ENSG00000202347,RNU1-16P,ENSMUSG00000064432,ortholog_one2one,82.9268,81.9277,,0.0
ENSG00000153531,ADPRHL1,ENSMUSG00000031448,ortholog_one2one,40.7728,47.2599,100.0,83.34
ENSG00000197971,MBP,ENSMUSG00000041607,ortholog_one2one,71.7105,87.2,100.0,100.0
ENSG00000120659,TNFSF11,ENSMUSG00000022015,ortholog_one2one,83.2808,83.5443,100.0,100.0
ENSG00000253710,ALG11,ENSMUSG00000063362,ortholog_one2one,85.9756,85.9756,100.0,100.0
ENSG00000173988,LRRC63,ENSMUSG00000021997,ortholog_one2one,52.6405,48.4326,100.0,98.26
ENSG00000280165,PCDH20,ENSMUSG00000050505,ortholog_one2one,92.5342,92.437,100.0,100.0
ENSG00000212293,,ENSMUSG00000084690,ortholog_one2one,57.4803,54.0741,,0.0
ENSG00000132972,RNF17,ENSMUSG00000000365,ortholog_one2one,75.1078,74.3293,25.0,100.0
ENSG00000102471,NDFIP2,ENSMUSG00000053253,ortholog_one2one,82.7381,82.2485,100.0,100.0
ENSG00000199272,RNU6-349P,ENSMUSG00000088370,ortholog_one2one,62.6168,65.0485,,0.0
ENSG00000251897,RNU6-916P,ENSMUSG00000118793,ortholog_one2one,84.4037,85.9813,,0.0
ENSG00000222704,RN7SKP182,ENSMUSG00002076285,ortholog_one2one,53.3557,53.7162,,0.0
ENSG00000207797,MIR187,ENSMUSG00000065532,ortholog_one2one,55.0459,98.3607,,100.0
ENSG00000253038,RNU6-706P,ENSMUSG00002076182,ortholog_one2one,67.3077,66.0377,,0.0
ENSG00000252555,RNU6-567P,ENSMUSG00000088830,ortholog_one2one,73.8318,75.9615,,0.0
ENSG00000207072,RNU6-39P,ENSMUSG00000119383,ortholog_one2one,95.3271,95.3271,,0.0
ENSG00000199728,RNU6-655P,ENSMUSG00000065722,ortholog_one2one,86.9159,86.9159,,0.0
ENSG00000175065,DSG4,ENSMUSG00000001804,ortholog_one2one,82.5,82.4207,100.0,100.0
ENSG00000186009,ATP4B,ENSMUSG00000031449,ortholog_one2one,83.5052,82.6531,100.0,100.0
ENSG00000186047,DLEU7,ENSMUSG00000048281,ortholog_one2one,82.8054,87.5598,100.0,100.0
ENSG00000139737,SLAIN1,ENSMUSG00000055717,ortholog_one2one,85.2542,86.8739,100.0,100.0
ENSG00000206602,SNORD58A,ENSMUSG00000064647,ortholog_one2one,90.7692,90.7692,,100.0
ENSG00000176624,MEX3C,ENSMUSG00000037253,ortholog_one2one,94.6889,95.7055,100.0,100.0
ENSG00000119547,ONECUT2,ENSMUSG00000045991,ortholog_one2one,98.8095,98.6139,100.0,100.0
ENSG00000284440,MIR122,ENSMUSG00000065402,ortholog_one2one,75.2941,96.9697,,100.0
ENSG00000173482,PTPRM,ENSMUSG00000033278,ortholog_one2one,97.2696,95.895,100.0,100.0
ENSG00000133116,KL,ENSMUSG00000058488,ortholog_one2one,85.8696,85.7002,75.0,100.0
ENSG00000136099,PCDH8,ENSMUSG00000036422,ortholog_one2one,94.2056,94.2056,100.0,100.0
ENSG00000276644,DACH1,ENSMUSG00000055639,ortholog_one2one,95.4674,89.747,100.0,100.0
ENSG00000200840,RNU6-82P,ENSMUSG00002075277,ortholog_one2one,72.8972,75.0,,0.0
ENSG00000083635,NUFIP1,ENSMUSG00000022009,ortholog_one2one,70.9091,72.5207,75.0,100.0
ENSG00000154856,APCDD1,ENSMUSG00000071847,ortholog_one2one,91.8288,91.8288,50.0,100.0
ENSG00000180332,KCTD4,ENSMUSG00000046523,ortholog_one2one,97.2973,97.2973,75.0,100.0
ENSG00000165566,AMER2,ENSMUSG00000021986,ortholog_one2one,79.2847,79.1667,50.0,100.0
ENSG00000120669,SOHLH2,ENSMUSG00000027794,ortholog_one2one,51.7647,47.1092,100.0,95.94
ENSG00000221139,,ENSMUSG00000080607,ortholog_one2one,52.8846,50.4587,,0.0
ENSG00000252677,,ENSMUSG00000088772,ortholog_one2one,49.4118,52.1739,,0.0
ENSG00000171791,BCL2,ENSMUSG00000057329,ortholog_one2one,90.3766,91.5254,100.0,100.0
ENSG00000242715,CCDC169,ENSMUSG00000048655,ortholog_one2one,71.028,71.028,100.0,100.0
ENSG00000176194,CIDEA,ENSMUSG00000024526,ortholog_one2one,82.6484,83.4101,100.0,100.0
ENSG00000134762,DSC3,ENSMUSG00000059898,ortholog_one2one,79.5759,79.5759,100.0,99.66
ENSG00000134765,DSC1,ENSMUSG00000044322,ortholog_one2one,81.6555,82.3928,100.0,100.0
ENSG00000102794,ACOD1,ENSMUSG00000022126,ortholog_one2one,82.3285,81.1475,100.0,100.0
ENSG00000183098,GPC6,ENSMUSG00000058571,ortholog_one2one,96.7568,96.7568,100.0,100.0
ENSG00000080166,DCT,ENSMUSG00000022129,ortholog_one2one,83.0443,83.3656,100.0,100.0
ENSG00000154611,PSMA8,ENSMUSG00000036743,ortholog_one2one,94.8,94.8,100.0,100.0
ENSG00000125285,SOX21,ENSMUSG00000061517,ortholog_one2one,99.6377,99.6377,100.0,100.0
ENSG00000185352,HS6ST3,ENSMUSG00000053465,ortholog_one2one,95.1168,95.3191,100.0,100.0
ENSG00000131196,NFATC1,ENSMUSG00000033016,ortholog_one2one,83.7752,84.1321,100.0,100.0
ENSG00000198033,TUBA3C,ENSMUSG00000067338,ortholog_one2one,100.0,100.0,0.0,100.0
ENSG00000179399,GPC5,ENSMUSG00000022112,ortholog_one2one,85.6643,85.6643,100.0,100.0
ENSG00000183463,URAD,ENSMUSG00000025481,ortholog_one2one,13.8728,20.339,0.0,0.0
ENSG00000139618,BRCA2,ENSMUSG00000041147,ortholog_one2one,57.1094,58.6362,100.0,99.35
ENSG00000153487,ING1,ENSMUSG00000045969,ortholog_one2one,88.8889,88.8889,100.0,100.0
ENSG00000122034,GTF3A,ENSMUSG00000016503,ortholog_one2one,77.8082,78.022,100.0,100.0
ENSG00000053747,LAMA3,ENSMUSG00000024421,ortholog_one2one,77.7978,77.8679,100.0,100.0
ENSG00000283199,C13orf46,ENSMUSG00000031452,ortholog_one2one,54.2453,47.9167,100.0,96.63
ENSG00000226792,C13orf42,ENSMUSG00000100486,ortholog_one2one,76.9231,78.6164,100.0,100.0
ENSG00000207500,SNORD102,ENSMUSG00000077185,ortholog_one2one,87.5,88.7324,,100.0
ENSG00000207051,SNORA27,ENSMUSG00000077564,ortholog_one2one,88.8889,86.8217,,71.77
ENSG00000141404,GNAL,ENSMUSG00000024524,ortholog_one2one,76.6376,92.126,50.0,100.0
ENSG00000141434,MEP1B,ENSMUSG00000024313,ortholog_one2one,77.6034,77.2727,100.0,100.0
ENSG00000167210,LOXHD1,ENSMUSG00000032818,ortholog_one2one,91.553,93.9079,100.0,100.0
ENSG00000197641,SERPINB13,ENSMUSG00000048775,ortholog_one2one,74.6803,75.0643,100.0,96.93
ENSG00000206072,SERPINB11,ENSMUSG00000026327,ortholog_one2one,66.5816,67.268,100.0,100.0
ENSG00000187773,DIPK1C,ENSMUSG00000047992,ortholog_one2one,79.7136,81.4634,100.0,100.0
ENSG00000206043,C18orf63,ENSMUSG00000117781,ortholog_one2one,61.7518,61.3043,100.0,98.56
ENSG00000166634,SERPINB12,ENSMUSG00000059956,ortholog_one2one,72.0,72.3404,100.0,100.0
ENSG00000141391,PRELID3A,ENSMUSG00000024530,ortholog_one2one,90.1163,90.1163,100.0,100.0
ENSG00000206418,RAB12,ENSMUSG00000023460,ortholog_one2one,79.4118,92.7835,75.0,96.5
ENSG00000141759,TXNL4A,ENSMUSG00000057130,ortholog_one2one,100.0,100.0,100.0,100.0
ENSG00000101546,RBFA,ENSMUSG00000024570,ortholog_one2one,59.7668,58.5714,100.0,98.13
ENSG00000178184,PARD6G,ENSMUSG00000056214,ortholog_one2one,78.4574,77.2251,50.0,99.95
ENSG00000091157,WDR7,ENSMUSG00000040560,ortholog_one2one,95.0336,95.0974,50.0,100.0
ENSG00000177143,CETN1,ENSMUSG00000050996,ortholog_one2one,90.6977,90.6977,50.0,100.0
ENSG00000206422,LRRC30,ENSMUSG00000073375,ortholog_one2one,88.3721,88.6667,100.0,100.0
ENSG00000168454,TXNDC2,ENSMUSG00000050612,ortholog_one2one,40.535,35.8182,75.0,99.87
ENSG00000154864,PIEZO2,ENSMUSG00000041482,ortholog_one2one,89.8778,91.1827,50.0,100.0
ENSG00000166960,CCDC178,ENSMUSG00000024306,ortholog_one2one,50.173,50.2309,100.0,98.02
ENSG00000176136,MC5R,ENSMUSG00000007480,ortholog_one2one,80.3077,80.3077,75.0,100.0
ENSG00000174448,STARD6,ENSMUSG00000079608,ortholog_one2one,71.3636,67.382,100.0,100.0
ENSG00000284453,MIR1-2,ENSMUSG00000106348,ortholog_one2one,80.0,94.4444,,100.0
ENSG00000252325,RNU6-1038P,ENSMUSG00000118814,ortholog_one2one,88.4615,85.9813,,0.0
ENSG00000134443,GRP,ENSMUSG00000024517,ortholog_one2one,57.4324,58.2192,100.0,100.0
ENSG00000134438,RAX,ENSMUSG00000024518,ortholog_one2one,66.763,67.5439,100.0,100.0
ENSG00000166569,CPLX4,ENSMUSG00000024519,ortholog_one2one,91.875,91.875,100.0,100.0
ENSG00000197046,SIGLEC15,ENSMUSG00000091055,ortholog_one2one,81.4024,78.0702,100.0,100.0
ENSG00000141431,ASXL3,ENSMUSG00000045215,ortholog_one2one,82.1619,81.7257,100.0,100.0
ENSG00000175322,ZNF519,ENSMUSG00000060314,ortholog_one2one,43.1481,34.7243,0.0,0.0
ENSG00000222018,C21orf140,ENSMUSG00000051728,ortholog_one2one,70.5179,70.5179,100.0,100.0
ENSG00000243627,SMIM34,ENSMUSG00000116967,ortholog_one2one,56.8345,58.5185,100.0,100.0
ENSG00000242550,SERPINB10,ENSMUSG00000092572,ortholog_one2one,74.8111,74.8111,100.0,100.0
ENSG00000255112,CHMP1B,ENSMUSG00000109901,ortholog_one2one,97.99,97.99,50.0,100.0
ENSG00000179981,TSHZ1,ENSMUSG00000046982,ortholog_one2one,92.7577,92.1587,100.0,100.0
ENSG00000252097,RNU6-346P,ENSMUSG00000089271,ortholog_one2one,44.1441,47.5728,,0.0
ENSG00000130856,ZNF236,ENSMUSG00000041258,ortholog_one2one,88.6302,88.6302,100.0,99.25
ENSG00000283904,MIR155,ENSMUSG00000065397,ortholog_one2one,90.7692,90.7692,,100.0
ENSG00000182093,GET1,ENSMUSG00000023147,ortholog_one2one,93.1034,93.1034,100.0,100.0
ENSG00000180011,PTGR3,ENSMUSG00000049090,ortholog_one2one,88.0637,88.0637,100.0,100.0
ENSG00000170579,DLGAP1,ENSMUSG00000003279,ortholog_one2one,96.0082,94.5564,100.0,100.0
ENSG00000205726,ITSN1,ENSMUSG00000022957,ortholog_one2one,94.9448,95.0553,100.0,100.0
ENSG00000187323,DCC,ENSMUSG00000060534,ortholog_one2one,96.4755,96.4755,100.0,100.0
ENSG00000171873,ADRA1D,ENSMUSG00000027335,ortholog_one2one,85.1399,86.6548,100.0,100.0
ENSG00000125903,DEFB129,ENSMUSG00000074681,ortholog_one2one,38.7978,42.7711,100.0,100.0
ENSG00000178591,DEFB125,ENSMUSG00000074680,ortholog_one2one,32.0513,26.8817,50.0,51.63
ENSG00000173404,INSM1,ENSMUSG00000068154,ortholog_one2one,93.1373,91.1708,100.0,100.0
ENSG00000185982,DEFB128,ENSMUSG00000049560,ortholog_one2one,50.5376,48.9583,100.0,100.0
ENSG00000067900,ROCK1,ENSMUSG00000024290,ortholog_one2one,96.6027,96.6027,50.0,100.0
ENSG00000132640,BTBD3,ENSMUSG00000062098,ortholog_one2one,86.9732,98.4816,100.0,100.0
ENSG00000101230,ISM1,ENSMUSG00000074766,ortholog_one2one,92.8879,93.4924,100.0,100.0
ENSG00000215397,SCRT2,ENSMUSG00000060257,ortholog_one2one,92.1824,90.9968,100.0,100.0
ENSG00000215547,DEFB115,ENSMUSG00000074679,ortholog_one2one,50.0,49.4382,50.0,98.34
ENSG00000101447,FAM83D,ENSMUSG00000027654,ortholog_one2one,77.265,77.265,100.0,100.0
ENSG00000158445,KCNB1,ENSMUSG00000050556,ortholog_one2one,93.7063,93.8156,100.0,100.0
ENSG00000124089,MC3R,ENSMUSG00000038537,ortholog_one2one,88.8545,88.8545,100.0,100.0
ENSG00000054803,CBLN4,ENSMUSG00000067578,ortholog_one2one,96.0199,97.4747,100.0,100.0
ENSG00000130701,RBBP8NL,ENSMUSG00000038980,ortholog_one2one,57.3795,62.0521,100.0,98.4
ENSG00000124225,PMEPA1,ENSMUSG00000038400,ortholog_one2one,87.108,80.1282,100.0,98.22
ENSG00000101115,SALL4,ENSMUSG00000027547,ortholog_one2one,75.4036,74.4142,100.0,100.0
ENSG00000132631,SCP2D1,ENSMUSG00000027431,ortholog_one2one,72.4359,72.4359,100.0,100.0
ENSG00000125533,BHLHE23,ENSMUSG00000045493,ortholog_one2one,78.8382,85.2018,100.0,98.9
