gene_symbol_human,ensembl_id,chrom,tss,phastcons_100way_2kb
DLEU7,ENSG00000186047,chr13,50843939,0.19673524997121422
RBFA,ENSG00000101546,chr18,80034389,0.0384162500477687
ERICH6B,ENSG00000165837,chr13,45615739,0.06186750006710645
ING1,ENSG00000153487,chr13,110712736,0.22222775020654081
SLAIN1,ENSG00000139737,chr13,77697687,0.1772142500888731
GPC6,ENSG00000183098,chr13,93226807,0.25534800013434145
SNORD58A,ENSG00000206602,chr18,49491347,0.200624500056525
AGPAT3,ENSG00000160216,chr21,43865223,0.0303605000723619
RNU6-706P,ENSG00000253038,chr18,39034007,0.11683849993580953
WDR7,ENSG00000091157,chr18,56651343,0.05604625006832066
C13orf42,ENSG00000226792,chr13,51200252,0.08800400006223935
PDX1,ENSG00000139515,chr13,27920000,0.15418400005527655
SACS,ENSG00000151835,chr13,23433763,0.048309250059042824
SERPINE3,ENSG00000253309,chr13,51335773,0.045863750015822005
ST8SIA3,ENSG00000177511,chr18,57352557,0.21920025002810872
SPACA7,ENSG00000153498,chr13,112376355,0.031162250008230332
CBY2,ENSG00000174015,chr13,45702320,0.1201610000380897
MEX3C,ENSG00000176624,chr18,51218333,0.046498250091943194
CLN5,ENSG00000102805,chr13,76990660,0.12689724997716256
MCM3AP,ENSG00000160294,chr21,46286297,0.18958474998213934
MIRLET7C,ENSG00000199030,chr21,16539828,0.17422550018740002
OLFM4,ENSG00000102837,chr13,53028813,0.07194150006840937
RFXAP,ENSG00000133111,chr13,36819222,0.13635775009557255
CCDC168,ENSG00000175820,chr13,102759072,0.09157749999288353
SLITRK1,ENSG00000178235,chr13,83882474,0.5767600003408152
KRTAP24-1,ENSG00000188694,chr21,30282950,0.0923640001391177
SLC5A3,ENSG00000198743,chr21,34073578,0.1502110000650282
CYYR1,ENSG00000166265,chr21,26573286,0.06482600003539118
,ENSG00000221139,chr18,21450756,0.2067787501302955
ATP8A2,ENSG00000132932,chr13,25371974,0.05171899997087894
ZAR1L,ENSG00000189167,chr13,32315363,0.05472499999307911
PCDH17,ENSG00000118946,chr13,57631744,0.7167490002666891
URAD,ENSG00000183463,chr13,27988693,0.052936500194860854
SLITRK6,ENSG00000184564,chr13,85806683,0.03337175000694697
PCDH8,ENSG00000136099,chr13,52848641,0.5842627502521209
ATP4B,ENSG00000186009,chr13,113658198,0.03910200005784282
SON,ENSG00000159140,chr21,33543038,0.13664325010191533
U6,ENSG00000283300,chr21,28743208,0.04714750000060303
CDH7,ENSG00000081138,chr18,65750252,0.10765625018568244
RNU6-916P,ENSG00000251897,chr18,6937020,0.03622299999257666
RNU1-16P,ENSG00000202347,chr13,113479078,0.11583975011558505
DNMT3L,ENSG00000142182,chr21,44262216,0.02967349996624398
RNU6-38P,ENSG00000206812,chr13,75109587,0.17469999998481944
NBEA,ENSG00000172915,chr13,34942270,0.3519847500385949
KCTD4,ENSG00000180332,chr13,45201045,0.09917075006390223
PARD6G,ENSG00000178184,chr18,80247514,0.058945000040141166
PCDH20,ENSG00000280165,chr13,61415849,0.14353324999392497
,ENSG00000266692,chr21,44437121,0.05016025017024367
NRIP1,ENSG00000180530,chr21,15065936,0.20553625017177546
AMER2,ENSG00000165566,chr13,25172288,0.24552500015046097
CRYAA,ENSG00000160202,chr21,43169008,0.11212725005377433
GPC5,ENSG00000179399,chr13,91398621,0.09544975013259682
RRP1B,ENSG00000160208,chr21,43659560,0.05103050000668736
KCTD12,ENSG00000178695,chr13,76886405,0.28156750016685694
RNU6-655P,ENSG00000199728,chr18,78036739,0.050072127739233835
FAM124A,ENSG00000150510,chr13,51222334,0.07995399990395527
DSC3,ENSG00000134762,chr18,31042815,0.04095724998399965
SLC39A6,ENSG00000141424,chr18,36129385,0.07820575018215459
KRTAP26-1,ENSG00000197683,chr21,30320315,0.07170850010457798
RNU2-55P,ENSG00000223078,chr21,23281909,0.04648399993864587
UTY,ENSG00000183878,chrY,13480673,0.18306625002837973
SIAH3,ENSG00000215475,chr13,45851753,0.2782930000893248
,ENSG00000200072,chr13,112052078,0.0075337500068708325
KBTBD7,ENSG00000120696,chr13,41194569,0.3500797505667142
TNFSF11,ENSG00000120659,chr13,42562736,0.08524899989820552
METTL21C,ENSG00000139780,chr13,102695044,0.05602475006051827
OLIG1,ENSG00000184221,chr21,33070141,0.10912075020003249
NFATC1,ENSG00000131196,chr18,79395856,0.12883425017382252
DSG4,ENSG00000175065,chr18,31376777,0.14261525008344325
BRCA2,ENSG00000139618,chr13,32315086,0.05070575000543613
RNU6-58P,ENSG00000252952,chr13,23217534,0.049411750150262376
SERPINB13,ENSG00000197641,chr18,63586989,0.05624475007041474
FGF9,ENSG00000102678,chr13,21671073,0.4252612500600808
KLHL1,ENSG00000150361,chr13,70108493,0.29808250028215116
LIPI,ENSG00000188992,chr21,14210955,0.09000550006574486
RNU6-39P,ENSG00000207072,chr18,68858934,0.02291350000433158
LRCH1,ENSG00000136141,chr13,46553168,0.18300600007010506
UMODL1,ENSG00000177398,chr21,42062959,0.00641975001335959
GALR1,ENSG00000166573,chr18,77249848,0.15119325008813758
MC4R,ENSG00000166603,chr18,60372775,0.2530117500699998
RN7SKP182,ENSG00000222704,chr18,39016344,0.03898675012757303
PCP4,ENSG00000183036,chr21,39867438,0.06937375014956342
MEP1B,ENSG00000141434,chr18,32185069,0.06570250007580035
TNFSF13B,ENSG00000102524,chr13,108251240,0.0732227501035377
FREM2,ENSG00000150893,chr13,38687077,0.3650872502231505
KDM5D,ENSG00000012817,chrY,19744989,0.11712100020278013
AKAIN1,ENSG00000231824,chr18,5197503,0.13635275022569113
CFAP410,ENSG00000160226,chr21,44339402,0.06438575004148879
TTC3,ENSG00000182670,chr21,37073226,0.08865950000827434
RIPPLY3,ENSG00000183145,chr21,37006150,0.03460775006303447
APCDD1,ENSG00000154856,chr18,10454635,0.1288064999485796
ADPRHL1,ENSG00000153531,chr13,113453488,0.08105925005799508
SOX1,ENSG00000182968,chr13,112067149,0.4098975002109655
RN7SKP1,ENSG00000202395,chr13,37166658,0.0818307500758383
TXNL4A,ENSG00000141759,chr18,80033949,0.05350025008397642
TFF1,ENSG00000160182,chr21,42366535,0.018154250014718855
GSX1,ENSG00000169840,chr13,27792483,0.35369500002043786
RAP2A,ENSG00000125249,chr13,97434169,0.16467750002388493
RAB12,ENSG00000206418,chr18,8609437,0.11108750004103057
TUBA3C,ENSG00000198033,chr13,19181824,0.019753500034334136
PRELID3A,ENSG00000141391,chr18,12407896,0.047368250074243404
DCT,ENSG00000080166,chr13,94479682,0.1810594998378074
KL,ENSG00000133116,chr13,33016423,0.16057699999710895
MORC3,ENSG00000159256,chr21,36320189,0.10082125007934518
C18orf21,ENSG00000141428,chr18,35972625,0.06522850012039999
SNORD102,ENSG00000207500,chr13,27255064,0.19949700011470123
CETN1,ENSG00000177143,chr18,580380,0.20028350014731405
SNORA27,ENSG00000207051,chr13,27255401,0.2018000001281325
,ENSG00000252677,chr18,21712119,0.24309500017471145
KRTAP15-1,ENSG00000186970,chr21,30440275,0.047452250036381885
NDFIP2,ENSG00000102471,chr13,79481155,0.09888350005197571
MIR187,ENSG00000207797,chr18,35904926,0.1438175001567579
ACOD1,ENSG00000102794,chr13,76948511,0.030195249984040856
CIDEA,ENSG00000176194,chr18,12254361,0.02866300007974496
USP9Y,ENSG00000114374,chrY,12537650,0.1125750000171247
MZT1,ENSG00000204899,chr13,72727629,0.11565400000195951
SOX21,ENSG00000125285,chr13,94712545,0.3201945002108696
SIM2,ENSG00000159263,chr21,36699115,0.09713850006490247
PCNT,ENSG00000160299,chr21,46324124,0.08688125003382448
GPR18,ENSG00000125245,chr13,99261744,0.056671999983635035
KCNE2,ENSG00000159197,chr21,34180729,0.11923125023886678
MYO16,ENSG00000041515,chr13,108596152,0.02691175009132712
DACH1,ENSG00000276644,chr13,71867204,0.4368657502906281
FRY,ENSG00000073910,chr13,31846713,0.09272050005331403
RNU6-567P,ENSG00000252555,chr18,60018625,0.24520225014939206
CCDC70,ENSG00000123171,chr13,51861969,0.05199000001407694
SRY,ENSG00000184895,chrY,2787682,0.24119400030895485
C18orf63,ENSG00000206043,chr18,74315839,0.03174775003906689
RNU6-1326P,ENSG00000212564,chr21,15614283,0.058875750067585615
,ENSG00000221398,chr21,34456237,0.01578925006254576
ZIC5,ENSG00000139800,chr13,99971767,0.46991975013862247
DIPK1C,ENSG00000187773,chr18,74457944,0.04413000011086115
KRTAP7-1,ENSG00000274749,chr21,30829759,0.16334550029825187
CDH20,ENSG00000101542,chr18,61333430,0.14911475017023623
CLDN8,ENSG00000156284,chr21,30216097,0.152529499992379
NCAM2,ENSG00000154654,chr21,20998409,0.23655525013731676
DIAPH3,ENSG00000139734,chr13,60163928,0.08195249988793511
MBP,ENSG00000197971,chr18,77133683,0.010575000035838457
ZIC2,ENSG00000043355,chr13,99981784,0.40646424999358716
ALG11,ENSG00000253710,chr13,52012391,0.07813475005535292
LRRC63,ENSG00000173988,chr13,46211928,0.09482800010277424
DSCAM,ENSG00000171587,chr21,40847158,0.30384525009689967
PSMA8,ENSG00000154611,chr18,26133852,0.1870690001921612
MIR99A,ENSG00000207638,chr21,16539089,0.23437150017524255
CHODL,ENSG00000154645,chr21,17901263,0.09598975011255242
NHLRC3,ENSG00000188811,chr13,39038306,0.13173050002221134
DSC1,ENSG00000134765,chr18,31162856,0.12984375021065353
RNU6-349P,ENSG00000199272,chr18,6454962,0.042159750136372166
LOXHD1,ENSG00000167210,chr18,46657220,0.06870924999919953
RNU6-426P,ENSG00000252273,chr21,16035509,0.042098499981337224
PTPRM,ENSG00000173482,chr18,7566782,0.06282025006099139
BCL2,ENSG00000171791,chr18,63320128,0.333818250301003
GRIK1,ENSG00000171189,chr21,29940033,0.1682627500500821
RXFP2,ENSG00000133105,chr13,31739526,0.09317525000264869
,ENSG00000264452,chr21,44439035,0.06629175016711815
NALF1,ENSG00000204442,chr13,107867496,0.42277125036699
,ENSG00000212293,chr13,32420516,0.08646875018492574
SLC10A2,ENSG00000125255,chr13,103066417,0.20781474996646285
GRK1,ENSG00000185974,chr13,113667219,0.1261454999856942
SERPINB12,ENSG00000166634,chr18,63542369,0.026004249976511348
KCNRG,ENSG00000198553,chr13,50015254,0.21356675018827082
CCDC169,ENSG00000242715,chr13,36297840,0.08412125014219782
C13orf46,ENSG00000283199,chr13,113974076,0.041364000100322304
SERPINB11,ENSG00000206072,chr18,63647579,0.026697500040929297
RNU6-82P,ENSG00000200840,chr13,28232501,0.029077999996225116
SLC14A2,ENSG00000132874,chr18,45212995,0.13389525009028147
RNU6-1038P,ENSG00000252325,chr18,21879801,0.16537549999559997
BPIFA2,ENSG00000131050,chr20,33161768,0.01739350006508175
LRRC3,ENSG00000160233,chr21,44455490,0.1284017501436174
SNORD12B,ENSG00000222365,chr20,49280319,0.091004999958619
RNU6-64P,ENSG00000252928,chr13,30281765,0.17052350012326498
DCC,ENSG00000187323,chr18,52340197,0.23635425009424216
CBFA2T2,ENSG00000078699,chr20,33490075,0.1330270000625169
GRP,ENSG00000134443,chr18,59220158,0.06972225007548695
CHMP1B,ENSG00000255112,chr18,11851413,0.21633649997855536
GET1,ENSG00000182093,chr21,39377698,0.13182800014098756
SCP2D1,ENSG00000132631,chr20,18813783,0.14986150013862062
ISM1,ENSG00000101230,chr20,13221274,0.14889800007225132
MC5R,ENSG00000176136,chr18,13824149,0.10160699996780022
RAX,ENSG00000134438,chr18,59274086,0.13356724999126163
WFDC8,ENSG00000158901,chr20,45579326,0.041723500005726236
STARD6,ENSG00000174448,chr18,54357964,0.0830242500200402
MIR1306,ENSG00000284464,chr22,20086058,0.3691652502355282
C20orf173,ENSG00000125975,chr20,35529652,0.06101525009874604
GRPR,ENSG00000126010,chrX,16123565,0.18555125020979904
C2CD2,ENSG00000157617,chr21,41954018,0.05905649999270099
SNORD12,ENSG00000212304,chr20,49280683,0.08488199995737523
FAM83D,ENSG00000101447,chr20,38926312,0.11094275012426079
MIR185,ENSG00000208023,chr22,20033139,0.041942000109789664
MIR103A2,ENSG00000199024,chr20,3917494,0.14737025011892546
PARVB,ENSG00000188677,chr22,43999211,0.037221749962889586
GCNT7,ENSG00000124091,chr20,56525925,0.11695275008492172
AMELX,ENSG00000125363,chrX,11293413,0.13038774994460983
CCDC178,ENSG00000166960,chr18,33441101,0.06839199997772812
CSTL1,ENSG00000125823,chr20,23426104,0.07396312911266681
ZCCHC3,ENSG00000247315,chr20,297570,0.35692225031918495
MAFB,ENSG00000204103,chr20,40689236,0.47941300015634625
CBLN4,ENSG00000054803,chr20,56005519,0.14500325008120854
PCDH9,ENSG00000184226,chr13,67230445,0.44805650016030996
CPLX4,ENSG00000166569,chr18,59318649,0.14065600009800983
RBPJL,ENSG00000124232,chr20,45306840,0.14949275027125258
RNU1-23P,ENSG00000200231,chr20,24237255,0.05001549992294167
FAM210B,ENSG00000124098,chr20,56358974,0.029725999970803968
WFDC13,ENSG00000168634,chr20,45702038,0.10936275004805066
RNU6-347P,ENSG00000252467,chr20,51902291,0.04731425008384395
C20orf202,ENSG00000215595,chr20,1203454,0.0771797500885732
RUNX1,ENSG00000159216,chr21,36004667,0.10289050010908977
OSM,ENSG00000099985,chr22,30266851,0.1780567499989702
EPPIN,ENSG00000101448,chr20,45547752,0.041588999939907806
XKR7,ENSG00000260903,chr20,31968151,0.2859652503429097
HSPA13,ENSG00000155304,chr21,14383484,0.060017500042857136
SNORD17,ENSG00000212232,chr20,17962946,0.06676525005834992
ITSN1,ENSG00000205726,chr21,33642400,0.16550025007710792
SPINT3,ENSG00000101446,chr20,45515622,0.03916350001757382
CACNA1I,ENSG00000100346,chr22,39570753,0.07516750009069802
BPIFB4,ENSG00000186191,chr20,33079643,0.06552150011062623
RN7SKP74,ENSG00000199719,chr20,18295451,0.06618775005015777
TRAPPC10,ENSG00000160218,chr21,44012309,0.05665025008411612
TOP1,ENSG00000198900,chr20,41028822,0.28112300022202547
MIR3618,ENSG00000284140,chr22,20085746,0.37312025024130707
SRMS,ENSG00000125508,chr20,63547749,0.04326925009937258
RNU6-929P,ENSG00000207158,chr20,56786087,0.038605250033695485
RBBP8NL,ENSG00000130701,chr20,62427539,0.043743000060261696
RNU6-192P,ENSG00000212555,chr20,17903762,0.041581500056228834
FTCD,ENSG00000160282,chr21,46155581,0.0677980000639218
BPIFA3,ENSG00000131059,chr20,33217310,0.06120975008170353
SNORD83A,ENSG00000209482,chr22,39315307,0.25053325014657457
ADRA1D,ENSG00000171873,chr20,4249287,0.24053800002863862
ZNF236,ENSG00000130856,chr18,76822557,0.022565500066557432
DEFB129,ENSG00000125903,chr20,227258,0.051135000081179896
SPATA25,ENSG00000149634,chr20,45887622,0.22417075022959035
SYCP2,ENSG00000196074,chr20,59933655,0.013060000024619512
FASTKD5,ENSG00000215251,chr20,3159865,0.08686025011067977
C21orf140,ENSG00000222018,chr21,34401072,0.1315865001177008
CHRNA4,ENSG00000101204,chr20,63378401,0.04470750001160195
SMIM34,ENSG00000243627,chr21,34423951,0.03871475004524109
MIR20A,ENSG00000283762,chr13,91351065,0.278874250143941
KLHL34,ENSG00000185915,chrX,21658330,0.3946420001356164
MOCS3,ENSG00000124217,chr20,50958818,0.2940717502682528
SLC13A3,ENSG00000158296,chr20,46684467,0.04673950013282593
GTSF1L,ENSG00000124196,chr20,43727002,0.10025025015094434
MIR19A,ENSG00000284204,chr13,91350891,0.2956947501246468
SPINT4,ENSG00000149651,chr20,45722347,0.0773862500662217
SNU13,ENSG00000100138,chr22,41690504,0.07949475008883747
MIR124-3,ENSG00000207598,chr20,63178500,0.13329199996232638
PWP2,ENSG00000241945,chr21,44107358,0.14413100019766717
UBE2G2,ENSG00000184787,chr21,44801826,0.032597750026587165
TRPM2,ENSG00000142185,chr21,44350072,0.00794000002995017
SHISAL1,ENSG00000138944,chr22,44312951,0.014365750014112564
PROKR2,ENSG00000101292,chr20,5316954,0.01926575007016072
C20orf144,ENSG00000149609,chr20,33662327,0.06231150004226947
AVP,ENSG00000101200,chr20,3084724,0.10165825014119037
SLC32A1,ENSG00000101438,chr20,38724486,0.19783375010639428
RRP1,ENSG00000160214,chr21,43789513,0.08336649999429938
HCK,ENSG00000101336,chr20,32052197,0.06060324992972892
SERPINB10,ENSG00000242550,chr18,63907958,0.031586500038509255
TRIOBP,ENSG00000100106,chr22,37697048,0.06741700007102917
SIK1,ENSG00000142178,chr21,43427131,0.09954775006166892
RNU6-346P,ENSG00000252097,chr18,76800774,0.08546375006801099
PRND,ENSG00000171864,chr20,4721909,0.05439000005245907
DEFB115,ENSG00000215547,chr20,31257664,0.05983400008000899
SNORD12C,ENSG00000209042,chr20,49278940,0.08382324998959666
TNNC2,ENSG00000101470,chr20,45833745,0.14521400002288282
LTN1,ENSG00000198862,chr21,28992956,0.05095675005592057
MIR1-1,ENSG00000199017,chr20,62554306,0.13068750012086822
DEFB125,ENSG00000178591,chr20,87250,0.10662050025365898
ABCG1,ENSG00000160179,chr21,42199689,0.038367749969562284
OTOR,ENSG00000125879,chr20,16748358,0.12646350008493756
,ENSG00000276859,chr20,58842030,0.25247950022277654
TFF3,ENSG00000160180,chr21,42315409,0.04560149993308005
CDH4,ENSG00000179242,chr20,61252261,0.06647675005948986
MIR19B1,ENSG00000284375,chr13,91351192,0.2612157501062029
BHLHE23,ENSG00000125533,chr20,63007035,0.13393750006405752
TCF15,ENSG00000125878,chr20,610309,0.2365307500383351
MKKS,ENSG00000125863,chr20,10434222,0.05957600003146217
PIEZO2,ENSG00000154864,chr18,11149569,0.03737824994372204
MIR155,ENSG00000283904,chr21,25573980,0.1936660001866403
OVOL2,ENSG00000125850,chr20,18059188,0.19364825007863692
KAT14,ENSG00000149474,chr20,18137228,0.061671250121609775
BTBD3,ENSG00000132640,chr20,11890723,0.07110550006528502
SNX21,ENSG00000124104,chr20,45833799,0.14567300001482364
CNKSR2,ENSG00000149970,chrX,21372801,0.21138050022046082
BIRC7,ENSG00000101197,chr20,63235883,0.034234750040544895
NCF4,ENSG00000100365,chr22,36860988,0.031052999995066784
MYO18B,ENSG00000133454,chr22,25742144,0.065561750018358
FITM2,ENSG00000197296,chr20,44311202,0.09672775015523075
FOXS1,ENSG00000179772,chr20,31845604,0.19346500019214
KLF5,ENSG00000102554,chr13,73054976,0.21594749989119008
INSM1,ENSG00000173404,chr20,20368104,0.43758150028635284
,ENSG00000281295,chr22,33704922,0.016101750026107767
KCNB1,ENSG00000158445,chr20,49484297,0.18558225013755145
ICOSLG,ENSG00000160223,chr21,44241446,0.001619750011799624
PTGR3,ENSG00000180011,chr18,75209139,0.3733557503001648
SLC12A5,ENSG00000124140,chr20,46021690,0.10982349988902569
ZNF519,ENSG00000175322,chr18,14132490,0.0674572500633658
MICAL3,ENSG00000243156,chr22,18024561,0.04171675006306032
SALL4,ENSG00000101115,chr20,51802521,0.28641025011704185
SNORD83B,ENSG00000209480,chr22,39313911,0.21756550002648145
ZNFX1,ENSG00000124201,chr20,49278426,0.08841299997418536
MIR17,ENSG00000284536,chr13,91350605,0.31155425021555855
,ENSG00000274491,chr20,58850530,0.09210774993750966
MIR1-2,ENSG00000284453,chr18,21829088,0.31213500011677386
CNBD2,ENSG00000149646,chr20,35954564,0.10098149997388828
RTN4R,ENSG00000040608,chr22,20283246,0.005622250039537903
FAM83C,ENSG00000125998,chr20,35292425,0.1540315000335395
ACR,ENSG00000100312,chr22,50738196,0.07082725007535191
METTL21EP,ENSG00000250878,chr13,102880040,0.07880699997275951
SIGLEC15,ENSG00000197046,chr18,45825675,0.03315375012884033
SCRT2,ENSG00000215397,chr20,675802,0.3805050002372591
RTL6,ENSG00000188636,chr22,44498233,0.14461275027116063
FGF14,ENSG00000102466,chr13,102402457,0.3979765002267959
TGM3,ENSG00000125780,chr20,2296001,0.08718200005285326
DLGAP1,ENSG00000170579,chr18,4455307,0.15532874996017199
RBM11,ENSG00000185272,chr21,14216130,0.04914825007817126
TMEM239,ENSG00000198326,chr20,2816302,0.19236024998119683
PLAGL2,ENSG00000126003,chr20,32207743,0.2901965000514465
OCSTAMP,ENSG00000149635,chr20,46550654,0.035048499996308234
CELSR1,ENSG00000075275,chr22,46537620,0.22454700015456183
TAF4,ENSG00000130699,chr20,62065881,0.22841875010429066
ANKRD60,ENSG00000124227,chr20,58228653,0.05433725004349253
CCDC188,ENSG00000234409,chr22,20151055,0.04738200004640385
PET117,ENSG00000232838,chr20,18137863,0.059144000085623705
TUBB1,ENSG00000101162,chr20,59019429,0.055553000049229015
NEURL2,ENSG00000124257,chr20,45891208,0.305758500102791
LRRC30,ENSG00000206422,chr18,7231089,0.22339550022411275
SUN5,ENSG00000167098,chr20,33004433,0.055462000016705135
MIR18A,ENSG00000283815,chr13,91350751,0.3117297502165602
NKAIN4,ENSG00000101198,chr20,63272694,0.018653749998047715
WFDC3,ENSG00000124116,chr20,45791932,0.1347330001880764
ROCK1,ENSG00000067900,chr18,21111813,0.27948624999343885
ATP5PO,ENSG00000241837,chr21,33915853,0.0715247500714322
TXNRD2,ENSG00000184470,chr22,19941820,0.04850075001412188
DEFB128,ENSG00000185982,chr20,189711,0.1352645001464116
ZNF831,ENSG00000124203,chr20,59123381,0.08743275001223083
SNORA60,ENSG00000199266,chr20,38449370,0.062336750025628135
RUBCNL,ENSG00000102445,chr13,46438190,0.23350875012940378
CIMIP1,ENSG00000124237,chr20,58150902,0.03323099993975484
CLDN14,ENSG00000159261,chr21,36576569,0.053685750065516916
ADIG,ENSG00000182035,chr20,38581195,0.04373299999948358
ACTL10,ENSG00000288649,chr20,33666943,0.182487000197405
SLPI,ENSG00000124107,chr20,45254564,0.047843500063347165
SOX12,ENSG00000177732,chr20,325552,0.3036997500554717
LAMA5,ENSG00000130702,chr20,62367312,0.04977900005577249
COL6A1,ENSG00000142156,chr21,45981755,0.04558175001924974
KCNJ6,ENSG00000157542,chr21,38121345,0.0355410000680713
SNORA71E,ENSG00000274309,chr20,38448084,0.06735950007714564
LIF,ENSG00000128342,chr22,30246759,0.26807775018250685
TP53TG5,ENSG00000124251,chr20,45407889,0.1796757502349501
NTSR1,ENSG00000101188,chr20,62708836,0.13989275013128644
SS18L1,ENSG00000184402,chr20,62143769,0.07533850002885446
MC3R,ENSG00000124089,chr20,56248732,0.22089975010757917
HLCS,ENSG00000159267,chr21,36990236,0.026213250012689968
TXNDC2,ENSG00000168454,chr18,9885766,0.026110500080161726
BANF2,ENSG00000125888,chr20,17693672,0.09176449999838951
TSHZ1,ENSG00000179981,chr18,75210755,0.524565500204917
OXT,ENSG00000101405,chr20,3071620,0.09379900004473166
PMEPA1,ENSG00000124225,chr20,57711536,0.09897450010952889
IL10RB,ENSG00000243646,chr21,33266363,0.021563500048650895
ASXL3,ENSG00000141431,chr18,33578219,0.5055467502285901
CRYBA4,ENSG00000196431,chr22,26621963,0.0727200000231387
R3HDML,ENSG00000101074,chr20,44337043,0.09293825012326123
TGM6,ENSG00000166948,chr20,2380901,0.07028300011414103
RNU6-60P,ENSG00000201662,chr13,48987915,0.06646900006890064
ENTHD1,ENSG00000176177,chr22,39893864,0.17890725025805296
PKDREJ,ENSG00000130943,chr22,46263343,0.12258500005406676
BPIFB3,ENSG00000186190,chr20,33053903,0.08077775012684288
SPATA13,ENSG00000182957,chr13,23979805,0.062204249992151746
,ENSG00000293164,chr20,32190360,0.2296862501651631
DEFB119,ENSG00000180483,chr20,31390590,0.06920299997364054
SLC5A4,ENSG00000100191,chr22,32255347,0.07086049999497482
SNORD110,ENSG00000221116,chr20,2654212,0.35866075016596005
YPEL1,ENSG00000100027,chr22,21735794,0.08939925002810196
SERP2,ENSG00000151778,chr13,44373476,0.10216125000291504
RN7SKP31,ENSG00000252163,chrX,138397351,0.1726275000847527
NANP,ENSG00000170191,chr20,25624014,0.042007500046049244
SSTR4,ENSG00000132671,chr20,23035312,0.1796507501132146
TTR,ENSG00000118271,chr18,31557009,0.08660224995829048
RNU6-641P,ENSG00000206733,chrX,36022045,0.32303499980451306
DEFB124,ENSG00000180383,chr20,31476757,0.14816675014205977
SEL1L2,ENSG00000101251,chr20,13996443,0.20045025003320188
MRTFA,ENSG00000196588,chr22,40636719,0.16714875011573896
MAGEE1,ENSG00000198934,chrX,76427710,0.11885225003637606
LMO7,ENSG00000136153,chr13,75620434,0.14594749997969483
SHISA8,ENSG00000234965,chr22,41915074,0.11915099992489558
DEFB123,ENSG00000180424,chr20,31440632,0.02625750004663132
TIAM1,ENSG00000156299,chr21,31559977,0.17376325009932042
ADM2,ENSG00000128165,chr22,50481543,0.0412595000184956
SLC15A1,ENSG00000088386,chr13,98752836,0.0661497500264668
WFDC5,ENSG00000175121,chr20,45115174,0.04619227874791541
PRR32,ENSG00000183631,chrX,126819729,0.10801475020617363
PITPNB,ENSG00000180957,chr22,27920134,0.08124725009856047
TMC2,ENSG00000149488,chr20,2536573,0.05705975006832159
RGCC,ENSG00000102760,chr13,41457532,0.12603100022990837
SNORD56,ENSG00000229686,chr20,2656624,0.4780652501928271
L3MBTL1,ENSG00000185513,chr20,43489442,0.12146474995545577
ASB12,ENSG00000198881,chrX,64230607,0.09898875007111928
ITIH6,ENSG00000102313,chrX,54798255,0.17778200029805885
MN1,ENSG00000169184,chr22,27801756,0.5699947501955903
ARL13A,ENSG00000174225,chrX,100969708,0.07445878420269336
LDOC1,ENSG00000182195,chrX,141177129,0.19033025015171734
THBD,ENSG00000178726,chr20,23049672,0.1603462503226765
AMER1,ENSG00000184675,chrX,64205708,0.1520360002317757
