human_ensembl_id,human_gene_name,lemur_ensembl_id
ENSG00000199728,RNU6-655P,ENSMICG00000043474
ENSG00000175065,DSG4,ENSMICG00000007825
ENSG00000186009,ATP4B,ENSMICG00000046425
ENSG00000186047,DLEU7,ENSMICG00000031262
ENSG00000243035,RN7SL810P,ENSMICG00000032535
ENSG00000139737,SLAIN1,ENSMICG00000002711
ENSG00000202093,SNORD58C,ENSMICG00000020479
ENSG00000206602,SNORD58A,ENSMICG00000029894
ENSG00000271982,SNORD58B,ENSMICG00000043276
ENSG00000176624,MEX3C,ENSMICG00000005815
ENSG00000119547,ONECUT2,ENSMICG00000003067
ENSG00000173482,PTPRM,ENSMICG00000001715
ENSG00000133116,KL,ENSMICG00000006234
ENSG00000211579,MIR759,ENSMICG00000028797
ENSG00000136099,PCDH8,ENSMICG00000014653
ENSG00000276644,DACH1,ENSMICG00000031012
ENSG00000201155,RNU1-24P,ENSMICG00000026413
ENSG00000200840,RNU6-82P,ENSMICG00000031423
ENSG00000083635,NUFIP1,ENSMICG00000003419
ENSG00000154856,APCDD1,ENSMICG00000005814
ENSG00000180332,KCTD4,ENSMICG00000041487
ENSG00000151846,PABPC3,ENSMICG00000011830
ENSG00000165566,AMER2,ENSMICG00000046626
ENSG00000120669,SOHLH2,ENSMICG00000002484
ENSG00000221139,,ENSMICG00000021034
ENSG00000252677,,ENSMICG00000045003
ENSG00000171791,BCL2,ENSMICG00000036161
ENSG00000242715,CCDC169,ENSMICG00000046020
ENSG00000176194,CIDEA,ENSMICG00000007492
ENSG00000134762,DSC3,ENSMICG00000004345
ENSG00000134765,DSC1,ENSMICG00000007794
ENSG00000102794,ACOD1,ENSMICG00000027082
ENSG00000251753,RNU6-75P,ENSMICG00000025092
ENSG00000183098,GPC6,ENSMICG00000007601
ENSG00000134760,DSG1,ENSMICG00000007801
ENSG00000080166,DCT,ENSMICG00000007611
ENSG00000154611,PSMA8,ENSMICG00000008199
ENSG00000125285,SOX21,ENSMICG00000030929
ENSG00000185352,HS6ST3,ENSMICG00000008104
ENSG00000242614,RN7SL164P,ENSMICG00000030681
ENSG00000131196,NFATC1,ENSMICG00000030578
ENSG00000198033,TUBA3C,ENSMICG00000033124
ENSG00000179399,GPC5,ENSMICG00000030886
ENSG00000183463,URAD,ENSMICG00000037063
ENSG00000242360,RN7SL272P,ENSMICG00000030624
ENSG00000139618,BRCA2,ENSMICG00000041755
ENSG00000153487,ING1,ENSMICG00000036650
ENSG00000122034,GTF3A,ENSMICG00000014763
ENSG00000053747,LAMA3,ENSMICG00000009335
ENSG00000201161,RN7SKP10,ENSMICG00000037116
ENSG00000226792,C13orf42,ENSMICG00000047001
ENSG00000200526,RNY4P14,ENSMICG00000043839
ENSG00000207500,SNORD102,ENSMICG00000021476
ENSG00000207051,SNORA27,ENSMICG00000036340
ENSG00000141404,GNAL,ENSMICG00000001922
ENSG00000141434,MEP1B,ENSMICG00000044828
ENSG00000167210,LOXHD1,ENSMICG00000001316
ENSG00000197641,SERPINB13,ENSMICG00000001607
ENSG00000206072,SERPINB11,ENSMICG00000029493
ENSG00000178690,DYNAP,ENSMICG00000015413
ENSG00000187773,DIPK1C,ENSMICG00000027176
ENSG00000206043,C18orf63,ENSMICG00000041724
ENSG00000166634,SERPINB12,ENSMICG00000001604
ENSG00000251937,RNU7-129P,ENSMICG00000046036
ENSG00000141391,PRELID3A,ENSMICG00000002779
ENSG00000206418,RAB12,ENSMICG00000030661
ENSG00000141759,TXNL4A,ENSMICG00000031799
ENSG00000101546,RBFA,ENSMICG00000011956
ENSG00000178184,PARD6G,ENSMICG00000011267
ENSG00000200752,Y_RNA,ENSMICG00000045030
ENSG00000202224,Y_RNA,ENSMICG00000020117
ENSG00000091157,WDR7,ENSMICG00000017318
ENSG00000222174,RN7SKP146,ENSMICG00000028559
ENSG00000168454,TXNDC2,ENSMICG00000002887
ENSG00000154864,PIEZO2,ENSMICG00000033336
ENSG00000166960,CCDC178,ENSMICG00000004751
ENSG00000174448,STARD6,ENSMICG00000012563
ENSG00000200750,Y_RNA,ENSMICG00000047682
ENSG00000199977,SNORA73,ENSMICG00000027446
ENSG00000283927,MIR133A1,ENSMICG00000037122
ENSG00000284453,MIR1-2,ENSMICG00000029392
ENSG00000252325,RNU6-1038P,ENSMICG00000041573
ENSG00000200637,RNU5F-3P,ENSMICG00000047948
ENSG00000134443,GRP,ENSMICG00000016066
ENSG00000134438,RAX,ENSMICG00000001928
ENSG00000166569,CPLX4,ENSMICG00000001934
ENSG00000197046,SIGLEC15,ENSMICG00000017497
ENSG00000141431,ASXL3,ENSMICG00000031715
ENSG00000243627,SMIM34,ENSMICG00000028809
ENSG00000079101,CLUL1,ENSMICG00000017333
ENSG00000242550,SERPINB10,ENSMICG00000016513
ENSG00000179981,TSHZ1,ENSMICG00000013601
ENSG00000130856,ZNF236,ENSMICG00000004031
ENSG00000283904,MIR155,ENSMICG00000032169
ENSG00000182093,GET1,ENSMICG00000015808
ENSG00000180011,PTGR3,ENSMICG00000047342
ENSG00000170579,DLGAP1,ENSMICG00000001909
ENSG00000205726,ITSN1,ENSMICG00000007068
ENSG00000187323,DCC,ENSMICG00000003408
ENSG00000171873,ADRA1D,ENSMICG00000048016
ENSG00000125903,DEFB129,ENSMICG00000046620
ENSG00000173404,INSM1,ENSMICG00000037992
ENSG00000185982,DEFB128,ENSMICG00000045242
ENSG00000067900,ROCK1,ENSMICG00000014892
ENSG00000101230,ISM1,ENSMICG00000027224
ENSG00000241866,RN7SL401P,ENSMICG00000038145
ENSG00000215397,SCRT2,ENSMICG00000042886
ENSG00000088782,DEFB127,ENSMICG00000045726
ENSG00000101447,FAM83D,ENSMICG00000037041
ENSG00000158445,KCNB1,ENSMICG00000042395
ENSG00000054803,CBLN4,ENSMICG00000026678
ENSG00000130701,RBBP8NL,ENSMICG00000031675
ENSG00000273524,Metazoa_SRP,ENSMICG00000032698
ENSG00000124225,PMEPA1,ENSMICG00000038326
ENSG00000101115,SALL4,ENSMICG00000000027
ENSG00000179242,CDH4,ENSMICG00000004615
ENSG00000184402,SS18L1,ENSMICG00000032545
ENSG00000196074,SYCP2,ENSMICG00000002560
ENSG00000130702,LAMA5,ENSMICG00000013411
ENSG00000240584,RN7SL547P,ENSMICG00000030359
ENSG00000222281,RN7SKP111,ENSMICG00000035991
ENSG00000207355,RNU6-1257P,ENSMICG00000046193
ENSG00000199017,MIR1-1,ENSMICG00000019255
ENSG00000284508,MIR133A2,ENSMICG00000030852
ENSG00000124232,RBPJL,ENSMICG00000014225
ENSG00000124251,TP53TG5,ENSMICG00000014268
ENSG00000101162,TUBB1,ENSMICG00000037644
ENSG00000125975,C20orf173,ENSMICG00000004178
ENSG00000160282,FTCD,ENSMICG00000002458
ENSG00000197296,FITM2,ENSMICG00000044829
ENSG00000124196,GTSF1L,ENSMICG00000031457
ENSG00000099985,OSM,ENSMICG00000036578
ENSG00000125879,OTOR,ENSMICG00000043592
ENSG00000101074,R3HDML,ENSMICG00000008238
ENSG00000100365,NCF4,ENSMICG00000009009
ENSG00000207598,MIR124-3,ENSMICG00000018824
ENSG00000101197,BIRC7,ENSMICG00000008469
ENSG00000241945,PWP2,ENSMICG00000001002
ENSG00000222439,RNU6-994P,ENSMICG00000030536
ENSG00000101204,CHRNA4,ENSMICG00000035086
ENSG00000100346,CACNA1I,ENSMICG00000002043
ENSG00000125863,MKKS,ENSMICG00000043988
ENSG00000260903,XKR7,ENSMICG00000046283
ENSG00000126003,PLAGL2,ENSMICG00000015948
ENSG00000125998,FAM83C,ENSMICG00000013976
ENSG00000101405,OXT,ENSMICG00000035095
ENSG00000160223,ICOSLG,ENSMICG00000001250
ENSG00000101200,AVP,ENSMICG00000026411
ENSG00000125850,OVOL2,ENSMICG00000032455
ENSG00000159267,HLCS,ENSMICG00000013188
ENSG00000212232,SNORD17,ENSMICG00000021745
ENSG00000266720,RN7SL14P,ENSMICG00000047050
ENSG00000199719,RN7SKP74,ENSMICG00000030181
ENSG00000124104,SNX21,ENSMICG00000011233
ENSG00000176177,ENTHD1,ENSMICG00000039602
ENSG00000160179,ABCG1,ENSMICG00000015133
ENSG00000128342,LIF,ENSMICG00000032126
ENSG00000100106,TRIOBP,ENSMICG00000034426
ENSG00000240639,RN7SL666P,ENSMICG00000032036
ENSG00000252367,Y_RNA,ENSMICG00000046508
ENSG00000212517,,ENSMICG00000033973
ENSG00000101292,PROKR2,ENSMICG00000029162
ENSG00000125888,BANF2,ENSMICG00000032062
ENSG00000198900,TOP1,ENSMICG00000007082
ENSG00000188636,RTL6,ENSMICG00000031689
ENSG00000204103,MAFB,ENSMICG00000007079
ENSG00000130943,PKDREJ,ENSMICG00000000989
ENSG00000138944,SHISAL1,ENSMICG00000008501
ENSG00000142178,SIK1,ENSMICG00000000552
ENSG00000101448,EPPIN,ENSMICG00000007821
ENSG00000124116,WFDC3,ENSMICG00000011205
ENSG00000159216,RUNX1,ENSMICG00000011998
ENSG00000196431,CRYBA4,ENSMICG00000012750
ENSG00000101470,TNNC2,ENSMICG00000011227
ENSG00000157617,C2CD2,ENSMICG00000013844
ENSG00000101188,NTSR1,ENSMICG00000026504
ENSG00000199024,MIR103A2,ENSMICG00000037881
ENSG00000247315,ZCCHC3,ENSMICG00000031267
ENSG00000124098,FAM210B,ENSMICG00000047974
ENSG00000133454,MYO18B,ENSMICG00000011206
ENSG00000124201,ZNFX1,ENSMICG00000002013
ENSG00000160180,TFF3,ENSMICG00000015162
ENSG00000243646,IL10RB,ENSMICG00000006353
ENSG00000209042,SNORD12C,ENSMICG00000035406
ENSG00000222365,SNORD12B,ENSMICG00000027034
ENSG00000212304,SNORD12,ENSMICG00000031617
ENSG00000101336,HCK,ENSMICG00000015910
ENSG00000185272,RBM11,ENSMICG00000037489
ENSG00000142185,TRPM2,ENSMICG00000012499
ENSG00000177732,SOX12,ENSMICG00000035334
ENSG00000184226,PCDH9,ENSMICG00000002338
ENSG00000124257,NEURL2,ENSMICG00000043214
ENSG00000168634,WFDC13,ENSMICG00000011200
ENSG00000149651,SPINT4,ENSMICG00000004503
ENSG00000258713,C20orf141,ENSMICG00000043953
ENSG00000198326,TMEM239,ENSMICG00000016576
ENSG00000125878,TCF15,ENSMICG00000004647
ENSG00000149634,SPATA25,ENSMICG00000043062
ENSG00000125508,SRMS,ENSMICG00000044206
ENSG00000124203,ZNF831,ENSMICG00000028622
ENSG00000243156,MICAL3,ENSMICG00000017231
ENSG00000155304,HSPA13,ENSMICG00000027708
ENSG00000198862,LTN1,ENSMICG00000002822
ENSG00000239742,RN7SL672P,ENSMICG00000036903
ENSG00000201501,Y_RNA,ENSMICG00000021832
ENSG00000125823,CSTL1,ENSMICG00000017903
ENSG00000149635,OCSTAMP,ENSMICG00000010680
ENSG00000158296,SLC13A3,ENSMICG00000010689
ENSG00000184787,UBE2G2,ENSMICG00000013001
ENSG00000124091,GCNT7,ENSMICG00000045498
ENSG00000124140,SLC12A5,ENSMICG00000011367
ENSG00000253007,SNORA50B,ENSMICG00000044596
ENSG00000075275,CELSR1,ENSMICG00000005998
ENSG00000160218,TRAPPC10,ENSMICG00000000992
ENSG00000188677,PARVB,ENSMICG00000014924
ENSG00000125363,AMELX,ENSMICG00000034215
ENSG00000149474,KAT14,ENSMICG00000014378
ENSG00000100138,SNU13,ENSMICG00000013557
ENSG00000125780,TGM3,ENSMICG00000003703
ENSG00000166948,TGM6,ENSMICG00000016494
ENSG00000126010,GRPR,ENSMICG00000026422
ENSG00000208023,MIR185,ENSMICG00000029990
ENSG00000284140,MIR3618,ENSMICG00000029466
ENSG00000284464,MIR1306,ENSMICG00000034664
ENSG00000274309,SNORA71E,ENSMICG00000021517
ENSG00000199266,SNORA60,ENSMICG00000046479
ENSG00000234409,CCDC188,ENSMICG00000032879
ENSG00000101438,SLC32A1,ENSMICG00000037312
ENSG00000185915,KLHL34,ENSMICG00000028251
ENSG00000149646,CNBD2,ENSMICG00000001685
ENSG00000040608,RTN4R,ENSMICG00000027043
ENSG00000157542,KCNJ6,ENSMICG00000010904
ENSG00000250878,METTL21EP,ENSMICG00000047612
ENSG00000149970,CNKSR2,ENSMICG00000002912
ENSG00000160214,RRP1,ENSMICG00000004700
ENSG00000184470,TXNRD2,ENSMICG00000016540
ENSG00000130699,TAF4,ENSMICG00000004029
ENSG00000158901,WFDC8,ENSMICG00000011960
ENSG00000284536,MIR17,ENSMICG00000018900
ENSG00000283815,MIR18A,ENSMICG00000018153
ENSG00000284204,MIR19A,ENSMICG00000035198
ENSG00000283762,MIR20A,ENSMICG00000019038
ENSG00000284375,MIR19B1,ENSMICG00000018257
ENSG00000182035,ADIG,ENSMICG00000032945
ENSG00000283705,MIR92A1,ENSMICG00000018733
ENSG00000201662,RNU6-60P,ENSMICG00000048075
ENSG00000172315,TP53RK,ENSMICG00000030995
ENSG00000102539,MLNR,ENSMICG00000045079
ENSG00000283441,MIR499B,ENSMICG00000017931
ENSG00000124237,CIMIP1,ENSMICG00000035405
ENSG00000124227,ANKRD60,ENSMICG00000001741
ENSG00000167098,SUN5,ENSMICG00000001971
ENSG00000186191,BPIFB4,ENSMICG00000026403
ENSG00000131050,BPIFA2,ENSMICG00000013403
ENSG00000241837,ATP5PO,ENSMICG00000007090
ENSG00000131059,BPIFA3,ENSMICG00000045437
ENSG00000186190,BPIFB3,ENSMICG00000001990
ENSG00000102466,FGF14,ENSMICG00000010747
ENSG00000101444,AHCY,ENSMICG00000003232
ENSG00000102554,KLF5,ENSMICG00000014481
ENSG00000102445,RUBCNL,ENSMICG00000011034
ENSG00000101003,GINS1,ENSMICG00000037715
ENSG00000157540,DYRK1A,ENSMICG00000010871
ENSG00000073150,PANX2,ENSMICG00000037105
ENSG00000088386,SLC15A1,ENSMICG00000012796
ENSG00000207932,MIR33A,ENSMICG00000027383
ENSG00000100292,HMOX1,ENSMICG00000041807
ENSG00000054796,SPO11,ENSMICG00000000678
ENSG00000166862,CACNG2,ENSMICG00000012177
ENSG00000100191,SLC5A4,ENSMICG00000008997
ENSG00000132819,RBM38,ENSMICG00000038011
ENSG00000204548,DEFB121,ENSMICG00000014655
ENSG00000180424,DEFB123,ENSMICG00000028026
ENSG00000180383,DEFB124,ENSMICG00000032367
ENSG00000197183,NOL4L,ENSMICG00000006651
ENSG00000185264,CIMIP4,ENSMICG00000009029
ENSG00000207227,RNU6-900P,ENSMICG00000023804
ENSG00000182957,SPATA13,ENSMICG00000005346
ENSG00000124134,KCNS1,ENSMICG00000000984
ENSG00000161180,CCDC116,ENSMICG00000036923
ENSG00000169906,S100G,ENSMICG00000034068
ENSG00000212102,MIR301B,ENSMICG00000031388
ENSG00000168703,WFDC12,ENSMICG00000000986
ENSG00000215545,DEFB116,ENSMICG00000044698
ENSG00000100023,PPIL2,ENSMICG00000002163
ENSG00000131068,DEFB118,ENSMICG00000047648
ENSG00000125813,PAX1,ENSMICG00000016968
ENSG00000102043,MTMR8,ENSMICG00000001717
ENSG00000175121,WFDC5,ENSMICG00000046725
ENSG00000088881,EBF4,ENSMICG00000016566
ENSG00000008086,CDKL5,ENSMICG00000004179
ENSG00000131044,TTLL9,ENSMICG00000015874
ENSG00000160201,U2AF1,ENSMICG00000013835
ENSG00000126218,F10,ENSMICG00000028391
ENSG00000100027,YPEL1,ENSMICG00000035087
ENSG00000183798,EMILIN3,ENSMICG00000016636
ENSG00000130590,SAMD10,ENSMICG00000041905
ENSG00000101251,SEL1L2,ENSMICG00000011457
ENSG00000200976,Y_RNA,ENSMICG00000042971
ENSG00000122025,FLT3,ENSMICG00000016201
ENSG00000100003,SEC14L2,ENSMICG00000010092
ENSG00000172264,MACROD2,ENSMICG00000038471
ENSG00000102804,TSC22D1,ENSMICG00000035276
ENSG00000147081,AKAP4,ENSMICG00000027376
ENSG00000199570,RNU6-228P,ENSMICG00000041545
ENSG00000102221,JADE3,ENSMICG00000043701
ENSG00000185513,L3MBTL1,ENSMICG00000015115
ENSG00000133115,STOML3,ENSMICG00000003204
ENSG00000132975,GPR12,ENSMICG00000045060
ENSG00000222915,RNU6-564P,ENSMICG00000046472
ENSG00000187601,MAGEH1,ENSMICG00000017394
ENSG00000080618,CPB2,ENSMICG00000005613
ENSG00000156239,HEMK2,ENSMICG00000045182
ENSG00000206203,TSSK2,ENSMICG00000008686
ENSG00000063515,GSC2,ENSMICG00000043796
ENSG00000196468,FGF16,ENSMICG00000004689
ENSG00000100218,RSPH14,ENSMICG00000015670
ENSG00000147183,CPXCR1,ENSMICG00000002763
ENSG00000240160,RN7SL263P,ENSMICG00000031428
ENSG00000174740,PABPC5,ENSMICG00000041706
ENSG00000156299,TIAM1,ENSMICG00000016829
ENSG00000174225,ARL13A,ENSMICG00000014153
ENSG00000165288,BRWD3,ENSMICG00000007517
ENSG00000170191,NANP,ENSMICG00000027386
ENSG00000053438,NNAT,ENSMICG00000033762
ENSG00000120675,DNAJC15,ENSMICG00000036429
ENSG00000151778,SERP2,ENSMICG00000047343
ENSG00000201348,RNU105B,ENSMICG00000041944
ENSG00000158813,EDA,ENSMICG00000015968
ENSG00000118922,KLF12,ENSMICG00000005731
ENSG00000182621,PLCB1,ENSMICG00000006563
ENSG00000165475,CRYL1,ENSMICG00000037380
ENSG00000198934,MAGEE1,ENSMICG00000027953
ENSG00000102760,RGCC,ENSMICG00000027653
ENSG00000100207,TCF20,ENSMICG00000012650
ENSG00000057593,F7,ENSMICG00000032148
ENSG00000170925,TEX13B,ENSMICG00000036293
ENSG00000217442,SYCE3,ENSMICG00000034240
ENSG00000047597,XK,ENSMICG00000047814
ENSG00000047648,ARHGAP6,ENSMICG00000014376
ENSG00000189060,H1-0,ENSMICG00000035359
ENSG00000184949,FAM227A,ENSMICG00000011770
ENSG00000100249,C22orf31,ENSMICG00000045788
ENSG00000154642,C21orf91,ENSMICG00000027389
ENSG00000100034,PPM1F,ENSMICG00000000343
ENSG00000136153,LMO7,ENSMICG00000014340
ENSG00000159231,CBR3,ENSMICG00000002179
ENSG00000196767,POU3F4,ENSMICG00000017301
ENSG00000183035,CYLC1,ENSMICG00000010585
ENSG00000147223,RIPPLY1,ENSMICG00000015682
ENSG00000211643,IGLV5-52,ENSMICG00000044801
ENSG00000182463,TSHZ2,ENSMICG00000035295
ENSG00000223350,IGLV9-49,ENSMICG00000045972
ENSG00000171940,ZNF217,ENSMICG00000009450
ENSG00000186767,SPIN4,ENSMICG00000033616
ENSG00000234965,SHISA8,ENSMICG00000042512
ENSG00000198354,DCAF12L2,ENSMICG00000004409
ENSG00000223190,RN7SKP100,ENSMICG00000023491
ENSG00000128313,APOL5,ENSMICG00000047688
ENSG00000196090,PTPRT,ENSMICG00000008488
ENSG00000100053,CRYBB3,ENSMICG00000014410
ENSG00000073169,SELENOO,ENSMICG00000017789
ENSG00000205670,SMIM11,ENSMICG00000011972
ENSG00000100154,TTC28,ENSMICG00000012266
ENSG00000102239,BRS3,ENSMICG00000047770
ENSG00000125779,PANK2,ENSMICG00000005680
ENSG00000198881,ASB12,ENSMICG00000044958
ENSG00000276950,GSTT4,ENSMICG00000045209
ENSG00000184675,AMER1,ENSMICG00000000956
ENSG00000141956,PRDM15,ENSMICG00000013783
ENSG00000184459,BPIFC,ENSMICG00000013327
ENSG00000128165,ADM2,ENSMICG00000043329
ENSG00000182712,CMC4,ENSMICG00000046262
ENSG00000283990,MIRLET7A3,ENSMICG00000018465
ENSG00000252225,Y_RNA,ENSMICG00000041727
ENSG00000184571,PIWIL3,ENSMICG00000029782
ENSG00000182195,LDOC1,ENSMICG00000034780
ENSG00000102195,GPR50,ENSMICG00000034484
ENSG00000252540,RNU6-919P,ENSMICG00000020553
ENSG00000188263,IL17REL,ENSMICG00000007459
ENSG00000166049,PASD1,ENSMICG00000043308
ENSG00000239547,RN7SL843P,ENSMICG00000028769
ENSG00000124249,KCNK15,ENSMICG00000008293
ENSG00000101098,RIMS4,ENSMICG00000042022
ENSG00000187905,LRRC74B,ENSMICG00000027262
ENSG00000101327,PDYN,ENSMICG00000031304
ENSG00000238875,RN7SKP210,ENSMICG00000022891
ENSG00000225528,TMA7B,ENSMICG00000042759
ENSG00000185010,F8,ENSMICG00000029671
