ensembl_gene_id,chromosome,start_position,arm,chr_arm
ENSG00000185974,13,113667219,q,13q
ENSG00000122042,13,29764371,q,13q
ENSG00000171189,21,29536933,q,21q
ENSG00000179813,13,42781550,q,13q
ENSG00000202395,13,37166352,q,13q
ENSG00000206812,13,75109587,q,13q
ENSG00000201847,13,107320895,q,13q
ENSG00000200072,13,112052078,q,13q
ENSG00000252952,13,23217432,q,13q
ENSG00000198553,13,50015254,q,13q
ENSG00000283785,13,50049119,q,13q
ENSG00000150510,13,51222334,q,13q
ENSG00000189167,13,32303699,q,13q
ENSG00000212564,21,15614283,q,21q
ENSG00000243927,21,34073224,q,21q
ENSG00000133111,13,36819222,q,13q
ENSG00000215475,13,45777242,q,13q
ENSG00000198743,21,34073578,q,21q
ENSG00000175820,13,102729367,q,13q
ENSG00000159197,21,34180729,q,21q
ENSG00000178235,13,83877205,q,13q
ENSG00000244264,13,41121876,q,13q
ENSG00000165572,13,41127569,q,13q
ENSG00000120696,13,41189834,q,13q
ENSG00000166265,21,26466209,q,21q
ENSG00000125249,13,97434169,q,13q
ENSG00000160202,21,43169008,q,21q
ENSG00000222726,13,20612161,q,13q
ENSG00000180730,13,26044597,q,13q
ENSG00000133105,13,31739526,q,13q
ENSG00000073910,13,31846713,q,13q
ENSG00000123171,13,51861969,q,13q
ENSG00000125245,13,99254732,q,13q
ENSG00000102524,13,108251240,q,13q
ENSG00000132932,13,25371974,q,13q
ENSG00000151835,13,23288689,q,13q
ENSG00000231824,18,5142911,p,18p
ENSG00000132874,18,45212995,q,18q
ENSG00000178695,13,76880175,q,13q
ENSG00000102805,13,76990660,q,13q
ENSG00000134489,18,24460637,q,18q
ENSG00000253309,13,51335773,q,13q
ENSG00000177511,18,57352557,q,18q
ENSG00000139780,13,102685747,q,13q
ENSG00000125255,13,103043998,q,13q
ENSG00000081138,18,65750252,q,18q
ENSG00000043355,13,99981784,q,13q
ENSG00000139800,13,99962964,q,13q
ENSG00000169840,13,27792483,q,13q
ENSG00000166603,18,60371062,q,18q
ENSG00000139515,13,27920000,q,13q
ENSG00000172915,13,34942270,q,13q
ENSG00000101542,18,61333430,q,18q
ENSG00000141428,18,35972625,q,18q
ENSG00000141424,18,36108531,q,18q
ENSG00000102678,13,21671073,q,13q
ENSG00000166573,18,77249848,q,18q
ENSG00000202347,13,113478915,q,13q
ENSG00000153531,13,113399611,q,13q
ENSG00000197971,18,76978827,q,18q
ENSG00000120659,13,42562736,q,13q
ENSG00000253710,13,52012391,q,13q
ENSG00000173988,13,46211928,q,13q
ENSG00000280165,13,61409685,q,13q
ENSG00000212293,13,32420390,q,13q
ENSG00000132972,13,24764169,q,13q
ENSG00000102471,13,79481155,q,13q
ENSG00000199272,18,6454962,p,18p
ENSG00000251897,18,6936912,p,18p
ENSG00000222704,18,39016047,q,18q
ENSG00000207797,18,35904818,q,18q
ENSG00000253038,18,39034007,q,18q
ENSG00000252555,18,60018625,q,18q
ENSG00000207072,18,68858934,q,18q
ENSG00000199728,18,78036739,q,18q
ENSG00000175065,18,31376777,q,18q
ENSG00000186009,13,113648804,q,13q
ENSG00000186047,13,50519364,q,13q
ENSG00000139737,13,77697687,q,13q
ENSG00000206602,18,49491283,q,18q
ENSG00000176624,18,51174550,q,18q
ENSG00000119547,18,57435374,q,18q
ENSG00000284440,18,58451074,q,18q
ENSG00000173482,18,7566782,p,18p
ENSG00000133116,13,33016423,q,13q
ENSG00000136099,13,52842889,q,13q
ENSG00000276644,13,71437966,q,13q
ENSG00000200840,13,28232501,q,13q
ENSG00000083635,13,44939249,q,13q
ENSG00000154856,18,10454635,p,18p
ENSG00000180332,13,45192853,q,13q
ENSG00000165566,13,25161679,q,13q
ENSG00000120669,13,36168217,q,13q
ENSG00000221139,18,21450653,q,18q
ENSG00000252677,18,21711950,q,18q
ENSG00000171791,18,63123346,q,18q
ENSG00000242715,13,36222008,q,13q
ENSG00000176194,18,12254361,p,18p
ENSG00000134762,18,30989365,q,18q
ENSG00000134765,18,31129236,q,18q
ENSG00000102794,13,76948511,q,13q
ENSG00000183098,13,93226807,q,13q
ENSG00000080166,13,94436811,q,13q
ENSG00000154611,18,26133852,q,18q
ENSG00000125285,13,94709622,q,13q
ENSG00000185352,13,96090107,q,13q
ENSG00000131196,18,79395856,q,18q
ENSG00000198033,13,19173772,q,13q
ENSG00000179399,13,91398621,q,13q
ENSG00000183463,13,27977717,q,13q
ENSG00000139618,13,32315086,q,13q
ENSG00000153487,13,110712736,q,13q
ENSG00000122034,13,27424619,q,13q
ENSG00000053747,18,23689453,q,18q
ENSG00000283199,13,113953705,q,13q
ENSG00000226792,13,51082119,q,13q
ENSG00000207500,13,27255064,q,13q
ENSG00000207051,13,27255401,q,13q
ENSG00000141404,18,11689264,p,18p
ENSG00000141434,18,32185069,q,18q
ENSG00000167210,18,46476972,q,18q
ENSG00000197641,18,63586989,q,18q
ENSG00000206072,18,63647579,q,18q
ENSG00000187773,18,74434775,q,18q
ENSG00000206043,18,74315839,q,18q
ENSG00000166634,18,63542369,q,18q
ENSG00000141391,18,12407896,p,18p
ENSG00000206418,18,8609437,p,18p
ENSG00000141759,18,79970813,q,18q
ENSG00000101546,18,80034389,q,18q
ENSG00000178184,18,80157232,q,18q
ENSG00000091157,18,56651343,q,18q
ENSG00000177143,18,580380,p,18p
ENSG00000206422,18,7231089,p,18p
ENSG00000168454,18,9885766,p,18p
ENSG00000154864,18,10666483,p,18p
ENSG00000166960,18,32937402,q,18q
ENSG00000176136,18,13824149,p,18p
ENSG00000174448,18,54324358,q,18q
ENSG00000284453,18,21829004,q,18q
ENSG00000252325,18,21879801,q,18q
ENSG00000134443,18,59220158,q,18q
ENSG00000134438,18,59267035,q,18q
ENSG00000166569,18,59275156,q,18q
ENSG00000197046,18,45825675,q,18q
ENSG00000141431,18,33578219,q,18q
ENSG00000175322,18,14057457,p,18p
ENSG00000222018,21,34400112,q,21q
ENSG00000243627,21,34414494,q,21q
ENSG00000242550,18,63907958,q,18q
ENSG00000255112,18,11851413,p,18p
ENSG00000179981,18,75210755,q,18q
ENSG00000252097,18,76800664,q,18q
ENSG00000130856,18,76822557,q,18q
ENSG00000283904,21,25573980,q,21q
ENSG00000182093,21,39377698,q,21q
ENSG00000180011,18,75195113,q,18q
ENSG00000170579,18,3496032,p,18p
ENSG00000205726,21,33642400,q,21q
ENSG00000187323,18,52340197,q,18q
ENSG00000171873,20,4220630,p,20p
ENSG00000125903,20,227258,p,20p
ENSG00000178591,20,87250,p,20p
ENSG00000173404,20,20368104,p,20p
ENSG00000185982,20,187853,p,20p
ENSG00000067900,18,20944612,q,18q
ENSG00000132640,20,11890723,p,20p
ENSG00000101230,20,13221274,p,20p
ENSG00000215397,20,661596,p,20p
ENSG00000215547,20,31257664,q,20q
ENSG00000101447,20,38926312,q,20q
ENSG00000158445,20,49293394,q,20q
ENSG00000124089,20,56248732,q,20q
ENSG00000054803,20,55997357,q,20q
ENSG00000130701,20,62410237,q,20q
ENSG00000124225,20,57648392,q,20q
ENSG00000101115,20,51782331,q,20q
ENSG00000132631,20,18813783,p,20p
ENSG00000125533,20,63005927,q,20q
ENSG00000179242,20,61252261,q,20q
ENSG00000184402,20,62143769,q,20q
ENSG00000196074,20,59863564,q,20q
ENSG00000130702,20,62307955,q,20q
ENSG00000200231,20,24237255,p,20p
ENSG00000252467,20,51902291,q,20q
ENSG00000207158,20,56785981,q,20q
ENSG00000199017,20,62554306,q,20q
ENSG00000124232,20,45306840,q,20q
ENSG00000124251,20,45372557,q,20q
ENSG00000276859,20,58842030,q,20q
ENSG00000274491,20,58850530,q,20q
ENSG00000101162,20,59019429,q,20q
ENSG00000125975,20,35523186,q,20q
ENSG00000160282,21,46136083,q,21q
ENSG00000197296,20,44302840,q,20q
ENSG00000124196,20,43726164,q,20q
ENSG00000099985,22,30262829,q,22q
ENSG00000125879,20,16748358,p,20p
ENSG00000101074,20,44337043,q,20q
ENSG00000100365,22,36860988,q,22q
ENSG00000207598,20,63178500,q,20q
ENSG00000101197,20,63235883,q,20q
ENSG00000101198,20,63240784,q,20q
ENSG00000241945,21,44107358,q,21q
ENSG00000101204,20,63343223,q,20q
ENSG00000100346,22,39570753,q,22q
ENSG00000125863,20,10401009,p,20p
ENSG00000142156,21,45981755,q,21q
ENSG00000260903,20,31968151,q,20q
ENSG00000126003,20,32192504,q,20q
ENSG00000125998,20,35285731,q,20q
ENSG00000101405,20,3071620,p,20p
ENSG00000160223,21,44215382,q,21q
ENSG00000101200,20,3082556,p,20p
ENSG00000179772,20,31844303,q,20q
ENSG00000212555,20,17903762,p,20p
ENSG00000125850,20,17956979,p,20p
ENSG00000159267,21,36748626,q,21q
ENSG00000212232,20,17962710,p,20p
ENSG00000199719,20,18295143,p,20p
ENSG00000232838,20,18137863,p,20p
ENSG00000159261,21,36460616,q,21q
ENSG00000124104,20,45833799,q,20q
ENSG00000176177,22,39743044,q,22q
ENSG00000160179,21,42199689,q,21q
ENSG00000128342,22,30240453,q,22q
ENSG00000100106,22,37697048,q,22q
ENSG00000149609,20,33662327,q,20q
ENSG00000101292,20,5299218,p,20p
ENSG00000125888,20,17693672,p,20p
ENSG00000198900,20,41028822,q,20q
ENSG00000171864,20,4721909,p,20p
ENSG00000188636,22,44492583,q,22q
ENSG00000204103,20,40685848,q,20q
ENSG00000130943,22,46255663,q,22q
ENSG00000124107,20,45252239,q,20q
ENSG00000101446,20,45512461,q,20q
ENSG00000138944,22,44243665,q,22q
ENSG00000142178,21,43414483,q,21q
ENSG00000101448,20,45540626,q,20q
ENSG00000209482,22,39315213,q,22q
ENSG00000209480,22,39313819,q,22q
ENSG00000124116,20,45747944,q,20q
ENSG00000159216,21,34787801,q,21q
ENSG00000196431,22,26621963,q,22q
ENSG00000101470,20,45823214,q,20q
ENSG00000160233,21,44455490,q,21q
ENSG00000157617,21,41885112,q,21q
ENSG00000101188,20,62708836,q,20q
ENSG00000199024,20,3917494,p,20p
ENSG00000247315,20,297570,p,20p
ENSG00000124098,20,56358974,q,20q
ENSG00000133454,22,25742144,q,22q
ENSG00000124201,20,49237946,q,20q
ENSG00000160180,21,42311667,q,21q
ENSG00000243646,21,33266363,q,21q
ENSG00000209042,20,49278940,q,20q
ENSG00000222365,20,49280319,q,20q
ENSG00000212304,20,49280683,q,20q
ENSG00000124217,20,50958818,q,20q
ENSG00000101336,20,32052197,q,20q
ENSG00000185272,21,14216130,q,21q
ENSG00000142185,21,44350072,q,21q
ENSG00000177732,20,325552,p,20p
ENSG00000184226,13,66302834,q,13q
ENSG00000124257,20,45888625,q,20q
ENSG00000168634,20,45702038,q,20q
ENSG00000149651,20,45722347,q,20q
ENSG00000198326,20,2816302,p,20p
ENSG00000125878,20,604257,p,20p
ENSG00000149634,20,45886491,q,20q
ENSG00000125508,20,63538489,q,20q
ENSG00000124203,20,59123381,q,20q
ENSG00000078699,20,33490075,q,20q
ENSG00000243156,22,17787649,q,22q
ENSG00000288649,20,33666943,q,20q
ENSG00000155304,21,14371115,q,21q
ENSG00000198862,21,28928144,q,21q
ENSG00000125823,20,23426104,p,20p
ENSG00000149635,20,46540946,q,20q
ENSG00000158296,20,46557823,q,20q
ENSG00000184787,21,44768580,q,21q
ENSG00000100312,22,50738196,q,22q
ENSG00000124091,20,56491492,q,20q
ENSG00000124140,20,46021690,q,20q
ENSG00000281295,22,33704786,q,22q
ENSG00000075275,22,46360834,q,22q
ENSG00000160218,21,44012309,q,21q
ENSG00000188677,22,43999211,q,22q
ENSG00000125363,X,11293413,p,Xp
ENSG00000149474,20,18137228,p,20p
ENSG00000252928,13,30281765,q,13q
ENSG00000100138,22,41673933,q,22q
ENSG00000125780,20,2296001,p,20p
ENSG00000166948,20,2380901,p,20p
ENSG00000126010,X,16123565,p,Xp
ENSG00000208023,22,20033139,q,22q
ENSG00000284140,22,20085746,q,22q
ENSG00000284464,22,20086058,q,22q
ENSG00000274309,20,38448084,q,20q
ENSG00000199266,20,38449370,q,20q
ENSG00000234409,22,20148416,q,22q
ENSG00000101438,20,38724486,q,20q
ENSG00000185915,X,21654690,p,Xp
ENSG00000149646,20,35954564,q,20q
ENSG00000040608,22,20241415,q,22q
ENSG00000157542,21,37607373,q,21q
ENSG00000250878,13,102880040,q,13q
ENSG00000149970,X,21372801,p,Xp
ENSG00000160214,21,43789513,q,21q
ENSG00000184470,22,19875517,q,22q
ENSG00000130699,20,61953469,q,20q
ENSG00000215595,20,1203454,p,20p
ENSG00000158901,20,45551153,q,20q
ENSG00000284536,13,91350605,q,13q
ENSG00000283815,13,91350751,q,13q
ENSG00000284204,13,91350891,q,13q
ENSG00000283762,13,91351065,q,13q
ENSG00000284375,13,91351192,q,13q
ENSG00000182035,20,38581195,q,20q
ENSG00000201662,13,48987915,q,13q
ENSG00000215251,20,3146519,p,20p
ENSG00000124237,20,58150902,q,20q
ENSG00000124227,20,58216126,q,20q
ENSG00000167098,20,32983773,q,20q
ENSG00000186191,20,33079643,q,20q
ENSG00000131050,20,33161768,q,20q
ENSG00000241837,21,33901028,q,21q
ENSG00000131059,20,33217310,q,20q
ENSG00000186190,20,33053903,q,20q
ENSG00000102466,13,101710804,q,13q
ENSG00000102554,13,73054976,q,13q
ENSG00000102445,13,46334681,q,13q
ENSG00000101003,20,25391008,p,20p
ENSG00000157540,21,37365573,q,21q
ENSG00000232388,20,18567347,p,20p
ENSG00000073150,22,50170731,q,22q
ENSG00000088386,13,98683801,q,13q
ENSG00000207932,22,41900944,q,22q
ENSG00000100292,22,35380361,q,22q
ENSG00000054796,20,57329803,q,20q
ENSG00000166862,22,36560857,q,22q
ENSG00000100191,22,32218464,q,22q
ENSG00000100298,22,39097224,q,22q
ENSG00000132819,20,57391396,q,20q
ENSG00000180424,20,31440632,q,20q
ENSG00000180383,20,31465471,q,20q
ENSG00000197183,20,32443059,q,20q
ENSG00000185264,22,36991120,q,22q
ENSG00000182957,13,23979805,q,13q
ENSG00000124134,20,45091214,q,20q
ENSG00000161180,22,21632716,q,22q
ENSG00000169906,X,16650158,p,Xp
ENSG00000187516,X,37990779,p,Xp
ENSG00000168703,20,45123425,q,20q
ENSG00000215545,20,31303212,q,20q
ENSG00000100023,22,21666000,q,22q
ENSG00000131068,20,31368601,q,20q
ENSG00000180483,20,31377164,q,20q
ENSG00000102313,X,54748918,p,Xp
ENSG00000125813,20,21705659,p,20p
ENSG00000175121,20,45109452,q,20q
ENSG00000088881,20,2692780,p,20p
ENSG00000008086,X,18425583,p,Xp
ENSG00000131044,20,31870634,q,20q
ENSG00000160201,21,43092956,q,21q
ENSG00000126218,13,113122788,q,13q
ENSG00000100027,22,21697536,q,22q
ENSG00000132671,20,23035312,p,20p
ENSG00000178726,20,23045633,p,20p
ENSG00000183798,20,41359962,q,20q
ENSG00000183260,20,63861498,q,20q
ENSG00000130590,20,63974116,q,20q
ENSG00000239127,22,29333163,q,22q
ENSG00000100285,22,29480218,q,22q
ENSG00000169508,13,99294273,q,13q
ENSG00000101251,20,13849247,p,20p
ENSG00000122025,13,28003274,q,13q
ENSG00000100003,22,30396941,q,22q
ENSG00000172264,20,13995369,p,20p
ENSG00000102804,13,44432143,q,13q
ENSG00000147081,X,50190777,p,Xp
ENSG00000165621,13,96985713,q,13q
ENSG00000185808,21,37062846,q,21q
ENSG00000102221,X,46912276,p,Xp
ENSG00000185513,20,43489442,q,20q
ENSG00000133115,13,38965925,q,13q
ENSG00000132975,13,26755200,q,13q
ENSG00000134864,13,100528034,q,13q
ENSG00000189299,X,55623400,p,Xp
ENSG00000187601,X,55452127,p,Xp
ENSG00000080618,13,46052958,q,13q
ENSG00000156239,21,28872191,q,21q
ENSG00000206203,22,19131308,q,22q
ENSG00000063515,22,19146993,q,22q
ENSG00000196468,X,77447389,q,Xq
ENSG00000100218,22,23059415,q,22q
ENSG00000147183,X,88747225,q,Xq
ENSG00000174740,X,91434595,q,Xq
ENSG00000156299,21,31117985,q,21q
ENSG00000174225,X,100969708,q,Xq
ENSG00000100129,22,37848868,q,22q
ENSG00000165288,X,80669503,q,Xq
ENSG00000170191,20,25612935,p,20p
ENSG00000120675,13,43023203,q,13q
ENSG00000151778,13,44373476,q,13q
ENSG00000158813,X,69616067,q,Xq
ENSG00000118922,13,73686089,q,13q
ENSG00000182621,20,8077251,p,20p
ENSG00000165475,13,20403666,q,13q
ENSG00000198934,X,76427710,q,Xq
ENSG00000102760,13,41457532,q,13q
ENSG00000057593,13,113105762,q,13q
ENSG00000217442,22,50551112,q,22q
ENSG00000186675,X,75782987,q,Xq
ENSG00000047597,X,37685791,p,Xp
ENSG00000047648,X,11117651,p,Xp
ENSG00000189060,22,37805229,q,22q
ENSG00000184113,22,19523024,q,22q
ENSG00000184949,22,38578118,q,22q
ENSG00000154642,21,17788974,q,21q
ENSG00000100034,22,21919425,q,22q
ENSG00000136153,13,75620434,q,13q
ENSG00000147082,X,50202713,p,Xp
ENSG00000159231,21,36135079,q,21q
ENSG00000159079,21,32592079,q,21q
ENSG00000196767,X,83508290,q,Xq
ENSG00000102055,X,42777366,p,Xp
ENSG00000183035,X,83861126,q,Xq
ENSG00000147223,X,106900063,q,Xq
ENSG00000182463,20,52972358,q,20q
ENSG00000171940,20,53567071,q,20q
ENSG00000186767,X,63347228,q,Xq
ENSG00000234965,22,41909543,q,22q
ENSG00000189401,X,70062457,q,Xq
ENSG00000223190,20,43063326,q,20q
ENSG00000196090,20,42072752,q,20q
ENSG00000100053,22,25199858,q,22q
ENSG00000073169,22,50201011,q,22q
ENSG00000205670,21,34375131,q,21q
ENSG00000100154,22,27978014,q,22q
ENSG00000102239,X,136487947,q,Xq
ENSG00000125779,20,3888839,p,20p
ENSG00000198881,X,64224194,q,Xq
ENSG00000276950,22,23998401,q,22q
ENSG00000184675,X,64185117,q,Xq
ENSG00000141956,21,41798225,q,21q
ENSG00000184459,22,32413845,q,22q
ENSG00000128165,22,50481543,q,22q
ENSG00000182712,X,155061622,q,Xq
ENSG00000283990,22,46112749,q,22q
ENSG00000182195,X,141111605,q,Xq
ENSG00000285508,20,10413520,p,20p
ENSG00000285723,20,10413708,p,20p
ENSG00000183307,22,17116297,q,22q
ENSG00000102195,X,151176584,q,Xq
ENSG00000166049,X,151563675,q,Xq
ENSG00000132825,20,59936663,q,20q
ENSG00000124249,20,44745865,q,20q
ENSG00000101098,20,44751808,q,20q
ENSG00000187905,22,21045946,q,22q
ENSG00000101327,20,1978757,p,20p
ENSG00000238875,22,39874255,q,22q
ENSG00000275004,22,22484421,q,22q
ENSG00000185010,X,154835788,q,Xq
ENSG00000125817,20,3783851,p,20p
ENSG00000183631,X,126819729,q,Xq
ENSG00000155966,X,148500617,q,Xq
ENSG00000101144,20,57168753,q,20q
ENSG00000100036,22,30635781,q,22q
ENSG00000128285,22,40679273,q,22q
ENSG00000253352,22,30969245,q,22q
ENSG00000215529,20,32858923,q,20q
ENSG00000100201,22,38483438,q,22q
ENSG00000142168,21,31659633,q,21q
ENSG00000156920,X,136300963,q,Xq
ENSG00000149488,20,2536573,p,20p
ENSG00000155961,X,155258235,q,Xq
ENSG00000221116,20,2654212,p,20p
ENSG00000212498,20,2656097,p,20p
ENSG00000229686,20,2656624,p,20p
ENSG00000226572,20,2656939,p,20p
ENSG00000186310,X,93670930,q,Xq
ENSG00000172216,20,50190734,q,20q
ENSG00000132965,13,30713478,q,13q
ENSG00000156253,21,29004384,q,21q
ENSG00000100079,22,37570248,q,22q
ENSG00000133101,13,36431520,q,13q
ENSG00000206733,X,36021939,p,Xp
ENSG00000138892,22,50018575,q,22q
ENSG00000206983,X,37870109,p,Xp
ENSG00000199226,X,46517766,p,Xp
ENSG00000207758,X,50003148,p,Xp
ENSG00000207768,X,50003503,p,Xp
ENSG00000211538,X,50009722,p,Xp
ENSG00000272080,X,50014598,p,Xp
ENSG00000142149,21,31873020,q,21q
ENSG00000284567,X,66018870,q,Xq
ENSG00000196588,22,40410281,q,22q
ENSG00000252016,X,88148792,q,Xq
ENSG00000199051,X,85903636,q,Xq
ENSG00000184900,21,44805617,q,21q
ENSG00000271907,X,115126316,q,Xq
ENSG00000207033,X,116400848,q,Xq
ENSG00000252163,X,138397351,q,Xq
ENSG00000207041,X,141118030,q,Xq
ENSG00000199878,X,143197248,q,Xq
ENSG00000132952,13,30617693,q,13q
ENSG00000202473,X,143090347,q,Xq
ENSG00000202051,X,147827279,q,Xq
ENSG00000173276,21,41986831,q,21q
ENSG00000186810,X,71615916,q,Xq
ENSG00000215474,18,47206169,q,18q
ENSG00000160188,21,42472486,q,21q
ENSG00000136108,13,52455429,q,13q
ENSG00000102178,X,154483717,q,Xq
ENSG00000160191,21,42653591,q,21q
ENSG00000134757,18,31447741,q,18q
ENSG00000184058,22,19756703,q,22q
ENSG00000102743,13,40789412,q,13q
ENSG00000005302,X,11758159,p,Xp
ENSG00000158270,18,316737,p,18p
ENSG00000123179,13,49660674,q,13q
ENSG00000180957,22,27851669,q,22q
ENSG00000046604,18,31497624,q,18q
ENSG00000088387,13,98793429,q,13q
ENSG00000169184,22,27748277,q,22q
ENSG00000211672,22,22871507,q,22q
ENSG00000166401,18,63970029,q,18q
ENSG00000118271,18,31557009,q,18q
ENSG00000134755,18,31058545,q,18q
ENSG00000153495,13,111316184,q,13q
ENSG00000134873,13,95433604,q,13q
ENSG00000278404,22,26657521,q,22q
ENSG00000150456,13,20727970,q,13q
ENSG00000126231,13,113158622,q,13q
ENSG00000128218,22,23752743,q,22q
ENSG00000128408,22,45413693,q,22q
ENSG00000251985,22,45624531,q,22q
ENSG00000241360,22,37658723,q,22q
ENSG00000198832,22,31104772,q,22q
ENSG00000134871,13,110305812,q,13q
ENSG00000271814,X,12614003,p,Xp
ENSG00000196664,X,12867072,p,Xp
ENSG00000100167,22,41969443,q,22q
ENSG00000139832,13,110523066,q,13q
ENSG00000139842,13,113208193,q,13q
ENSG00000185666,22,32507820,q,22q
ENSG00000130054,X,69504326,q,Xq
ENSG00000130638,22,45671798,q,22q
ENSG00000188064,22,45920366,q,22q
ENSG00000165195,X,15319452,p,Xp
ENSG00000078043,18,46803218,q,18q
ENSG00000073146,22,50090006,q,22q
ENSG00000102755,13,28300346,q,13q
ENSG00000134595,X,140502985,q,Xq
ENSG00000202024,X,101325404,q,Xq
ENSG00000206075,18,63476945,q,18q
ENSG00000285025,22,39504231,q,22q
ENSG00000204165,X,71103889,q,Xq
ENSG00000133477,22,39994954,q,22q
ENSG00000101746,18,33851100,q,18q
ENSG00000251322,22,50674408,q,22q
ENSG00000271886,X,53556223,p,Xp
ENSG00000208012,X,53557192,p,Xp
ENSG00000199885,X,74680053,q,Xq
ENSG00000050030,X,74732856,q,Xq
ENSG00000189037,X,44844021,p,Xp
ENSG00000186654,22,44668547,q,22q
ENSG00000147224,X,107628428,q,Xq
ENSG00000152217,18,44680173,q,18q
ENSG00000165370,X,137023929,q,Xq
ENSG00000102001,X,49205063,p,Xp
ENSG00000141665,18,74073344,q,18q
ENSG00000123191,13,51930436,q,13q
ENSG00000134504,18,26454910,q,18q
ENSG00000172404,22,40859549,q,22q
ENSG00000206615,22,31388733,q,22q
ENSG00000206052,18,69400888,q,18q
ENSG00000206069,22,24935098,q,22q
ENSG00000100304,22,43166622,q,22q
ENSG00000166396,18,63752935,q,18q
ENSG00000185133,22,31122731,q,22q
ENSG00000198795,18,25061924,q,18q
ENSG00000188021,X,56563627,p,Xp
ENSG00000085224,X,77504880,q,Xq
ENSG00000166562,18,59139475,q,18q
ENSG00000226742,18,79964582,q,18q
ENSG00000166140,15,40807086,q,15q
ENSG00000171885,18,26852043,q,18q
ENSG00000185053,8,14084845,p,8p
ENSG00000159167,8,23841929,p,8p
ENSG00000156687,8,35235475,p,8p
ENSG00000167306,18,49822789,q,18q
ENSG00000188277,15,40769980,q,15q
ENSG00000182256,15,26971181,q,15q
ENSG00000166450,15,55611544,q,15q
ENSG00000198445,22,16590751,q,22q
ENSG00000101842,X,108044970,q,Xq
ENSG00000000005,X,100584936,q,Xq
ENSG00000185634,15,48823741,q,15q
ENSG00000092964,8,26514031,p,8p
ENSG00000222303,X,50649641,p,Xp
ENSG00000147256,X,131058346,q,Xq
ENSG00000150477,18,36828982,q,18q
ENSG00000171877,15,43870761,q,15q
ENSG00000075673,13,24680408,q,13q
ENSG00000200620,X,15716208,p,Xp
ENSG00000173141,13,21176647,q,13q
ENSG00000102786,13,51354077,q,13q
ENSG00000147454,8,23528956,p,8p
ENSG00000102230,X,24558087,p,Xp
ENSG00000101695,18,32018174,q,18q
ENSG00000177669,8,30131671,p,8p
ENSG00000221890,22,38818452,q,22q
ENSG00000147459,8,25184689,p,8p
ENSG00000004848,X,25003694,p,Xp
ENSG00000168502,18,8705271,p,18p
ENSG00000171989,15,59206843,q,15q
ENSG00000103657,15,63608618,q,15q
ENSG00000101577,18,2885296,p,18p
ENSG00000104660,8,30095408,p,8p
ENSG00000120498,X,70528940,q,Xq
ENSG00000188342,13,45120443,q,13q
ENSG00000120907,8,26748150,p,8p
