Number,Context,Source file,Source key/line,DECISION log reference,First appears in section,Verified
0.749,Macaque sensitivity obs/null ratio,output/macaque_pipeline/sensitivity_procrustes_results.json,permutation_test.obs_null_ratio = 0.7488,DECISION-131,Results,YES
32/35,Hepatocyte rigidity rank human-mouse,output/macaque_pipeline/rigidity_ranking_comparison.csv,hepatocyte row hm_rank = 32,DECISION-131,Results,YES
20/20,Hepatocyte rigidity rank macaque,output/macaque_pipeline/rigidity_ranking_comparison.csv,hepatocyte row mac_rank = 20 (last/most diverged),DECISION-131,Results,YES
-0.349,Liang-Wagner treeness-rigidity Spearman rho,output/liang_wagner/treeness_rigidity_correlation.json,step3_correlation.rho_treeness_rigidity = -0.3487,DECISION-120,Discussion,YES
0.040,Liang-Wagner treeness-rigidity p-value,output/liang_wagner/treeness_rigidity_correlation.json,step3_correlation.p_value = 0.04005,DECISION-120,Discussion,YES
35,Liang-Wagner n cell types,output/liang_wagner/treeness_rigidity_correlation.json,step3_correlation.n = 35,DECISION-120,Discussion,YES
-0.359,Liang-Wagner PCA space rho,output/liang_wagner/treeness_rigidity_correlation.json,step4_pca_sensitivity.rho_rigidity = -0.3594,DECISION-120,Discussion,YES
4.36,CellMarker enrichment ratio (human primary),output/validation/issue073_cellmarker/primary_enrichment_results.json,human_primary.enrichment_ratio = 4.355,DECISION-114,Results,YES
1.1e-12,CellMarker enrichment p-value,output/validation/issue073_cellmarker/primary_enrichment_results.json,human_primary.p_value = 1.1189e-12,DECISION-114,Results,YES
6/6,CellMarker per-cell-type pass rate (n=50 loading genes),output/validation/issue073_cellmarker/issue073_summary.md,PER CELL TYPE RERUN section — all 3 failing at n=20 pass at n=50,DECISION-114,Results,YES — note: 3/6 at n=20 only 6/6 at n=50
0.247,SAMap-CellWarp orthogonality Spearman rho,output/phase1_samap/samap_35types/samap_rigidity_correlation.json,spearman_rho = 0.2468,DECISION-133,Results,YES
0.153,SAMap-CellWarp orthogonality p-value,output/phase1_samap/samap_35types/samap_rigidity_correlation.json,spearman_p = 0.1530,DECISION-133,Results,YES
35,SAMap-CellWarp orthogonality n,output/phase1_samap/samap_35types/samap_rigidity_correlation.json,n = 35,DECISION-133,Results,YES
17/8/10,SAMap confidence breakdown (HIGH/MODERATE/LOW),output/phase1_samap/samap_35types/samap_comparison_report_35.txt,Confidence: HIGH (>=0.6)=17 MODERATE (0.3-0.6)=8 LOW (<0.3)=10,DECISION-133,Results,YES
7.97,Cancer identity enrichment median,output/mechanistic/identity_vs_state/identity_vs_state_results.json,identity_enrichment.cancer_median = 7.9656,—,Results,YES
6.67,COVID identity enrichment median,output/mechanistic/identity_vs_state/identity_vs_state_results.json,identity_enrichment.covid_median = 6.6681,—,Results,YES
0.003,Cancer vs COVID identity enrichment difference p-value,output/mechanistic/identity_vs_state/identity_vs_state_results.json,identity_enrichment.mann_whitney_p = 0.00262,—,Results,YES
0.573,Cancer cross-axis rho (CLEANED — T cell excluded n=12),DECISIONS.md DECISION-077,Full: rho=0.407 n=13. Without T cell: rho=0.573 p=0.051 n=12,DECISION-077,QUALIFIED RESULT — see note,YES — CAUTION: 0.573 is with T cell excluded. Full rho=0.407
0.007,COVID cross-axis rho,output/mechanistic/identity_vs_state/identity_vs_state_results.json,cross_axis_spearman.covid_original.rho = 0.00659,DECISION-079,Results,YES
3.20,DILI Set B Fisher's OR (CYP450-excluded),output/dilirank/dilirank_results.json,step5_results.B.test2_odds_ratio = 3.2,DECISION-129,Results,YES
0.020,DILI Set B Fisher's p-value,output/dilirank/dilirank_results.json,step5_results.B.test2_p = 0.02019,DECISION-129,Results,YES
30,DILI Set B n (Most-Concern CYP450-excluded),output/dilirank/dilirank_results.json,step5_results.B.n_most = 30,DECISION-129,Results,YES
0.054,DILI Set A (full drug set) MWU p-value (NS),output/dilirank/dilirank_results.json,step5_results.A.test1_p = 0.05360,DECISION-129,Results,YES
29,CYP450-dependent drugs removed,output/dilirank/dilirank_results.json,step4_cyp450.most_concern_cyp450_dependent = 29,DECISION-129,Results,YES
59/217,Most-Concern DILI drugs matched to HepG2 (27.2%),output/dilirank/dilirank_results.json,"step2_match_rate: matched_most_concern=59, total_most_concern=217, match_rate=27.2%",DECISION-129,Results,YES
0.167,Null 1: Housekeeping gene ratio rho,output/phase2/mechanistic/housekeeping/hk_ratio_results.json,human_correlation.spearman_rho = 0.1672,—,Discussion,YES
-0.229,Null 2: TF network complexity rho,output/phase2/mechanistic/tf_complexity/tf_complexity_results.json,human_correlations.n_active_tfs.spearman_rho = -0.2294,—,Discussion,YES
0/6,Null 3: Niche adaptation gene sets,output/phase2/progenitor_analysis/niche_hypothesis/niche_hypothesis_results.json,progenitor_divergence.n_niche_sets_significant_q05 = 0,—,Discussion,YES
-0.038,Null 4: Within-type variance rho,output/phase2/variance_diagnostic/diagnostic_results.json,spearman_rho_mean = -0.0381,—,Discussion,YES
-0.127,Null 5: Inter-donor variance rho,output/phase2/diagnostics/interdonor_variance/diagnostic_results.json,spearman_rho_mean = -0.1266,—,Discussion,YES
<0.21,Null 6: Expression-level confounds (all rho),output/phase2/diagnostics/expression_level_vs_rigidity/correlations.csv,max |rho| = 0.2087 (Human mean expression),—,Discussion,YES
0.291,Null 7: PPI network centrality best rho,output/mechanistic/ppi_centrality/ppi_centrality_results.json,degree_C_identity_t900.spearman_rho = 0.2913,—,Discussion,YES
0/27,Null 7: PPI combos significant,output/mechanistic/ppi_centrality/ppi_centrality_results.json,all 27 entries have significant: false,—,Discussion,YES
-0.058,Null 8: Promoter phastCons conservation rho,output/validation/t3e_chromatin/t3e_step2_summary.md,Spearman rho = -0.0583 n=35,—,Discussion,YES
-0.429,Null 9: H3K27ac enhancer conservation rho,output/validation/t3e_enhancer/t3e_step3b_summary.md,Spearman rho = -0.4286 n=6,—,Discussion,YES
-0.176,Null 10: Drug target conservation rho,output/t3g/primary_correlation_results.json,primary_correlation.rho = -0.1762 n=34,DECISION-115,Discussion,YES
